category_name,month,month_mean_kg,month_median_kg,month_std_kg,n_days,month_index
水生根茎类,1,66.925703,55.56,40.019582,91,1.789354
水生根茎类,2,49.521159,40.6375,39.18125,82,1.324018
水生根茎类,3,27.040559,24.891,11.563214,93,0.722968
水生根茎类,4,15.482289,13.179,9.81938,90,0.413941
水生根茎类,5,9.53528,8.812,5.562686,93,0.254939
水生根茎类,6,13.313889,11.1745,7.181718,90,0.355966
水生根茎类,7,29.465989,17.107,29.233938,93,0.787815
水生根茎类,8,48.46343,37.692,30.218862,93,1.295739
水生根茎类,9,41.885456,38.0955,26.353923,90,1.119867
水生根茎类,10,53.060129,49.434,24.562235,93,1.418638
水生根茎类,11,41.229322,33.315,34.634744,87,1.102324
水生根茎类,12,54.427778,54.7055,23.150577,90,1.455204
花叶类,1,196.202945,197.824,80.320896,91,1.072331
花叶类,2,177.59672,164.0735,69.597627,82,0.97064
花叶类,3,149.424108,140.651,54.313294,93,0.816665
花叶类,4,150.5183,141.0705,45.685399,90,0.822645
花叶类,5,151.645452,151.84,46.483872,93,0.828806
花叶类,6,147.706189,132.1815,41.891309,90,0.807276
花叶类,7,186.799011,186.916,48.985732,93,1.020935
花叶类,8,263.504634,250.59,66.662882,93,1.440163
花叶类,9,208.047389,191.2815,79.2437,90,1.137066
花叶类,10,206.582645,199.326,96.357419,93,1.12906
花叶类,11,171.631057,144.442,169.033931,87,0.938035
花叶类,12,183.525711,182.3835,83.753959,90,1.003045
花菜类,1,45.091363,38.027,23.298708,91,1.171374
花菜类,2,41.915049,35.839,24.327726,82,1.08886
花菜类,3,27.715839,27.331,14.824096,93,0.719996
花菜类,4,28.1416,22.55,19.417164,90,0.731057
花菜类,5,29.085097,26.494,11.007835,93,0.755566
花菜类,6,27.722322,23.6125,14.450107,90,0.720165
花菜类,7,48.052645,45.96,13.757377,93,1.248301
花菜类,8,52.972419,50.7,31.702132,93,1.376106
花菜类,9,39.871011,38.954,18.503012,90,1.035761
花菜类,10,41.99271,37.814,24.03444,93,1.090878
花菜类,11,44.614908,37.479,30.895637,87,1.158997
花菜类,12,34.948022,30.2085,16.661596,90,0.907872
茄类,1,19.76589,15.298,15.551443,91,0.956054
茄类,2,22.563963,17.697,16.979463,82,1.091393
茄类,3,16.73929,16.036,5.937574,93,0.809661
茄类,4,20.318867,19.928,7.54532,90,0.982801
茄类,5,26.639849,23.886,9.708887,93,1.288539
茄类,6,28.531056,27.045,10.782214,90,1.380015
茄类,7,31.192699,28.125,15.646294,93,1.508756
茄类,8,29.421387,29.12,13.251388,93,1.423079
茄类,9,16.861889,18.3815,11.856404,90,0.815591
茄类,10,15.060548,12.192,12.57465,93,0.728462
茄类,11,10.762253,9.694,7.778568,87,0.520558
茄类,12,9.560678,9.3565,4.395134,90,0.462439
辣椒类,1,112.08156,84.451,88.043937,91,1.327768
辣椒类,2,118.093049,102.6345,70.31236,82,1.398983
辣椒类,3,95.76314,92.394,34.124769,93,1.134453
辣椒类,4,82.114689,73.5915,33.457054,90,0.972767
辣椒类,5,71.150763,67.01,28.423854,93,0.842884
辣椒类,6,66.002544,66.893,28.449907,90,0.781896
辣椒类,7,65.987409,58.86,24.183366,93,0.781716
辣椒类,8,106.306817,85.198,54.352411,93,1.259358
辣椒类,9,75.042267,63.4395,39.020079,90,0.888984
辣椒类,10,85.306871,69.054,56.037322,93,1.010583
辣椒类,11,70.803805,54.214,67.143552,87,0.838774
辣椒类,12,66.459956,48.7675,41.742731,90,0.787314
食用菌,1,107.961121,91.901,63.094902,91,1.53953
食用菌,2,92.568902,81.6305,69.134626,82,1.320037
食用菌,3,61.591634,62.044,35.059039,93,0.878299
食用菌,4,52.046811,41.066,29.769835,90,0.74219
食用菌,5,43.59914,35.882,23.677193,93,0.621726
食用菌,6,43.450589,39.3535,17.276179,90,0.619607
食用菌,7,48.529333,45.587,16.681957,93,0.69203
食用菌,8,56.954323,54.961,15.759328,93,0.812171
食用菌,9,56.196944,49.739,23.65459,90,0.801371
食用菌,10,91.814774,80.421,56.176024,93,1.309283
食用菌,11,93.756437,74.627,69.832979,87,1.336971
食用菌,12,97.009067,92.7895,41.555227,90,1.383354
