year,category_a,category_b,n_days,spearman_rho,spearman_p
2020,水生根茎类,花叶类,184,0.30363699,2.789e-05
2020,水生根茎类,花菜类,184,0.12897652,0.08100309
2020,水生根茎类,茄类,184,-0.29110978,6.096e-05
2020,水生根茎类,辣椒类,184,-0.10259675,0.16578788
2020,水生根茎类,食用菌,184,0.57153782,0.0
2020,花叶类,花菜类,184,0.47529233,0.0
2020,花叶类,茄类,184,0.38487026,7e-08
2020,花叶类,辣椒类,184,0.54410048,0.0
2020,花叶类,食用菌,184,0.34752943,1.34e-06
2020,花菜类,茄类,184,0.33631793,3.05e-06
2020,花菜类,辣椒类,184,0.55571459,0.0
2020,花菜类,食用菌,184,0.17149159,0.01993107
2020,茄类,辣椒类,184,0.64397912,0.0
2020,茄类,食用菌,184,-0.35792414,6.1e-07
2020,辣椒类,食用菌,184,-0.13354202,0.07072944
2021,水生根茎类,花叶类,363,0.191996,0.00023352
2021,水生根茎类,花菜类,363,0.0128252,0.80760252
2021,水生根茎类,茄类,363,-0.10794695,0.03982281
2021,水生根茎类,辣椒类,363,0.09629575,0.06686006
2021,水生根茎类,食用菌,363,0.66747981,0.0
2021,花叶类,花菜类,363,0.53003441,0.0
2021,花叶类,茄类,363,0.69254043,0.0
2021,花叶类,辣椒类,363,0.72958986,0.0
2021,花叶类,食用菌,363,0.4163993,0.0
2021,花菜类,茄类,363,0.43646251,0.0
2021,花菜类,辣椒类,363,0.55959863,0.0
2021,花菜类,食用菌,363,0.30757343,0.0
2021,茄类,辣椒类,363,0.58613062,0.0
2021,茄类,食用菌,363,0.03476822,0.50903655
2021,辣椒类,食用菌,363,0.42025439,0.0
2022,水生根茎类,花叶类,358,0.6966956,0.0
2022,水生根茎类,花菜类,358,0.73977989,0.0
2022,水生根茎类,茄类,358,-0.24767128,2.1e-06
2022,水生根茎类,辣椒类,358,0.72359701,0.0
2022,水生根茎类,食用菌,358,0.73291667,0.0
2022,花叶类,花菜类,358,0.71266336,0.0
2022,花叶类,茄类,358,-0.1822087,0.00053114
2022,花叶类,辣椒类,358,0.7352516,0.0
2022,花叶类,食用菌,358,0.73082127,0.0
2022,花菜类,茄类,358,-0.16000978,0.00239321
2022,花菜类,辣椒类,358,0.66767111,0.0
2022,花菜类,食用菌,358,0.71496551,0.0
2022,茄类,辣椒类,358,-0.23029298,1.076e-05
2022,茄类,食用菌,358,-0.32969858,0.0
2022,辣椒类,食用菌,358,0.72923865,0.0
2023,水生根茎类,花叶类,180,0.64239843,0.0
2023,水生根茎类,花菜类,180,0.69626223,0.0
2023,水生根茎类,茄类,180,-0.02973343,0.69193958
2023,水生根茎类,辣椒类,180,0.76834304,0.0
2023,水生根茎类,食用菌,180,0.76660597,0.0
2023,花叶类,花菜类,180,0.68293877,0.0
2023,花叶类,茄类,180,0.3530253,1.17e-06
2023,花叶类,辣椒类,180,0.77478666,0.0
2023,花叶类,食用菌,180,0.80120991,0.0
2023,花菜类,茄类,180,0.11891725,0.11184058
2023,花菜类,辣椒类,180,0.71670973,0.0
2023,花菜类,食用菌,180,0.75112606,0.0
2023,茄类,辣椒类,180,0.19652057,0.00819167
2023,茄类,食用菌,180,0.19068284,0.01034658
2023,辣椒类,食用菌,180,0.85453607,0.0
