category_a,category_b,n_days,raw_spearman_rho,raw_spearman_p,raw_spearman_p_fdr,raw_pearson_r,raw_pearson_p,raw_pearson_p_fdr,residual_spearman_rho,residual_spearman_p,residual_spearman_p_fdr,residual_pearson_r,residual_pearson_p,residual_pearson_p_fdr,spearman_change_after_controls,raw_abs_spearman,residual_abs_spearman
花叶类,辣椒类,1085,0.59491469,0.0,0.0,0.65929251,0.0,0.0,0.67638374,0.0,0.0,0.68603485,0.0,0.0,0.08146905,0.59491469,0.67638374
花叶类,食用菌,1085,0.59640043,0.0,0.0,0.63084331,0.0,0.0,0.62875404,0.0,0.0,0.69605111,0.0,0.0,0.03235361,0.59640043,0.62875404
辣椒类,食用菌,1085,0.5350409,0.0,0.0,0.68746361,0.0,0.0,0.62061348,0.0,0.0,0.73683594,0.0,0.0,0.08557259,0.5350409,0.62061348
花菜类,辣椒类,1085,0.42962982,0.0,0.0,0.55099244,0.0,0.0,0.57968366,0.0,0.0,0.6452406,0.0,0.0,0.15005384,0.42962982,0.57968366
花叶类,花菜类,1085,0.63343719,0.0,0.0,0.62689811,0.0,0.0,0.54490929,0.0,0.0,0.56879629,0.0,0.0,-0.08852789,0.63343719,0.54490929
花菜类,食用菌,1085,0.46238885,0.0,0.0,0.52299493,0.0,0.0,0.49206854,0.0,0.0,0.5488285,0.0,0.0,0.02967968,0.46238885,0.49206854
水生根茎类,花叶类,1085,0.43888779,0.0,0.0,0.56104954,0.0,0.0,0.35377895,0.0,0.0,0.49436778,0.0,0.0,-0.08510884,0.43888779,0.35377895
水生根茎类,食用菌,1085,0.60482451,0.0,0.0,0.66991383,0.0,0.0,0.35138392,0.0,0.0,0.56279216,0.0,0.0,-0.25344059,0.60482451,0.35138392
水生根茎类,花菜类,1085,0.39558724,0.0,0.0,0.5421406,0.0,0.0,0.35118473,0.0,0.0,0.51665514,0.0,0.0,-0.04440251,0.39558724,0.35118473
水生根茎类,辣椒类,1085,0.33349565,0.0,0.0,0.61412744,0.0,0.0,0.31112741,0.0,0.0,0.61420716,0.0,0.0,-0.02236824,0.33349565,0.31112741
茄类,辣椒类,1085,0.10326852,0.00065732,0.00065732,0.27334654,0.0,0.0,0.17539448,1e-08,1e-08,0.46756359,0.0,0.0,0.07212596,0.10326852,0.17539448
茄类,食用菌,1085,-0.11439915,0.00015918,0.00017055,0.11987397,7.549e-05,8.088e-05,0.17221233,1e-08,1e-08,0.40231817,0.0,0.0,0.28661148,0.11439915,0.17221233
花叶类,茄类,1085,0.25218933,0.0,0.0,0.25730428,0.0,0.0,0.14350898,2.07e-06,2.39e-06,0.28279813,0.0,0.0,-0.10868035,0.25218933,0.14350898
花菜类,茄类,1085,0.19291614,0.0,0.0,0.31160773,0.0,0.0,0.05072145,0.0949431,0.10172475,0.27726948,0.0,0.0,-0.1421947,0.19291614,0.05072145
水生根茎类,茄类,1085,-0.20991256,0.0,0.0,0.07436202,0.01428542,0.01428542,0.00015211,0.99600683,0.99600683,0.31989794,0.0,0.0,0.21006467,0.20991256,0.00015211
