category_a,category_b,n_days,family,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,spearman_p_fdr,pearson_p_fdr
水生根茎类,花叶类,1085,raw_daily_net_sales,0.56104954,0.0,0.51886026,0.60051241,0.43888779,0.0,0.38954859,0.48571512,0.0,0.0
水生根茎类,花菜类,1085,raw_daily_net_sales,0.5421406,0.0,0.49871752,0.58284916,0.39558724,0.0,0.34417596,0.44463345,0.0,0.0
水生根茎类,茄类,1085,raw_daily_net_sales,0.07436202,0.01428542,0.01491378,0.13328639,-0.20991256,0.0,-0.26610244,-0.15230097,0.0,0.01428542
水生根茎类,辣椒类,1085,raw_daily_net_sales,0.61412744,0.0,0.57565292,0.64988869,0.33349565,0.0,0.27952943,0.38536134,0.0,0.0
水生根茎类,食用菌,1085,raw_daily_net_sales,0.66991383,0.0,0.63574643,0.70146123,0.60482451,0.0,0.56567201,0.6412563,0.0,0.0
花叶类,花菜类,1085,raw_daily_net_sales,0.62689811,0.0,0.589373,0.66172386,0.63343719,0.0,0.5964066,0.66777721,0.0,0.0
花叶类,茄类,1085,raw_daily_net_sales,0.25730428,0.0,0.20086595,0.31204017,0.25218933,0.0,0.19561099,0.30709444,0.0,0.0
花叶类,辣椒类,1085,raw_daily_net_sales,0.65929251,0.0,0.62427306,0.69166759,0.59491469,0.0,0.55505258,0.63205061,0.0,0.0
花叶类,食用菌,1085,raw_daily_net_sales,0.63084331,0.0,0.59361587,0.66537655,0.59640043,0.0,0.55664388,0.63343146,0.0,0.0
花菜类,茄类,1085,raw_daily_net_sales,0.31160773,0.0,0.25685693,0.3643648,0.19291614,0.0,0.13495131,0.24956507,0.0,0.0
花菜类,辣椒类,1085,raw_daily_net_sales,0.55099244,0.0,0.50814111,0.59112265,0.42962982,0.0,0.37982742,0.47694891,0.0,0.0
花菜类,食用菌,1085,raw_daily_net_sales,0.52299493,0.0,0.47837027,0.5649255,0.46238885,0.0,0.41427493,0.50792563,0.0,0.0
茄类,辣椒类,1085,raw_daily_net_sales,0.27334654,0.0,0.21736845,0.32753248,0.10326852,0.00065732,0.04402485,0.16178842,0.00065732,0.0
茄类,食用菌,1085,raw_daily_net_sales,0.11987397,7.549e-05,0.06079344,0.17811748,-0.11439915,0.00015918,-0.17273733,-0.05526114,0.00017055,8.088e-05
辣椒类,食用菌,1085,raw_daily_net_sales,0.68746361,0.0,0.6547372,0.71761735,0.5350409,0.0,0.49116665,0.57620723,0.0,0.0
