category_a,category_b,n_days,family,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,spearman_p_fdr,pearson_p_fdr
水生根茎类,花叶类,1085,residual_after_month_weekday_trend,0.49436778,0.0,0.4480356,0.53805151,0.35377895,0.0,0.30059368,0.4047708,0.0,0.0
水生根茎类,花菜类,1085,residual_after_month_weekday_trend,0.51665514,0.0,0.47164314,0.55898163,0.35118473,0.0,0.29789667,0.4022909,0.0,0.0
水生根茎类,茄类,1085,residual_after_month_weekday_trend,0.31989794,0.0,0.26543722,0.3723237,0.00015211,0.99600683,-0.05936267,0.05966582,0.99600683,0.0
水生根茎类,辣椒类,1085,residual_after_month_weekday_trend,0.61420716,0.0,0.5757385,0.64996262,0.31112741,0.0,0.25636006,0.36390343,0.0,0.0
水生根茎类,食用菌,1085,residual_after_month_weekday_trend,0.56279216,0.0,0.52071896,0.6021383,0.35138392,0.0,0.29810373,0.40248134,0.0,0.0
花叶类,花菜类,1085,residual_after_month_weekday_trend,0.56879629,0.0,0.52712605,0.60773772,0.54490929,0.0,0.50166394,0.58543786,0.0,0.0
花叶类,茄类,1085,residual_after_month_weekday_trend,0.28279813,0.0,0.22710621,0.33664645,0.14350898,2.07e-06,0.0847183,0.20130392,2.39e-06,0.0
花叶类,辣椒类,1085,residual_after_month_weekday_trend,0.68603485,0.0,0.65318958,0.71630326,0.67638374,0.0,0.64274276,0.70742112,0.0,0.0
花叶类,食用菌,1085,residual_after_month_weekday_trend,0.69605111,0.0,0.6640449,0.72551109,0.62875404,0.0,0.5913687,0.66344239,0.0,0.0
花菜类,茄类,1085,residual_after_month_weekday_trend,0.27726948,0.0,0.22140881,0.33131651,0.05072145,0.0949431,-0.00881942,0.10990393,0.10172475,0.0
花菜类,辣椒类,1085,residual_after_month_weekday_trend,0.6452406,0.0,0.60911706,0.67869237,0.57968366,0.0,0.5387562,0.61788135,0.0,0.0
花菜类,食用菌,1085,residual_after_month_weekday_trend,0.5488285,0.0,0.50583644,0.58910087,0.49206854,0.0,0.44560384,0.53588922,0.0,0.0
茄类,辣椒类,1085,residual_after_month_weekday_trend,0.46756359,0.0,0.41972902,0.51280808,0.17539448,1e-08,0.11710261,0.23248197,1e-08,0.0
茄类,食用菌,1085,residual_after_month_weekday_trend,0.40231817,0.0,0.35121325,0.45103303,0.17221233,1e-08,0.1138651,0.22937568,1e-08,0.0
辣椒类,食用菌,1085,residual_after_month_weekday_trend,0.73683594,0.0,0.70838601,0.76289551,0.62061348,0.0,0.58261845,0.65590177,0.0,0.0
