category_a,category_b,year_count,rho_min,rho_max,rho_mean,rho_std,sign_consistent,all_year_abs_rho_ge_0_3,all_year_abs_rho_ge_0_5
花叶类,辣椒类,4,0.54410048,0.77478666,0.69593215,0.10319843,True,True,True
水生根茎类,食用菌,4,0.57153782,0.76660597,0.68463507,0.08589845,True,True,True
花菜类,辣椒类,4,0.55571459,0.71670973,0.62492351,0.08022735,True,True,True
花叶类,花菜类,4,0.47529233,0.71266336,0.60023222,0.11549725,True,True,False
花叶类,食用菌,4,0.34752943,0.80120991,0.57398998,0.22534726,True,True,False
花菜类,食用菌,4,0.17149159,0.75112606,0.48628915,0.29067065,True,False,False
水生根茎类,花叶类,4,0.191996,0.6966956,0.45868175,0.24870503,True,False,False
水生根茎类,花菜类,4,0.0128252,0.73977989,0.39446096,0.37703095,True,False,False
水生根茎类,茄类,4,-0.29110978,-0.02973343,-0.16911536,0.12141193,True,False,False
辣椒类,食用菌,4,-0.13354202,0.85453607,0.46762177,0.44037395,False,False,False
水生根茎类,辣椒类,4,-0.10259675,0.76834304,0.37140976,0.44043985,False,False,False
花叶类,茄类,4,-0.1822087,0.69254043,0.31205682,0.36333932,False,False,False
茄类,辣椒类,4,-0.23029298,0.64397912,0.29908433,0.40501344,False,False,False
花菜类,茄类,4,-0.16000978,0.43646251,0.18292198,0.26426749,False,False,False
茄类,食用菌,4,-0.35792414,0.19068284,-0.11554291,0.27140312,False,False,False
