category_name,weekday,weekday_name,weekday_mean_kg,weekday_median_kg,weekday_std_kg,n_days,weekday_index
水生根茎类,0,周一,32.631206,24.829,30.238774,155,0.872442
水生根茎类,1,周二,31.951404,25.996,26.806991,156,0.854266
水生根茎类,2,周三,31.597426,24.199,30.869113,155,0.844802
水生根茎类,3,周四,30.552239,25.262,23.975421,155,0.816857
水生根茎类,4,周五,37.685195,30.015,32.705127,154,1.007567
水生根茎类,5,周六,50.378532,43.3355,34.788903,154,1.346941
水生根茎类,6,周日,47.077468,43.295,32.958355,156,1.258683
花叶类,0,周一,168.091697,157.373,84.419134,155,0.918691
花叶类,1,周二,160.573218,157.122,64.073374,156,0.8776
花叶类,2,周三,163.970065,156.09,68.734171,155,0.896165
花叶类,3,周四,160.373477,148.851,68.564464,155,0.876508
花叶类,4,周五,176.032104,154.254,83.79734,154,0.962089
花叶类,5,周六,232.065955,216.4275,115.943157,154,1.268337
花叶类,6,周日,219.852519,216.449,76.178703,156,1.201586
花菜类,0,周一,34.527465,30.625,21.200292,155,0.896947
花菜类,1,周二,33.188827,29.673,19.514752,156,0.862172
花菜类,2,周三,33.866961,30.297,21.001854,155,0.879789
花菜类,3,周四,32.966632,29.081,19.321453,155,0.8564
花菜类,4,周五,37.861409,31.8665,23.537306,154,0.983556
花菜类,5,周六,48.718584,45.0405,23.616858,154,1.265601
花菜类,6,周日,48.363532,47.8215,23.87094,156,1.256378
茄类,0,周一,18.989439,17.311,11.526608,155,0.918498
茄类,1,周二,17.708308,16.115,11.546215,156,0.856531
茄类,2,周三,17.915916,15.651,13.086691,155,0.866573
茄类,3,周四,17.875168,15.705,11.023513,155,0.864602
茄类,4,周五,20.364974,17.0275,13.580483,154,0.985031
茄类,5,周六,25.954734,23.337,14.503268,154,1.255401
茄类,6,周日,25.929936,23.535,15.587728,156,1.254202
辣椒类,0,周一,74.943187,66.122,42.420609,155,0.887811
辣椒类,1,周二,72.809173,66.171,43.202135,156,0.86253
辣椒类,2,周三,73.090671,64.366,48.19565,155,0.865865
辣椒类,3,周四,73.398748,61.768,43.736807,155,0.869515
辣椒类,4,周五,86.332364,68.3935,69.181411,154,1.022732
辣椒类,5,周六,107.952818,91.254,58.28401,154,1.278858
辣椒类,6,周日,102.48991,88.459,51.685761,156,1.214141
食用菌,0,周一,60.826923,51.773,42.641689,155,0.867395
食用菌,1,周二,57.229583,47.505,38.15338,156,0.816096
食用菌,2,周三,62.534523,50.263,49.774309,155,0.891745
食用菌,3,周四,61.112916,48.978,46.629518,155,0.871473
食用菌,4,周五,71.268377,60.8125,50.820973,154,1.01629
食用菌,5,周六,91.621942,79.185,54.537771,154,1.306533
食用菌,6,周日,86.412019,78.9375,44.205987,156,1.232239
