category_name,year,month,mean_kg,median_kg,n_days,month_index_within_category
水生根茎类,2020,7,10.711484,10.605,31,0.286387
水生根茎类,2020,8,27.973548,24.454,31,0.747912
水生根茎类,2020,9,26.631033,18.9725,30,0.712018
水生根茎类,2020,10,43.358645,40.6,31,1.159255
水生根茎类,2020,11,32.023167,23.0775,30,0.856185
水生根茎类,2020,12,61.166258,61.288,31,1.635367
水生根茎类,2021,1,62.029355,54.723,31,1.658443
水生根茎类,2021,2,75.445077,58.501,26,2.017131
水生根茎类,2021,3,29.177419,28.177,31,0.7801
水生根茎类,2021,4,17.475933,15.977,30,0.467244
水生根茎类,2021,5,9.957613,8.963,31,0.266231
水生根茎类,2021,6,10.949933,9.9655,30,0.292762
水生根茎类,2021,7,17.541903,15.754,31,0.469008
水生根茎类,2021,8,35.997065,31.616,31,0.962433
水生根茎类,2021,9,46.7464,40.497,30,1.249831
水生根茎类,2021,10,47.879806,46.91,31,1.280134
水生根茎类,2021,11,42.4501,41.8,30,1.134964
水生根茎类,2021,12,42.978581,35.441,31,1.149093
水生根茎类,2022,1,67.726667,55.8565,30,1.810768
水生根茎类,2022,2,34.14225,35.1375,28,0.912841
水生根茎类,2022,3,26.909,27.306,31,0.71945
水生根茎类,2022,4,10.9825,6.8415,30,0.293633
水生根茎类,2022,5,5.091226,4.637,31,0.136121
水生根茎类,2022,6,11.9655,9.778,30,0.319915
水生根茎类,2022,7,60.144581,57.442,31,1.608051
水生根茎类,2022,8,81.419677,86.531,31,2.17687
水生根茎类,2022,9,52.278933,47.9745,30,1.397751
水生根茎类,2022,10,67.941935,63.12,31,1.816524
水生根茎类,2022,11,50.101963,31.82,27,1.339547
水生根茎类,2022,12,59.643214,61.3615,28,1.594646
水生根茎类,2023,1,71.1843,55.561,30,1.903213
水生根茎类,2023,2,40.827857,35.0155,28,1.091591
水生根茎类,2023,3,25.035258,22.284,31,0.669353
水生根茎类,2023,4,17.988433,16.5435,30,0.480946
水生根茎类,2023,5,13.557,12.75,31,0.362466
水生根茎类,2023,6,17.026233,15.935,30,0.45522
花叶类,2020,7,212.163806,199.984,31,1.159564
花叶类,2020,8,234.242484,229.89,31,1.280233
花叶类,2020,9,188.9634,177.039,30,1.032764
花叶类,2020,10,206.300387,190.238,31,1.127518
花叶类,2020,11,217.285633,207.5765,30,1.187557
花叶类,2020,12,222.613871,212.51,31,1.216678
花叶类,2021,1,206.844935,214.815,31,1.130494
花叶类,2021,2,220.811154,196.786,26,1.206825
花叶类,2021,3,163.246613,158.357,31,0.892211
花叶类,2021,4,163.835367,151.544,30,0.895429
花叶类,2021,5,176.290355,176.658,31,0.9635
花叶类,2021,6,154.4103,145.532,30,0.843917
花叶类,2021,7,179.629323,174.827,31,0.981749
花叶类,2021,8,229.452548,234.344,31,1.254054
花叶类,2021,9,162.065667,151.511,30,0.885757
花叶类,2021,10,131.027774,101.014,31,0.716121
花叶类,2021,11,63.035867,54.5685,30,0.344517
花叶类,2021,12,95.450161,84.271,31,0.521675
花叶类,2022,1,129.3604,130.2215,30,0.707009
花叶类,2022,2,124.073179,116.3345,28,0.678112
花叶类,2022,3,108.374742,101.51,31,0.592313
花叶类,2022,4,116.369233,112.1365,30,0.636006
花叶类,2022,5,110.079677,92.724,31,0.601631
花叶类,2022,6,133.368367,114.4775,30,0.728914
花叶类,2022,7,168.603903,150.034,31,0.921491
花叶类,2022,8,326.818871,322.432,31,1.786202
花叶类,2022,9,273.1131,255.4135,30,1.492677
花叶类,2022,10,282.419774,252.753,31,1.543542
花叶类,2022,11,241.565074,173.21,27,1.320254
花叶类,2022,12,237.76175,240.7475,28,1.299467
花叶类,2023,1,252.048767,217.776,30,1.377552
花叶类,2023,2,190.992571,177.7545,28,1.043854
花叶类,2023,3,176.650968,171.809,31,0.965471
花叶类,2023,4,171.3503,166.7295,30,0.936501
花叶类,2023,5,168.566323,156.287,31,0.921285
花叶类,2023,6,155.3399,138.503,30,0.848997
花菜类,2020,7,49.114677,45.433,31,1.275891
花菜类,2020,8,56.408323,54.722,31,1.465363
花菜类,2020,9,44.535533,40.048,30,1.156935
花菜类,2020,10,53.063323,47.321,31,1.378468
花菜类,2020,11,64.7797,60.6165,30,1.682833
花菜类,2020,12,39.857935,33.43,31,1.035421
花菜类,2021,1,40.724097,37.907,31,1.057922
花菜类,2021,2,57.727692,44.2625,26,1.499638
花菜类,2021,3,37.621355,31.282,31,0.97732
花菜类,2021,4,46.013267,39.6705,30,1.195323
花菜类,2021,5,35.754387,34.962,31,0.92882
花菜类,2021,6,40.819067,41.015,30,1.060389
花菜类,2021,7,46.676871,46.461,31,1.212562
花菜类,2021,8,23.316258,16.528,31,0.605705
花菜类,2021,9,25.847833,23.9935,30,0.67147
花菜类,2021,10,23.821387,19.823,31,0.618827
花菜类,2021,11,19.967767,19.894,30,0.518718
花菜类,2021,12,24.596806,22.865,31,0.638971
花菜类,2022,1,45.2808,37.7825,30,1.176295
花菜类,2022,2,32.2715,29.8955,28,0.838342
花菜类,2022,3,16.513839,16.239,31,0.428993
花菜类,2022,4,14.560933,12.3765,30,0.378261
花菜类,2022,5,24.860645,23.375,31,0.645825
花菜类,2022,6,24.574933,22.8665,30,0.638402
花菜类,2022,7,48.366387,46.435,31,1.256452
花菜类,2022,8,79.192677,75.303,31,2.057251
花菜类,2022,9,49.229667,47.3145,30,1.278878
花菜类,2022,10,49.093419,47.046,31,1.275338
花菜类,2022,11,49.595296,41.117,27,1.288376
花菜类,2022,12,40.972321,39.582,28,1.06437
花菜类,2023,1,49.414767,39.6245,30,1.283686
花菜类,2023,2,36.875429,34.4025,28,0.957942
花菜类,2023,3,29.012323,28.182,31,0.753676
花菜类,2023,4,23.8506,21.044,30,0.619586
花菜类,2023,5,26.640258,25.81,31,0.692055
花菜类,2023,6,17.772967,16.4345,30,0.461702
茄类,2020,7,44.050032,38.17,31,2.13065
茄类,2020,8,36.754613,34.019,31,1.777779
茄类,2020,9,22.389733,21.1395,30,1.082966
茄类,2020,10,24.902161,22.221,31,1.204489
茄类,2020,11,14.412967,13.548,30,0.697139
茄类,2020,12,13.193387,12.154,31,0.638149
茄类,2021,1,16.180355,16.078,31,0.782626
茄类,2021,2,33.738231,27.7105,26,1.63188
茄类,2021,3,19.870129,19.628,31,0.961096
茄类,2021,4,20.6479,20.363,30,0.998716
茄类,2021,5,23.34229,22.177,31,1.12904
茄类,2021,6,27.371233,27.1385,30,1.323916
茄类,2021,7,31.212323,28.565,31,1.509705
茄类,2021,8,31.241903,31.245,31,1.511136
茄类,2021,9,24.685333,24.461,30,1.194002
茄类,2021,10,15.185968,11.389,31,0.734528
茄类,2021,11,8.365433,8.127,30,0.404627
茄类,2021,12,7.689032,7.254,31,0.37191
茄类,2022,1,21.235167,13.7865,30,1.027121
茄类,2022,2,21.662821,18.3575,28,1.047806
茄类,2022,3,16.151161,15.834,31,0.781213
茄类,2022,4,20.5974,20.5315,30,0.996273
茄类,2022,5,32.055742,29.841,31,1.5505
茄类,2022,6,32.5781,33.541,30,1.575766
茄类,2022,7,18.315742,17.802,31,0.885912
茄类,2022,8,20.267645,17.255,31,0.980323
茄类,2022,9,3.5106,0.0,30,0.169804
茄类,2022,10,5.093516,2.55,31,0.246368
茄类,2022,11,9.369037,6.897,27,0.45317
茄类,2022,12,7.610929,6.785,28,0.368132
茄类,2023,1,22.001667,16.4635,30,1.064196
茄类,2023,2,13.089,12.641,28,0.6331
茄类,2023,3,14.196581,12.216,31,0.686673
茄类,2023,4,19.7113,19.113,30,0.953413
茄类,2023,5,24.521516,23.097,31,1.186078
茄类,2023,6,25.643833,23.201,30,1.240363
辣椒类,2020,7,70.904806,67.35,31,0.83997
辣椒类,2020,8,91.043355,82.32,31,1.07854
辣椒类,2020,9,66.413767,55.466,30,0.786767
辣椒类,2020,10,61.578839,52.654,31,0.729491
辣椒类,2020,11,61.256833,59.0835,30,0.725676
辣椒类,2020,12,46.046419,45.584,31,0.545487
辣椒类,2021,1,61.906774,58.505,31,0.733375
