sales_date,date_has_records,category_code,category_name,category_has_records,sales_qty_kg,return_qty_kg,net_sales_kg,transaction_rows,sales_rows,return_rows,active_product_count
2020-07-01,1,1011010101,花叶类,1,205.402,0.0,205.402,445,445,0,16
2020-07-01,1,1011010201,花菜类,1,47.076,-0.436,46.64,103,102,1,2
2020-07-01,1,1011010402,水生根茎类,1,4.85,0.0,4.85,15,15,0,2
2020-07-01,1,1011010501,茄类,1,35.374,0.0,35.374,60,60,0,2
2020-07-01,1,1011010504,辣椒类,1,76.715,0.0,76.715,259,259,0,9
2020-07-01,1,1011010801,食用菌,1,35.365,0.0,35.365,120,120,0,5
2020-07-02,1,1011010101,花叶类,1,198.362,0.0,198.362,423,423,0,16
2020-07-02,1,1011010201,花菜类,1,43.943,0.0,43.943,95,95,0,2
2020-07-02,1,1011010402,水生根茎类,1,4.6,0.0,4.6,14,14,0,2
2020-07-02,1,1011010501,茄类,1,32.199,0.0,32.199,56,56,0,2
2020-07-02,1,1011010504,辣椒类,1,66.064,0.0,66.064,226,226,0,10
2020-07-02,1,1011010801,食用菌,1,48.51,0.0,48.51,160,160,0,5
2020-07-03,1,1011010101,花叶类,1,191.779,-1.0,190.779,406,405,1,16
2020-07-03,1,1011010201,花菜类,1,42.076,0.0,42.076,96,96,0,2
2020-07-03,1,1011010402,水生根茎类,1,9.572,0.0,9.572,30,30,0,1
2020-07-03,1,1011010501,茄类,1,35.896,0.0,35.896,57,57,0,2
2020-07-03,1,1011010504,辣椒类,1,64.253,0.0,64.253,227,227,0,10
2020-07-03,1,1011010801,食用菌,1,42.442,0.0,42.442,149,149,0,5
2020-07-04,1,1011010101,花叶类,1,236.587,0.0,236.587,526,526,0,13
2020-07-04,1,1011010201,花菜类,1,55.662,0.0,55.662,126,126,0,2
2020-07-04,1,1011010402,水生根茎类,1,5.439,0.0,5.439,16,16,0,2
2020-07-04,1,1011010501,茄类,1,57.067,0.0,57.067,99,99,0,2
