n_days,mean_kg,median_kg,std_kg,cv,min_kg,q1_kg,q3_kg,iqr_kg,p95_kg,max_kg,skewness,excess_kurtosis,zero_days,positive_days,zero_rate,product_code,product_name,category_name,total_net_sales_kg,observed_sales_days,return_days,total_share,total_rank,category_total_net_sales_kg,category_share,category_rank
1085,25.957909,23.307,24.520704,0.944633,0.0,12.127,35.271,23.144,62.5272,249.974,2.903534,17.795714,227,858,0.209217,102900011016701,芜湖青椒(1),辣椒类,28164.331,858,29,0.0598,1,91588.629,0.307509,1
1085,25.379934,21.817,15.864924,0.625097,0.0,15.13,31.641,16.511,55.3472,152.132,1.93114,6.886769,9,1076,0.008295,102900005116714,西兰花,花菜类,27537.228,1076,28,0.058468,2,41766.451,0.659315,1
1085,25.022525,21.845,20.362212,0.813755,0.0,8.048,36.39,28.342,60.8432,157.132,1.368995,3.841644,28,1057,0.025806,102900005116899,净藕(1),水生根茎类,27149.44,1057,21,0.057645,3,40581.353,0.669013,1
1085,17.684072,0.0,32.605458,1.843775,0.0,0.0,22.317,22.317,90.2484,244.4,2.956255,10.828972,605,480,0.557604,102900005115960,大白菜,花叶类,19187.218,480,3,0.040739,4,198520.978,0.096651,1
1085,14.664019,12.558,14.11666,0.962673,0.0,0.0,22.475,22.475,42.5424,76.379,1.029136,0.906303,275,810,0.253456,102900005115779,云南生菜,花叶类,15910.461,810,10,0.033782,5,198520.978,0.080145,2
1085,14.374194,0.0,27.362539,1.903588,0.0,0.0,21.0,21.0,61.8,281.0,3.788242,23.293231,656,429,0.604608,106949711300259,金针菇(盒),食用菌,15596.0,429,5,0.033114,6,76086.725,0.204977,1
1085,13.202765,0.0,22.513288,1.705195,0.0,0.0,25.0,25.0,58.8,151.0,1.9378,4.083483,685,400,0.631336,102900011030059,云南生菜(份),花叶类,14325.0,400,10,0.030416,7,198520.978,0.072159,3
1085,12.536406,10.944,9.335997,0.744711,0.0,6.894,16.002,9.108,28.7956,109.43,2.626975,16.504754,63,1022,0.058065,102900005116257,紫茄子(2),茄类,13602.001,1022,9,0.02888,8,22431.782,0.606372,1
1085,10.986384,8.996,11.581647,1.054182,0.0,0.191,14.685,14.494,34.5676,79.166,1.839507,4.895523,264,821,0.243318,102900005116530,西峡香菇(1),食用菌,11920.227,821,27,0.02531,9,76086.725,0.156666,2
1085,9.984332,0.0,14.922702,1.494612,0.0,0.0,19.0,19.0,37.0,210.0,3.215281,29.783626,597,488,0.55023,102900011031100,小米椒(份),辣椒类,10833.0,488,12,0.023001,10,91588.629,0.118279,2
1085,9.498031,6.396,11.003662,1.15852,0.0,0.0,13.911,13.911,32.0142,76.615,1.803984,4.362767,303,782,0.279263,102900005115984,云南油麦菜,花叶类,10305.364,782,6,0.021881,11,198520.978,0.051911,4
1085,8.942972,0.0,19.620909,2.194003,0.0,0.0,0.0,0.0,53.8678,144.05,2.46992,7.056003,857,228,0.789862,102900005117056,泡泡椒(精品),辣椒类,9703.125,228,8,0.020602,12,91588.629,0.105942,3
1085,8.278341,5.0,16.552777,1.999528,0.0,0.0,11.0,11.0,29.0,407.0,13.987879,314.889801,397,688,0.365899,102900005118831,娃娃菜,花叶类,8982.0,688,6,0.019071,13,198520.978,0.045245,5
1085,8.154839,0.0,14.671935,1.799169,0.0,0.0,12.0,12.0,38.8,164.0,2.962141,15.764979,675,410,0.62212,102900011030097,云南油麦菜(份),花叶类,8848.0,410,7,0.018787,14,198520.978,0.04457,6
1085,7.736208,0.0,12.035773,1.555772,0.0,0.0,14.4,14.4,29.721,88.508,2.064022,6.413207,641,444,0.590783,102900011009970,青梗散花,花菜类,8393.786,444,1,0.017822,15,41766.451,0.20097,2
1085,7.589862,0.0,13.894585,1.830677,0.0,0.0,10.0,10.0,39.0,79.0,1.981263,3.426369,703,382,0.647926,102900011032251,螺丝椒(份),辣椒类,8235.0,382,4,0.017485,16,91588.629,0.089913,4
1085,7.362203,4.699,10.107116,1.372839,0.0,1.275,9.8,8.525,24.797,187.729,6.598925,96.428962,181,904,0.16682,102900051010455,黄白菜(2),花叶类,7987.99,904,8,0.016961,17,198520.978,0.040238,7
1085,7.181734,5.573,7.534272,1.049088,0.0,1.687,10.36,8.673,19.639,64.215,2.281087,9.064005,227,858,0.209217,102900011000328,螺丝椒,辣椒类,7792.181,858,6,0.016545,18,91588.629,0.085078,5
1085,7.010835,5.158,7.006176,0.999335,0.0,2.273,10.122,7.849,20.7946,43.597,1.84002,4.480381,166,919,0.152995,102900005115823,上海青,花叶类,7606.756,919,3,0.016151,19,198520.978,0.038317,8
1085,6.673515,2.551,8.441018,1.264853,0.0,0.0,11.514,11.514,22.0888,61.519,1.579197,3.4345,418,667,0.385253,102900005115786,竹叶菜,花叶类,7240.764,667,12,0.015374,20,198520.978,0.036474,9
1085,6.388018,0.0,14.208764,2.224283,0.0,0.0,0.0,0.0,39.0,153.0,2.884621,13.301874,841,244,0.775115,102900011034231,奶白菜(份),花叶类,6931.0,244,4,0.014716,21,198520.978,0.034913,10
1085,5.976715,0.0,16.023927,2.681059,0.0,0.0,0.0,0.0,40.8456,138.485,3.457401,14.109744,885,200,0.815668,102900011033906,保康高山大白菜,花叶类,6484.736,200,5,0.013769,22,198520.978,0.032665,11
1085,5.845161,0.0,10.355133,1.771573,0.0,0.0,10.0,10.0,26.0,102.0,2.573057,10.883599,699,386,0.64424,102900011030110,菠菜(份),花叶类,6342.0,386,5,0.013466,23,198520.978,0.031946,12
1085,5.57788,0.0,12.372697,2.218172,0.0,0.0,7.0,7.0,27.0,131.0,4.627379,31.411291,692,393,0.637788,102900011021842,洪湖莲藕(粉藕),水生根茎类,6052.0,393,6,0.01285,24,40581.353,0.149133,2
1085,5.365503,0.0,9.812713,1.828852,0.0,0.0,8.81,8.81,27.7596,47.649,1.899974,2.976285,748,337,0.689401,102900011034026,枝江青梗散花,花菜类,5821.571,337,7,0.012361,25,41766.451,0.139384,3
1085,5.360653,4.914,5.35147,0.998287,0.0,0.0,8.278,8.278,15.9586,36.049,1.34175,3.06254,323,762,0.297696,102900011008164,奶白菜,花叶类,5816.308,762,6,0.012349,26,198520.978,0.029298,13
