product_code_a,product_name_a,category_a,product_code_b,product_name_b,category_b,full_sample_residual_rho,full_sample_residual_fdr,period_count_valid,period_sign_consistent,period_min_abs_residual_rho,period_median_abs_residual_rho,periods_abs_residual_rho_ge_0_3,2020H2_raw_rho,2020H2_residual_rho,2021_raw_rho,2021_residual_rho,2022_raw_rho,2022_residual_rho,2023H1_raw_rho,2023H1_residual_rho
102900011032787,竹叶菜(份),花叶类,102900011033234,红薯尖(份),花叶类,0.93210847,0.0,4,True,0.86823217,0.8786474,4,,0.86823217,,0.95486633,0.78013118,0.88193239,,0.87536241
102900011033975,青茄子(2),茄类,102900011033982,紫茄子(1),茄类,0.87414025,0.0,4,True,0.48515901,0.81792546,4,,0.88436555,,0.9268085,0.84836839,0.75148537,-0.04943907,0.48515901
102900011035764,龙牙菜,花叶类,102900011035771,黄白菜(1),花叶类,0.84968256,0.0,4,True,0.60803317,0.82779062,4,,0.95810137,,0.95166135,0.81614618,0.7039199,0.53744403,0.60803317
102900011033234,红薯尖(份),花叶类,102900011033975,青茄子(2),茄类,0.84195775,0.0,4,True,0.29755239,0.75021034,3,,0.84735798,,0.89308582,0.60893584,0.6530627,,0.29755239
102900011033234,红薯尖(份),花叶类,102900011034200,苋菜(份),花叶类,0.83689471,0.0,4,True,0.57893317,0.79943147,4,,0.57893317,,0.93133762,0.62393388,0.70645473,,0.8924082
102900011033234,红薯尖(份),花叶类,102900011034217,小白菜(份),花叶类,0.82788563,0.0,4,True,0.53251438,0.7924688,4,,0.93591724,,0.93615099,0.62190673,0.64902036,,0.53251438
102900011033975,青茄子(2),茄类,102900011034217,小白菜(份),花叶类,0.81921135,0.0,4,True,0.59418961,0.81182913,4,,0.91285855,,0.95270902,0.67561437,0.59418961,,0.71079972
102900011033982,紫茄子(1),茄类,102900011034200,苋菜(份),花叶类,0.8105035,0.0,4,True,0.34007634,0.71557296,4,,0.72291037,,0.89530961,0.70188917,0.70823555,,0.34007634
102900011033975,青茄子(2),茄类,102900011034200,苋菜(份),花叶类,0.80905923,0.0,4,True,0.32400383,0.63294826,4,,0.60000771,,0.8650024,0.63950487,0.66588881,,0.32400383
102900011033982,紫茄子(1),茄类,102900011034217,小白菜(份),花叶类,0.80860543,0.0,4,True,0.29577456,0.63664222,3,,0.73590568,,0.87800748,0.66116391,0.53737875,,0.29577456
102900011033234,红薯尖(份),花叶类,102900011033982,紫茄子(1),茄类,0.80827712,0.0,4,True,0.1955369,0.69611746,3,,0.75721523,,0.86944974,0.63969553,0.63501969,,0.1955369
102900011032633,海鲜菇(2),食用菌,102900011032640,姬菇(2),食用菌,0.78509637,0.0,4,True,0.64332955,0.78324541,4,,0.71881489,,0.84767593,0.80152902,0.64332955,,0.91447884
102900011030134,菜心(份),花叶类,102900011030141,上海青(份),花叶类,0.78222549,0.0,4,True,0.57924164,0.71110693,4,,0.83107627,0.91665337,0.959337,0.75693781,0.57924164,0.5759569,0.59113759
102900011032787,竹叶菜(份),花叶类,102900011033975,青茄子(2),茄类,0.77725698,0.0,4,True,0.13213782,0.62531084,3,,0.65196394,,0.80497027,0.47536616,0.59865773,,0.13213782
102900011032787,竹叶菜(份),花叶类,102900011034200,苋菜(份),花叶类,0.77190002,0.0,4,True,0.42656277,0.67428562,4,,0.42656277,,0.86960679,0.52443526,0.61781412,,0.73075712
102900011030059,云南生菜(份),花叶类,102900011030097,云南油麦菜(份),花叶类,0.75990386,0.0,4,True,0.30717821,0.83233226,4,,0.93774152,0.84777468,0.95992004,0.87492021,0.72692299,0.37098217,0.30717821
102900011033937,金针菇(2),食用菌,102900011034217,小白菜(份),花叶类,0.75821525,0.0,4,True,0.29921088,0.62268197,3,,0.85774499,,0.8942356,0.62179168,0.38761895,,0.29921088
102900011032787,竹叶菜(份),花叶类,102900011034217,小白菜(份),花叶类,0.75728749,0.0,4,True,0.33441156,0.70186718,4,,0.76547553,,0.86190806,0.51987675,0.63825884,,0.33441156
102900011001561,莲蓬(个),水生根茎类,102900011033937,金针菇(2),食用菌,0.72772617,0.0,4,True,0.26172824,0.58613759,3,,0.75128393,,0.87960834,0.65656013,0.42099126,,0.26172824
102900011030141,上海青(份),花叶类,102900011034224,小青菜(份),花叶类,0.72588607,0.0,4,True,0.44633538,0.7737837,4,,0.9265647,,0.93471496,0.68141312,0.44633538,0.84302941,0.62100271
102900011030912,海鲜菇(份),食用菌,102900011033920,黄心菜(2),花叶类,0.72390805,0.0,4,True,0.35031886,0.48002963,4,,0.58142205,,0.8980452,0.72168973,0.35031886,0.19863881,0.3786372
102900011032787,竹叶菜(份),花叶类,102900011033982,紫茄子(1),茄类,0.72219975,0.0,4,True,0.05763758,0.54802771,3,,0.52487334,,0.78240092,0.49657479,0.57118207,,0.05763758
102900011032589,鱼腥草,花叶类,102900011032633,海鲜菇(2),食用菌,0.71932016,0.0,4,True,0.57038987,0.70180628,4,,0.62289303,,0.78071953,0.7933121,0.57038987,,0.8903176
102900011034200,苋菜(份),花叶类,102900011034217,小白菜(份),花叶类,0.71927949,0.0,4,True,0.45964793,0.49441235,4,,0.51338637,,0.87250595,0.50364364,0.47543834,,0.45964793
102900011001561,莲蓬(个),水生根茎类,102900011034217,小白菜(份),花叶类,0.71428676,0.0,4,True,0.37408356,0.6514152,4,,0.781842,,0.90229233,0.62872942,0.5209884,,0.37408356
102900011022849,本地黄心油菜,花叶类,102900011035771,黄白菜(1),花叶类,0.71002746,0.0,4,True,0.33023036,0.56751989,4,,0.77448325,,0.89401031,0.67594244,0.36055652,0.61531826,0.33023036
102900011031995,姬菇(份),食用菌,102900011032619,西峡香菇(2),食用菌,0.70931402,0.0,4,True,0.14567116,0.51772636,2,,0.76387471,,0.870879,0.54754251,0.271578,,0.14567116
102900011031995,姬菇(份),食用菌,102900011033937,金针菇(2),食用菌,0.70754904,0.0,4,True,0.08785868,0.58693995,3,,0.82216679,,0.86461354,0.61979072,0.35171312,,0.08785868
102900011030134,菜心(份),花叶类,102900011034224,小青菜(份),花叶类,0.70750695,0.0,4,True,0.48554173,0.62269495,4,,0.74659513,,0.8945369,0.66827774,0.49879477,0.60130375,0.48554173
102900011022849,本地黄心油菜,花叶类,102900011035764,龙牙菜,花叶类,0.70629133,0.0,4,True,0.35303677,0.59447113,4,,0.760178,,0.90316539,0.61191795,0.35303677,0.5912792,0.42876426
102900011001813,金针菇(袋)(1),食用菌,102900011011546,海鲜菇(袋)(1),食用菌,0.70358432,0.0,4,False,0.20498575,0.47472848,2,0.54561496,0.23968908,0.16943393,0.70976788,,0.71612224,,-0.20498575
102900011035771,黄白菜(1),花叶类,102900011035788,西峡香菇(份),食用菌,0.70077583,0.0,4,True,0.26153071,0.63994572,3,,0.8131032,,0.81033432,0.72914202,0.46955712,0.53919251,0.26153071
102900011035764,龙牙菜,花叶类,102900011035788,西峡香菇(份),食用菌,0.69871993,0.0,4,True,0.18099941,0.63759022,3,,0.7444453,,0.85691556,0.68044709,0.53073515,0.35866011,0.18099941
102900005115960,大白菜,花叶类,102900011018095,虫草花(袋),食用菌,0.6985467,0.0,4,True,0.46986018,0.58349661,4,0.78253703,0.52231897,0.59889328,0.64467426,,0.94617826,,0.46986018
102900011031995,姬菇(份),食用菌,102900011034217,小白菜(份),花叶类,0.69659721,0.0,4,True,0.14468348,0.51791493,3,,0.69006569,,0.85820859,0.56167787,0.34576417,,0.14468348
102900011032206,青杭椒(份),辣椒类,102900011032787,竹叶菜(份),花叶类,0.69641974,0.0,4,True,0.41893269,0.59984493,4,,0.75763904,,0.73667969,0.6014859,0.41893269,,0.46301018
106930274220092,蟹味菇(袋),食用菌,106949711300068,金针菇(袋)(3),食用菌,0.69490781,0.0,4,True,0.04976017,0.61051416,3,0.2453938,0.04976017,0.65369539,0.33674588,,0.90361053,,0.88428244
106949711300068,金针菇(袋)(3),食用菌,106958851400125,海鲜菇(袋)(4),食用菌,0.69266914,0.0,4,True,0.03233611,0.57635397,3,0.33343762,0.03233611,0.48295053,0.35093134,,0.8017766,,0.93975328
102900011032206,青杭椒(份),辣椒类,102900011033234,红薯尖(份),花叶类,0.69172398,0.0,4,True,0.4829539,0.61993633,4,,0.85636763,,0.70805789,0.61165582,0.4829539,,0.53181477
102900011031582,青尖椒(份),辣椒类,102900011032213,红杭椒(份),辣椒类,0.68817957,0.0,4,True,0.28817419,0.79165888,3,,0.7974437,,0.9304598,0.55122261,0.28817419,0.50247305,0.78587405
102900011001561,莲蓬(个),水生根茎类,102900011033975,青茄子(2),茄类,0.68289658,0.0,4,True,0.40335607,0.57434372,4,,0.66995242,,0.88986804,0.5815592,0.47873503,,0.40335607
102900011032251,螺丝椒(份),辣椒类,102900011035078,红椒(2),辣椒类,0.68144916,0.0,4,True,0.35982592,0.64518786,4,,0.66648109,,0.88496285,0.77495009,0.62389462,0.46679869,0.35982592
102900011032732,高瓜(2),水生根茎类,102900011033982,紫茄子(1),茄类,0.67128253,0.0,4,True,0.2871817,0.57682411,3,,0.79156248,,0.92052448,0.51045291,0.36208574,0.29037627,0.2871817
102900011001561,莲蓬(个),水生根茎类,102900011033234,红薯尖(份),花叶类,0.67021956,0.0,4,False,0.09260574,0.55683331,3,,0.71780162,,0.83818241,0.4487036,0.395865,,-0.09260574
102900011031995,姬菇(份),食用菌,102900011032732,高瓜(2),水生根茎类,0.66882677,0.0,4,True,0.10917621,0.55143683,2,,0.85335093,,0.87808098,0.45325588,0.24952273,,0.10917621
102900011007969,红莲藕带,水生根茎类,106972776821582,鲜粽叶(袋)(3),花叶类,0.66649764,0.0,4,True,0.15643487,0.53731313,3,,0.54163665,,0.84979611,,0.53298961,0.59952267,0.15643487
102900011031582,青尖椒(份),辣椒类,102900011031995,姬菇(份),食用菌,0.6654146,0.0,4,True,0.19537846,0.58028644,3,,0.85325654,,0.84026947,0.49720751,0.3203034,,0.19537846
102900011010891,野藕(1),水生根茎类,102900011035740,蟹味菇与白玉菇双拼(盒),食用菌,0.66072793,0.0,4,True,0.16639402,0.48262092,3,,0.3658608,,0.59938103,,0.65401627,0.26563802,0.16639402
102900005115625,本地小毛白菜,花叶类,102900011035771,黄白菜(1),花叶类,0.6599266,0.0,4,True,0.17772153,0.54267754,3,,0.7525457,,0.85687567,0.51850005,0.33280938,,0.17772153
102900011031995,姬菇(份),食用菌,102900011034200,苋菜(份),花叶类,0.65906396,0.0,4,True,0.15923125,0.53148527,2,,0.80463293,,0.87589031,0.41062053,0.25833762,,0.15923125
102900011032732,高瓜(2),水生根茎类,102900011034217,小白菜(份),花叶类,0.65759448,0.0,4,True,0.31241828,0.42467476,4,,0.52983761,,0.85567998,0.4405424,0.31241828,,0.31951192
102900011007969,红莲藕带,水生根茎类,106971533450003,海鲜菇(包),食用菌,0.65679794,0.0,4,True,0.21749725,0.51352579,3,,0.21749725,,0.66186024,,0.51909146,0.83348909,0.50796012
102900005117209,七彩椒(1),辣椒类,102900011001219,红灯笼椒(1),辣椒类,0.65566062,0.0,4,True,0.3087939,0.61486364,4,0.32872711,0.3087939,0.71841088,0.70352174,0.42196369,0.78715791,0.21592837,0.52620554
102900011032350,灯笼椒(2),辣椒类,106930274620090,海鲜菇(袋)(2),食用菌,0.6520821,0.0,4,True,0.2435688,0.390983,3,,0.2435688,,0.46348704,0.31313164,0.62773218,0.83073039,0.31847897
102900011033937,金针菇(2),食用菌,102900011033975,青茄子(2),茄类,0.65172946,0.0,4,True,0.18413326,0.52070071,2,,0.78536534,,0.86440706,0.49277304,0.25603608,,0.18413326
102900005115625,本地小毛白菜,花叶类,102900011035788,西峡香菇(份),食用菌,0.64945978,0.0,4,True,0.2188442,0.50452618,2,,0.82045231,,0.75436818,0.50425046,0.25468419,,0.2188442
102900011031995,姬菇(份),食用菌,102900011033982,紫茄子(1),茄类,0.64824729,0.0,4,True,0.28359177,0.58713031,3,,0.73198359,,0.90300784,0.51781357,0.28359177,,0.44227703
102900011033937,金针菇(2),食用菌,102900011033982,紫茄子(1),茄类,0.64801085,0.0,4,True,0.11440065,0.45686972,2,,0.67543488,,0.84443909,0.50806828,0.23830456,,0.11440065
102900011030929,鲜木耳(份),食用菌,102900011034224,小青菜(份),花叶类,0.64770753,0.0,4,True,0.37769618,0.52032201,4,,0.57547533,,0.92918132,0.66294826,0.37769618,0.7006975,0.46516868
102900011022849,本地黄心油菜,花叶类,102900011030912,海鲜菇(份),食用菌,0.64687346,0.0,4,True,0.300631,0.44203775,4,,0.37402477,,0.85096019,0.63918305,0.300631,0.47001253,0.51005072
102900011033234,红薯尖(份),花叶类,102900011033937,金针菇(2),食用菌,0.64625427,0.0,4,True,0.1707707,0.48945499,2,,0.79597966,,0.87425207,0.39694685,0.18293033,,0.1707707
102900005115625,本地小毛白菜,花叶类,102900011035764,龙牙菜,花叶类,0.64471328,0.0,4,True,0.23108121,0.54163043,3,,0.7431161,,0.84036305,0.48853652,0.34014475,,0.23108121
102900011030141,上海青(份),花叶类,102900011031995,姬菇(份),食用菌,0.64350566,0.0,4,True,0.2606459,0.54101142,3,,0.75643505,,0.86548007,0.51579906,0.32558778,,0.2606459
102900011001561,莲蓬(个),水生根茎类,102900011032787,竹叶菜(份),花叶类,0.64268641,0.0,4,False,0.23036513,0.50038427,3,,0.648587,,0.76199993,0.34387256,0.35218154,,-0.23036513
102900011032732,高瓜(2),水生根茎类,102900011033975,青茄子(2),茄类,0.64049907,0.0,4,True,0.31641923,0.50906491,4,,0.64045771,,0.89024938,0.48619607,0.37767212,0.28511021,0.31641923
102900011030141,上海青(份),花叶类,102900011032732,高瓜(2),水生根茎类,0.63835044,0.0,4,True,0.38167418,0.63084856,4,,0.89693899,,0.84603819,0.53383716,0.38167418,0.22876118,0.41565892
102900011030141,上海青(份),花叶类,102900011031582,青尖椒(份),辣椒类,0.63612031,0.0,4,True,0.27653311,0.64125114,3,,0.67281886,,0.80681047,0.47736564,0.27653311,0.29523349,0.60968343
102900011031995,姬菇(份),食用菌,102900011033975,青茄子(2),茄类,0.63576556,0.0,4,True,0.3406252,0.60238698,4,,0.71697906,,0.9103305,0.4868838,0.3406252,,0.48779489
102900011032732,高瓜(2),水生根茎类,102900011034224,小青菜(份),花叶类,0.6355755,0.0,4,True,0.28826494,0.61984767,3,,0.91956233,,0.89351181,0.61734145,0.28826494,0.27774346,0.34618352
102900011033944,杏鲍菇(2),食用菌,102900011034026,枝江青梗散花,花菜类,0.63316368,0.0,4,True,0.43621411,0.67755408,4,,0.87265705,,0.95459061,0.73988008,0.43621411,0.56727036,0.4824511
102900011022849,本地黄心油菜,花叶类,102900011035511,净藕(3),水生根茎类,0.63312967,0.0,4,True,0.41605237,0.64843118,4,,0.56837279,,0.86818179,0.66421241,0.41605237,0.86305613,0.72848956
102900005116547,金针菇(1),食用菌,102900011009970,青梗散花,花菜类,0.63098768,0.0,4,True,0.32762035,0.5892053,4,0.4850477,0.32762035,0.635818,0.43140812,0.15261805,0.89547093,0.60340903,0.74700248
102900011022030,组合椒系列,辣椒类,106949711300068,金针菇(袋)(3),食用菌,0.63071264,0.0,4,True,0.09732482,0.68330351,3,,0.70751671,0.55195535,0.09732482,,0.88872768,,0.6590903
102900011030912,海鲜菇(份),食用菌,102900011030929,鲜木耳(份),食用菌,0.63008378,0.0,4,True,0.2837495,0.55769724,3,,0.77537709,,0.92127586,0.69579844,0.34001738,0.13986737,0.2837495
102900011032732,高瓜(2),水生根茎类,102900011034200,苋菜(份),花叶类,0.62896433,0.0,4,True,0.29195603,0.61983891,3,,0.84368824,,0.92143969,0.42129375,0.29195603,,0.39598959
102900011001561,莲蓬(个),水生根茎类,102900011033982,紫茄子(1),茄类,0.62610428,0.0,4,True,0.09914092,0.43820676,3,,0.43416232,,0.82792797,0.58193873,0.4422512,,0.09914092
102900011030141,上海青(份),花叶类,102900011030912,海鲜菇(份),食用菌,0.62459949,0.0,4,True,0.30454649,0.3959993,4,,0.47144343,,0.80393213,0.53594657,0.30454649,0.2186479,0.32055516
102900011031582,青尖椒(份),辣椒类,102900011033920,黄心菜(2),花叶类,0.62399387,0.0,4,True,0.22024062,0.41605438,3,,0.46555836,,0.75462609,0.42502219,0.22024062,0.28668524,0.36655041
102900011032619,西峡香菇(2),食用菌,102900011032732,高瓜(2),水生根茎类,0.62361024,0.0,4,True,0.10210603,0.51302332,2,,0.75747529,,0.86789504,0.49127015,0.26857136,,0.10210603
106930274220092,蟹味菇(袋),食用菌,106958851400125,海鲜菇(袋)(4),食用菌,0.6212418,0.0,4,True,0.0778544,0.51697047,2,0.25386467,0.0778544,0.51178138,0.28783697,,0.74610396,,0.86521189
102900011031995,姬菇(份),食用菌,102900011032213,红杭椒(份),辣椒类,0.6207422,0.0,4,True,0.14321018,0.56209181,2,,0.9414363,,0.89441673,0.46132732,0.22976689,,0.14321018
102900011032213,红杭椒(份),辣椒类,102900011033937,金针菇(2),食用菌,0.61943795,0.0,4,True,0.2106963,0.59261074,3,,0.81241163,,0.89549978,0.44177438,0.2106963,,0.37280986
106971533450003,海鲜菇(包),食用菌,106972776821582,鲜粽叶(袋)(3),花叶类,0.61730697,0.0,4,True,0.04509604,0.47594684,3,,0.38635549,,0.56553818,,0.73937719,0.57128786,0.04509604
102900011001561,莲蓬(个),水生根茎类,102900011032206,青杭椒(份),辣椒类,0.61647767,0.0,4,True,0.03814727,0.48438118,3,,0.79404558,,0.57150885,0.46778737,0.39725351,,0.03814727
102900011032787,竹叶菜(份),花叶类,102900011033937,金针菇(2),食用菌,0.61621463,0.0,4,True,0.20823339,0.44759112,2,,0.65167883,,0.84229633,0.29353948,0.20823339,,0.2435034
102900011032213,红杭椒(份),辣椒类,102900011032732,高瓜(2),水生根茎类,0.61608744,0.0,4,True,0.23987693,0.68758959,3,,0.76976749,,0.89961947,0.4732547,0.23987693,0.42184998,0.60541169
102900011030912,海鲜菇(份),食用菌,102900011031582,青尖椒(份),辣椒类,0.61514705,0.0,4,True,0.23777483,0.29937514,2,,0.34042496,,0.75311379,0.38025387,0.25832532,0.34750037,0.23777483
102900011032732,高瓜(2),水生根茎类,102900011033937,金针菇(2),食用菌,0.6142742,0.0,4,True,0.24180969,0.51265841,3,,0.60629154,,0.8685127,0.41062332,0.24180969,,0.41902528
102900011032251,螺丝椒(份),辣椒类,102900011033944,杏鲍菇(2),食用菌,0.61401849,0.0,4,True,0.42350896,0.51347785,4,,0.52823679,,0.8829661,0.73027214,0.49871892,0.53388673,0.42350896
102900011022030,组合椒系列,辣椒类,106930274220092,蟹味菇(袋),食用菌,0.60865899,0.0,4,True,0.11681237,0.39728737,2,,0.21813103,0.37592597,0.11681237,,0.84943022,,0.57644372
102900011032251,螺丝椒(份),辣椒类,106949711300259,金针菇(盒),食用菌,0.60786284,0.0,4,True,0.38885357,0.6214779,4,,0.81235384,,0.80006959,0.51139652,0.44288621,0.42483224,0.38885357
102900011031995,姬菇(份),食用菌,102900011034224,小青菜(份),花叶类,0.60612079,0.0,4,True,0.22633943,0.58277475,3,,0.80695614,,0.91278711,0.536688,0.22633943,,0.35859337
102900011031995,姬菇(份),食用菌,102900011033234,红薯尖(份),花叶类,0.60331613,0.0,4,True,0.07324094,0.48104682,2,,0.68526709,,0.84750282,0.36609618,0.27682656,,0.07324094
102900011032619,西峡香菇(2),食用菌,102900011033937,金针菇(2),食用菌,0.60270187,0.0,4,False,0.32803448,0.38806362,4,,0.41789601,,0.75923173,0.54594643,0.32803448,,-0.35823122
102900011030042,枝江红菜苔(份),花叶类,102900011030158,小青菜(2),花叶类,0.60255619,0.0,4,True,0.50998054,0.57528385,4,,0.50998054,0.81692847,0.5987162,0.90693268,0.5518515,,0.72530016
102900011032213,红杭椒(份),辣椒类,102900011033920,黄心菜(2),花叶类,0.600949,0.0,4,True,0.08231674,0.3943774,3,,0.4269885,,0.79577655,0.45735909,0.08231674,0.33160848,0.36176631
