product_code_a,product_name_a,category_a,product_code_b,product_name_b,category_b,same_category,n_days,positive_days_a,positive_days_b,min_positive_days,joint_positive_days,union_positive_days,jaccard_positive_days,raw_spearman_rho,raw_spearman_p,raw_spearman_p_fdr,raw_spearman_ci_low,raw_spearman_ci_high,residual_spearman_rho,residual_spearman_p,residual_spearman_p_fdr,residual_spearman_ci_low,residual_spearman_ci_high,residual_change,eligible_for_overlap_screen,raw_strong,residual_strong,residual_significant_fdr,robust_residual_relation
102900011032787,竹叶菜(份),花叶类,102900011033234,红薯尖(份),花叶类,True,1085,77,58,58,52,83,0.62650602,0.77594411,0.0,0.0,0.75111621,0.79858014,0.93210847,0.0,0.0,0.92384326,0.93950487,0.15616436,True,True,True,True,True
102900011033975,青茄子(2),茄类,102900011033982,紫茄子(1),茄类,True,1085,52,44,44,33,63,0.52380952,0.69247038,0.0,0.0,0.66016266,0.72222058,0.87414025,0.0,0.0,0.8593317,0.8874842,0.18166987,True,True,True,True,True
102900011035764,龙牙菜,花叶类,102900011035771,黄白菜(1),花叶类,True,1085,63,70,63,52,81,0.64197531,0.771966,0.0,0.0,0.74676013,0.79495753,0.84968256,0.0,0.0,0.83225391,0.86543338,0.07771656,True,True,True,True,True
102900011033234,红薯尖(份),花叶类,102900011033975,青茄子(2),茄类,False,1085,58,52,52,31,79,0.39240506,0.5614957,0.0,0.0,0.5193361,0.60092871,0.84195775,0.0,0.0,0.8237188,0.85845607,0.28046205,True,True,True,True,True
102900011033234,红薯尖(份),花叶类,102900011034200,苋菜(份),花叶类,True,1085,58,56,56,37,77,0.48051948,0.64213013,0.0,0.0,0.60576576,0.67581741,0.83689471,0.0,0.0,0.81812916,0.85387964,0.19476458,True,True,True,True,True
102900011033234,红薯尖(份),花叶类,102900011034217,小白菜(份),花叶类,True,1085,58,47,47,33,72,0.45833333,0.62959281,0.0,0.0,0.5922708,0.66421895,0.82788563,0.0,0.0,0.80819179,0.84572992,0.19829282,True,True,True,True,True
102900011033975,青茄子(2),茄类,102900011034217,小白菜(份),花叶类,False,1085,52,47,47,32,67,0.47761194,0.63891093,0.0,0.0,0.60229867,0.67284087,0.81921135,0.0,0.0,0.79863432,0.8378752,0.18030042,True,True,True,True,True
102900011033982,紫茄子(1),茄类,102900011034200,苋菜(份),花叶类,False,1085,44,56,44,31,69,0.44927536,0.62290934,0.0,0.0,0.58508537,0.65802915,0.8105035,0.0,0.0,0.78905029,0.8299823,0.18759416,True,True,True,True,True
102900011033975,青茄子(2),茄类,102900011034200,苋菜(份),花叶类,False,1085,52,56,52,32,76,0.42105263,0.59018982,0.0,0.0,0.54999395,0.62765777,0.80905923,0.0,0.0,0.7874617,0.82867245,0.21886942,True,True,True,True,True
102900011033982,紫茄子(1),茄类,102900011034217,小白菜(份),花叶类,False,1085,44,47,44,28,63,0.44444444,0.60631951,0.0,0.0,0.56727519,0.64264417,0.80860543,0.0,0.0,0.78696262,0.82826083,0.20228592,True,True,True,True,True
102900011033234,红薯尖(份),花叶类,102900011033982,紫茄子(1),茄类,False,1085,58,44,44,29,73,0.39726027,0.57001722,0.0,0.0,0.52842949,0.60887587,0.80827712,0.0,0.0,0.78660156,0.82796303,0.2382599,True,True,True,True,True
102900011032633,海鲜菇(2),食用菌,102900011032640,姬菇(2),食用菌,True,1085,43,33,33,31,45,0.68888889,0.81712581,0.0,0.0,0.79633798,0.83598556,0.78509637,0.0,0.0,0.76114624,0.8069083,-0.03202944,True,True,True,True,True
102900011030134,菜心(份),花叶类,102900011030141,上海青(份),花叶类,True,1085,275,287,275,247,315,0.78412698,0.84896098,0.0,0.0,0.83145629,0.86478189,0.78222549,0.0,0.0,0.75799878,0.80429685,-0.0667355,True,True,True,True,True
102900011032787,竹叶菜(份),花叶类,102900011033975,青茄子(2),茄类,False,1085,77,52,52,29,100,0.29,0.4462496,0.0,0.0,0.39728657,0.49267916,0.77725698,0.0,0.0,0.75255429,0.79977533,0.33100739,True,False,True,True,True
102900011032787,竹叶菜(份),花叶类,102900011034200,苋菜(份),花叶类,True,1085,77,56,56,38,95,0.4,0.5609211,0.0,0.0,0.51872329,0.60039256,0.77190002,0.0,0.0,0.7466879,0.79489743,0.21097891,True,True,True,True,True
102900011030059,云南生菜(份),花叶类,102900011030097,云南油麦菜(份),花叶类,True,1085,400,410,400,387,423,0.91489362,0.93214555,0.0,0.0,0.92388467,0.93953804,0.75990386,0.0,0.0,0.73356518,0.78396328,-0.17224169,True,True,True,True,True
102900011033937,金针菇(2),食用菌,102900011034217,小白菜(份),花叶类,False,1085,89,47,47,42,94,0.44680851,0.64285962,0.0,0.0,0.60655162,0.67649176,0.75821525,0.0,0.0,0.73171956,0.78242296,0.11535563,True,True,True,True,True
102900011032787,竹叶菜(份),花叶类,102900011034217,小白菜(份),花叶类,True,1085,77,47,47,32,92,0.34782609,0.52661082,0.0,0.0,0.48220943,0.56831364,0.75728749,0.0,0.0,0.73070571,0.78157656,0.23067667,True,True,True,True,True
102900011001561,莲蓬(个),水生根茎类,102900011033937,金针菇(2),食用菌,False,1085,86,89,86,55,120,0.45833333,0.61838481,0.0,0.0,0.5802244,0.65383612,0.72772617,0.0,0.0,0.69846238,0.75456035,0.10934136,True,True,True,True,True
102900011030141,上海青(份),花叶类,102900011034224,小青菜(份),花叶类,True,1085,287,179,179,167,299,0.55852843,0.72645779,0.0,0.0,0.69708158,0.75339914,0.72588607,0.0,0.0,0.69645926,0.75287567,-0.00057172,True,True,True,True,True
102900011030912,海鲜菇(份),食用菌,102900011033920,黄心菜(2),花叶类,False,1085,162,223,162,150,235,0.63829787,0.77553603,0.0,0.0,0.75066925,0.7982086,0.72390805,0.0,0.0,0.6943065,0.75106431,-0.05162797,True,True,True,True,True
102900011032787,竹叶菜(份),花叶类,102900011033982,紫茄子(1),茄类,False,1085,77,44,44,27,94,0.28723404,0.45019043,0.0,0.0,0.40143164,0.49640464,0.72219975,0.0,0.0,0.69244772,0.74949962,0.27200931,True,False,True,True,True
102900011032589,鱼腥草,花叶类,102900011032633,海鲜菇(2),食用菌,False,1085,31,43,31,30,44,0.68181818,0.81347018,0.0,0.0,0.7923143,0.83267222,0.71932016,0.0,0.0,0.68931537,0.74686142,-0.09415002,True,True,True,True,True
