sales_date,all_category_net_sales_kg,month,weekday
2020-07-01,404.346,7,2
2020-07-02,393.678,7,3
2020-07-03,385.018,7,4
2020-07-04,483.299,7,5
2020-07-05,516.917,7,6
2020-07-06,371.537,7,0
2020-07-07,347.803,7,1
2020-07-08,358.126,7,2
2020-07-09,353.294,7,3
2020-07-10,389.427,7,4
2020-07-11,562.286,7,5
2020-07-12,595.632,7,6
2020-07-13,382.197,7,0
2020-07-14,403.509,7,1
2020-07-15,419.362,7,2
2020-07-16,415.831,7,3
2020-07-17,400.779,7,4
2020-07-18,559.099,7,5
2020-07-19,661.57,7,6
2020-07-20,415.89,7,0
2020-07-21,406.731,7,1
2020-07-22,493.169,7,2
2020-07-23,428.366,7,3
2020-07-24,367.511,7,4
2020-07-25,518.075,7,5
2020-07-26,570.809,7,6
2020-07-27,418.45,7,0
2020-07-28,368.408,7,1
2020-07-29,432.132,7,2
2020-07-30,415.314,7,3
2020-07-31,374.56,7,4
2020-08-01,474.442,8,5
2020-08-02,522.328,8,6
2020-08-03,448.064,8,0
2020-08-04,400.011,8,1
2020-08-05,504.019,8,2
2020-08-06,448.973,8,3
2020-08-07,469.215,8,4
2020-08-08,652.978,8,5
2020-08-09,529.958,8,6
2020-08-10,454.168,8,0
2020-08-11,440.331,8,1
2020-08-12,439.667,8,2
2020-08-13,383.527,8,3
2020-08-14,474.441,8,4
2020-08-15,545.737,8,5
2020-08-16,524.909,8,6
2020-08-17,438.683,8,0
2020-08-18,459.441,8,1
2020-08-19,457.576,8,2
2020-08-20,494.406,8,3
2020-08-21,456.628,8,4
2020-08-22,568.857,8,5
2020-08-23,575.421,8,6
2020-08-24,486.312,8,0
2020-08-25,596.223,8,1
2020-08-26,499.033,8,2
2020-08-27,470.507,8,3
2020-08-28,492.325,8,4
2020-08-29,628.381,8,5
2020-08-30,627.818,8,6
2020-08-31,511.237,8,0
2020-09-01,470.258,9,1
2020-09-02,385.329,9,2
2020-09-03,397.806,9,3
2020-09-04,405.805,9,4
2020-09-05,556.705,9,5
2020-09-06,614.327,9,6
2020-09-07,329.046,9,0
2020-09-08,313.966,9,1
2020-09-09,261.669,9,2
2020-09-10,293.756,9,3
2020-09-11,317.565,9,4
2020-09-12,460.913,9,5
2020-09-13,511.082,9,6
2020-09-14,353.293,9,0
2020-09-15,309.957,9,1
2020-09-16,352.717,9,2
2020-09-17,301.947,9,3
2020-09-18,293.903,9,4
2020-09-19,533.26,9,5
2020-09-20,602.088,9,6
2020-09-21,409.435,9,0
2020-09-22,462.842,9,1
2020-09-23,362.97,9,2
2020-09-24,384.096,9,3
2020-09-25,383.05,9,4
2020-09-26,575.419,9,5
2020-09-27,411.579,9,6
2020-09-28,254.094,9,0
2020-09-29,337.418,9,1
2020-09-30,464.59,9,2
2020-10-01,598.202,10,3
2020-10-02,530.332,10,4
2020-10-03,569.646,10,5
2020-10-04,528.081,10,6
2020-10-05,712.233,10,0
2020-10-06,669.004,10,1
2020-10-07,537.208,10,2
2020-10-08,768.263,10,3
2020-10-09,402.629,10,4
2020-10-10,389.581,10,5
2020-10-11,624.378,10,6
2020-10-12,412.6,10,0
2020-10-13,396.041,10,1
2020-10-14,411.359,10,2
2020-10-15,429.617,10,3
2020-10-16,452.718,10,4
2020-10-17,687.583,10,5
2020-10-18,635.403,10,6
2020-10-19,385.779,10,0
2020-10-20,374.903,10,1
2020-10-21,350.009,10,2
2020-10-22,338.768,10,3
2020-10-23,439.06,10,4
2020-10-24,595.86,10,5
2020-10-25,544.504,10,6
2020-10-26,319.009,10,0
2020-10-27,314.575,10,1
2020-10-28,367.101,10,2
2020-10-29,309.422,10,3
2020-10-30,328.825,10,4
2020-10-31,643.143,10,5
2020-11-01,564.446,11,6
2020-11-02,336.271,11,0
2020-11-03,344.76,11,1
2020-11-04,473.597,11,2
2020-11-05,395.466,11,3
2020-11-06,387.825,11,4
2020-11-07,619.971,11,5
2020-11-08,613.911,11,6
2020-11-09,354.981,11,0
2020-11-10,324.18,11,1
2020-11-11,377.213,11,2
2020-11-12,322.802,11,3
2020-11-13,362.015,11,4
2020-11-14,532.052,11,5
2020-11-15,515.304,11,6
2020-11-16,318.557,11,0
2020-11-17,478.589,11,1
2020-11-18,433.373,11,2
2020-11-19,470.158,11,3
2020-11-20,453.92,11,4
2020-11-21,943.42,11,5
2020-11-22,845.41,11,6
2020-11-23,674.667,11,0
2020-11-24,509.523,11,1
2020-11-25,461.381,11,2
2020-11-26,513.018,11,3
2020-11-27,456.978,11,4
2020-11-28,798.402,11,5
2020-11-29,651.607,11,6
2020-11-30,439.98,11,0
2020-12-01,495.276,12,1
2020-12-02,504.588,12,2
2020-12-03,495.89,12,3
2020-12-04,522.557,12,4
2020-12-05,646.721,12,5
2020-12-06,843.714,12,6
2020-12-07,428.298,12,0
2020-12-08,429.834,12,1
2020-12-09,367.508,12,2
2020-12-10,403.913,12,3
