profile,R,总搜索维度,seed,score,raw_profit,相对当前同口径利润变化,risk_term,history_term,smooth_term,边界单元数,平均满足率
pure,1,84,11,287.11383819855547,287.11383819855547,-4019.029172974464,6335.3106678565855,4.116440837582249,0.0,0,0.900352757440196
pure,1,84,29,287.11383819855547,287.11383819855547,-4019.029172974464,6335.3106678565855,4.116440837582249,0.0,0,0.900352757440196
pure,1,84,47,287.1138381985555,287.1138381985555,-4019.029172974464,6335.3106678565855,4.116440837582249,0.0,0,0.900352757440196
pure,4,336,11,4175.996255491449,4175.996255491449,-130.14675568157054,2834.782899895514,19.09581608115224,0.0,0,0.692067534837341
pure,4,336,29,4175.9962087143695,4175.9962087143695,-130.1468024586502,2834.8698835930527,19.09581608115224,0.0,0,0.6920845352205036
pure,4,336,47,4175.893278554305,4175.893278554305,-130.24973261871492,2833.688203416629,19.077313007804445,0.0,0,0.6920188805693541
pure,16,1344,11,4264.481661808126,4264.481661808126,-41.661349364893795,2827.1413902247864,34.40362524704682,0.0,28,0.6897572208959353
pure,16,1344,29,4264.491152243291,4264.491152243291,-41.651858929728405,2827.10779494584,34.40362524618793,0.0,28,0.6895976653096068
pure,16,1344,47,4264.480265869608,4264.480265869608,-41.66274530341161,2827.359335975664,34.40362524704682,0.0,28,0.6897330378639543
pure,64,5376,11,4275.995602326697,4275.995602326697,-30.147408846322833,2830.6450445178307,37.06074502435112,0.0,28,0.6899134230505064
pure,64,5376,29,4276.010721984059,4276.010721984059,-30.132289188960385,2832.0945701241053,37.060744975060935,0.0,28,0.689959179017265
pure,64,5376,47,4275.993554123719,4275.993554123719,-30.14945704930051,2830.543710088184,37.06074502454846,0.0,28,0.6900251824345854
pure,256,21504,11,4276.074076305622,4276.074076305622,-30.06893486739773,2828.306989585665,37.089210000546906,0.0,28,0.6896781516776954
pure,256,21504,29,4276.111070820045,4276.111070820045,-30.031940352974743,2830.85321982231,37.089183417774564,0.0,28,0.6898994130089438
pure,256,21504,47,4276.11053713351,4276.11053713351,-30.032474039509907,2831.062932109406,37.08921014884219,0.0,28,0.6898764135617922
robust,1,84,11,-244.39005848203675,287.07482147446274,-4019.068189698557,6335.203774269827,4.108096335818894,7.952322170474104e-28,0,0.9003489030145003
robust,1,84,29,-244.39005848203675,287.07482147446274,-4019.068189698557,6335.203774269827,4.108096335818894,7.952322170474104e-28,0,0.9003489030145003
robust,1,84,47,-244.39005848203675,287.07482147446274,-4019.068189698557,6335.203774269827,4.108096335818894,7.952322170474104e-28,0,0.9003489030145003
robust,4,336,11,3845.9169069790046,4153.873783885702,-152.26922728731734,2639.719997579285,16.12559451611413,0.017140002446687848,0,0.6757490098095461
robust,4,336,29,3845.916268803112,4153.857486883302,-152.2855242897176,2639.4589003287897,16.12646780661998,0.017132809444864706,0,0.6757290817009288
robust,4,336,47,3845.917081606845,4153.804304173024,-152.33870699999534,2638.814133068853,16.126065045182486,0.017134433050855075,0,0.6756901639731169
robust,16,1344,11,3853.788502434379,4233.402286972916,-72.74072420010361,2594.707686335516,28.67286160528093,6.736775136177548e-12,7,0.6694338445272311
robust,16,1344,29,3853.7965272895044,4233.413514096537,-72.7294970764824,2594.748551830967,28.672850443425887,1.6001433332599567e-26,7,0.669434905826241
robust,16,1344,47,3853.803727578938,4233.446490107792,-72.6965210652279,2595.0707483537644,28.67285044342544,6.250559895546706e-29,7,0.6694708578475248
robust,64,5376,11,3868.129512658876,4196.433412286928,-109.70959888609195,2575.8278854507917,20.36403680233251,0.03563198532882773,7,0.6672583059705132
robust,64,5376,29,3868.12038348295,4196.278710029252,-109.86430114376799,2573.574353114321,20.369862682087998,0.035468136418725926,7,0.6672021997867134
robust,64,5376,47,3868.131875898429,4196.720936908197,-109.4220742648231,2578.919698920843,20.370293335576566,0.03581672176049548,7,0.667712348728067
robust,256,21504,11,3868.1323648311104,4196.813910098317,-109.32910107470252,2578.7097816848113,20.38855424376534,0.035624846553086204,7,0.6674979478848406
robust,256,21504,29,3868.1026104271223,4197.012975258753,-109.13003591426695,2581.7897123874477,20.385546350091058,0.03593982672517417,7,0.6676952042184924
robust,256,21504,47,3868.0901617817904,4196.434023730605,-109.70898744241458,2575.9424516521926,20.36917161152985,0.03562409830716236,7,0.6672965668022478
