profile,R,总搜索维度,平均score,最佳score,平均原始利润,最佳原始利润,原始利润标准差,平均边界单元数,平均满足率
pure,1,84,287.11383819855547,287.1138381985555,287.11383819855547,287.1138381985555,4.0194366942304644e-14,0.0,0.900352757440196
pure,4,336,4175.961914253375,4175.996255491449,4175.961914253375,4175.996255491449,0.05944026360192653,0.0,0.6920569835423995
pure,16,1344,4264.484359973675,4264.491152243291,4264.484359973675,4264.491152243291,0.005923542520482085,28.0,0.689695974689832
pure,64,5376,4275.999959478158,4276.010721984059,4275.999959478158,4276.010721984059,0.00937669631634325,28.0,0.6899659281674523
pure,256,21504,4276.098561419726,4276.111070820045,4276.098561419726,4276.111070820045,0.021206409758184216,28.0,0.6898179927494771
robust,1,84,-244.39005848203678,-244.39005848203675,287.07482147446274,287.07482147446274,0.0,0.0,0.9003489030145003
robust,4,336,3845.916752462987,3845.917081606845,4153.845191647343,4153.873783885702,0.03633506899527266,0.0,0.6757227518278639
robust,16,1344,3853.7962524342743,3853.803727578938,4233.420763725749,4233.446490107792,0.022976011968532023,7.0,0.669446536066999
robust,64,5376,3868.127257346752,3868.131875898429,4196.477686408125,4196.720936908197,0.22441323818183279,7.0,0.6673909514950979
robust,256,21504,3868.108379013341,3868.1323648311104,4196.753636362559,4197.012975258753,0.29414437000040455,7.0,0.667496572968527
