profile,R,seed,step,score,raw_profit,grad_rms
pure,1,11,1,-219.64404634847642,-219.64404634847642,47.851419326748
pure,1,11,50,285.928496165801,285.928496165801,1.5774218103124404
pure,1,11,100,287.1049034003262,287.1049034003262,0.11532970804176651
pure,1,11,150,287.1137376549718,287.1137376549718,0.009161752561984541
pure,1,11,200,287.11383744464183,287.11383744464183,0.0007168100045954631
pure,1,11,250,287.11383819632374,287.11383819632374,4.985769825885444e-05
pure,1,11,300,287.11383819854615,287.11383819854615,3.575441011788235e-06
pure,1,11,350,287.1138381985554,287.1138381985554,2.8977356451041765e-07
pure,1,11,400,287.1138381985555,287.1138381985555,1.9036866536925246e-08
pure,1,11,450,287.1138381985555,287.1138381985555,1.5781164491561732e-09
pure,1,11,500,287.1138381985555,287.1138381985555,8.149683560297821e-11
pure,1,11,550,287.1138381985555,287.1138381985555,6.6275273662915045e-12
pure,1,11,600,287.1138381985555,287.1138381985555,4.795338408214738e-13
pure,1,11,650,287.1138381985555,287.1138381985555,4.383392705484143e-14
pure,1,11,700,287.1138381985555,287.1138381985555,2.7749229599175367e-14
pure,1,11,750,287.1138381985555,287.1138381985555,2.4300348355772423e-14
pure,1,29,1,-184.406817866423,-184.406817866423,45.54116948768786
pure,1,29,50,285.9950454101559,285.9950454101559,1.5591256941547613
pure,1,29,100,287.10722695378206,287.10722695378206,0.10721652500814237
pure,1,29,150,287.1137650168629,287.1137650168629,0.0076025865567835756
pure,1,29,200,287.11383750497527,287.11383750497527,0.0006444914537123254
pure,1,29,250,287.113838196562,287.113838196562,4.646901216402962e-05
pure,1,29,300,287.113838198547,287.113838198547,3.2853603033095105e-06
pure,1,29,350,287.1138381985554,287.1138381985554,2.8428888599727747e-07
pure,1,29,400,287.1138381985555,287.1138381985555,1.7266518227494025e-08
pure,1,29,450,287.1138381985555,287.1138381985555,1.301028873677937e-09
pure,1,29,500,287.1138381985555,287.1138381985555,7.839507285893723e-11
pure,1,29,550,287.1138381985555,287.1138381985555,6.96470167071613e-12
pure,1,29,600,287.1138381985555,287.1138381985555,5.152903273175815e-13
pure,1,29,650,287.1138381985555,287.1138381985555,4.106346704518834e-14
pure,1,29,700,287.1138381985555,287.1138381985555,2.493636705211142e-14
pure,1,29,750,287.1138381985555,287.1138381985555,2.224125320888367e-14
pure,1,47,1,-192.98507066612984,-192.98507066612984,45.73262422512705
pure,1,47,50,286.0281547540724,286.0281547540724,1.5540038616022778
pure,1,47,100,287.10689443766665,287.10689443766665,0.11430787412296535
pure,1,47,150,287.1137713264316,287.1137713264316,0.010126601781444231
pure,1,47,200,287.1138378468188,287.1138378468188,0.0006668677753501371
pure,1,47,250,287.113838197919,287.113838197919,3.4077517914061944e-05
pure,1,47,300,287.11383819854865,287.11383819854865,2.8892011766838303e-06
pure,1,47,350,287.11383819855547,287.11383819855547,2.6132954409550986e-07
pure,1,47,400,287.1138381985555,287.1138381985555,1.5826766394314733e-08
pure,1,47,450,287.1138381985555,287.1138381985555,1.2374287176047493e-09
pure,1,47,500,287.1138381985555,287.1138381985555,8.00809271097611e-11
pure,1,47,550,287.1138381985555,287.1138381985555,5.283342264035153e-12
pure,1,47,600,287.1138381985555,287.1138381985555,4.4568085942190117e-13
pure,1,47,650,287.1138381985555,287.1138381985555,4.3287250968991835e-14
pure,1,47,700,287.1138381985555,287.1138381985555,2.448469225148236e-14
pure,1,47,750,287.1138381985555,287.1138381985555,2.1013619688473463e-14
