profile,R,总搜索维度,seed,score,raw_profit,相对当前同口径利润变化,risk_term,history_term,smooth_term,边界单元数,平均满足率
pure,1,84,11,4276.143564102916,4276.143564102916,-29.999447070103997,2831.69466465252,37.089178085315105,0.0,28,0.6900057112834938
pure,1,84,29,4276.143564102916,4276.143564102916,-29.999447070103997,2831.6946646525194,37.089178085315105,0.0,28,0.6900057112834938
pure,1,84,47,4276.143564102916,4276.143564102916,-29.999447070103997,2831.6946646525194,37.089178085315105,0.0,28,0.6900057112834938
pure,4,336,11,4276.140787139957,4276.140787139957,-30.002224033062703,2829.788342481899,37.08920851292432,0.0,28,0.6898273901215485
pure,4,336,29,4276.13990855995,4276.13990855995,-30.00310261307004,2832.202113350476,37.08920890445771,0.0,28,0.6899729391593082
pure,4,336,47,4276.139328641778,4276.139328641778,-30.003682531241793,2831.0756074722735,37.089207799169884,0.0,28,0.6898977169302251
pure,16,1344,11,4276.1362402496925,4276.1362402496925,-30.006770923327167,2831.6686773858023,37.089190885517446,0.0,28,0.6899548559302286
pure,16,1344,29,4276.1383239615925,4276.1383239615925,-30.004687211427154,2831.969996858073,37.08921725970873,0.0,28,0.6899555355631319
pure,16,1344,47,4276.13820032866,4276.13820032866,-30.00481084435978,2830.131869498579,37.089177764958244,0.0,28,0.6898256322995916
pure,64,5376,11,4276.139425159976,4276.139425159976,-30.003586013043787,2832.1333297599704,37.08921976769362,0.0,28,0.689974718265938
pure,64,5376,29,4276.137286429924,4276.137286429924,-30.005724743095925,2831.8552990956623,37.08921440114785,0.0,28,0.6899267822490268
pure,64,5376,47,4276.136097883928,4276.136097883928,-30.006913289091244,2832.1533899817755,37.08921469725642,0.0,28,0.690029184183995
pure,256,21504,11,4276.132148940679,4276.132148940679,-30.010862232340514,2832.023537956511,37.08922043635936,0.0,28,0.6900476512835647
pure,256,21504,29,4276.134167940225,4276.134167940225,-30.00884323279479,2830.5343847079057,37.08922103278148,0.0,28,0.6898679334279281
pure,256,21504,47,4276.136450164451,4276.136450164451,-30.006561008568497,2830.0042984932243,37.089219604354845,0.0,28,0.6898071380709814
robust,1,84,11,3868.178417740454,4196.638421310403,-109.50458986261674,2576.9630599826833,20.374909203025968,0.03566903545259824,7,0.6674592772861645
robust,1,84,29,3868.178417740454,4196.638421310403,-109.50458986261674,2576.9630599826833,20.374909203025968,0.03566903545259824,7,0.6674592772861645
robust,1,84,47,3868.178417740454,4196.638421310403,-109.50458986261674,2576.963059982683,20.374909203025968,0.03566903545259824,7,0.6674592772861645
robust,4,336,11,3868.1677918673518,4196.634779349354,-109.50823182366548,2577.118696708287,20.374004512483836,0.03564311362411714,7,0.6675284551767727
robust,4,336,29,3868.170487268187,4196.612328346886,-109.53068282613367,2576.7874325460807,20.374229503530145,0.035646302554151535,7,0.6674562682097358
robust,4,336,47,3868.1688121790926,4196.628185994438,-109.5148251785813,2577.162712279667,20.372188560606315,0.03548364622322829,7,0.6675979168429645
robust,16,1344,11,3868.165953952035,4196.729209385188,-109.41380178783129,2577.910697071512,20.37947672988999,0.03569285872802479,7,0.6676208828539041
robust,16,1344,29,3868.1644890243365,4196.649233843955,-109.49377732906487,2577.198164032207,20.37589722907386,0.03567221506572697,7,0.6675274790905973
robust,16,1344,47,3868.1670919773237,4196.679349994075,-109.46366117894468,2577.8197813838565,20.37220701143596,0.03562229161808423,7,0.6675936980704278
robust,64,5376,11,3868.1652607667174,4196.624535995227,-109.51847517779242,2576.038665738184,20.38705108620237,0.03591696816053653,7,0.6673611005131437
robust,64,5376,29,3868.1625013163084,4196.70921300934,-109.43379816367997,2578.2409554333603,20.372295599684726,0.03577444016976167,7,0.6675027611024993
robust,64,5376,47,3868.1684568193414,4196.725480569047,-109.41753060397241,2577.165251645209,20.388280046967296,0.0360822241904099,7,0.6674982212534216
robust,256,21504,11,3868.1558385566764,4196.695017932291,-109.44799324072847,2577.835417473204,20.37659656795771,0.03517771334150424,7,0.6675122392309315
robust,256,21504,29,3868.1502453788676,4196.919974553906,-109.22303661911337,2579.718949799129,20.389740387501952,0.0358472440646188,7,0.6676167825695989
robust,256,21504,47,3868.1468569653266,4196.557627537931,-109.58538363508887,2576.46662421141,20.373247240825318,0.03597146049281257,7,0.6674578079092639
