profile,R,总搜索维度,平均score,最佳score,平均原始利润,最佳原始利润,原始利润标准差,平均边界单元数,平均满足率
pure,1,84,4276.143564102916,4276.143564102916,4276.143564102916,4276.143564102916,0.0,28.0,0.6900057112834938
pure,4,336,4276.140008113895,4276.140787139957,4276.140008113895,4276.140787139957,0.0007343279073077477,28.0,0.6898993487370273
pure,16,1344,4276.137588179982,4276.1383239615925,4276.137588179982,4276.1383239615925,0.0011689774689394384,28.0,0.6899120079309841
pure,64,5376,4276.137603157943,4276.139425159976,4276.137603157943,4276.139425159976,0.0016860987378124917,28.0,0.6899768948996533
pure,256,21504,4276.134255681784,4276.136450164451,4276.134255681784,4276.136450164451,0.002151953860756262,28.0,0.6899075742608248
robust,1,84,3868.178417740454,3868.178417740454,4196.638421310403,4196.638421310403,0.0,7.0,0.6674592772861644
robust,4,336,3868.1690304382105,3868.170487268187,4196.625097896893,4196.634779349354,0.011539676676155191,7.0,0.6675275467431577
robust,16,1344,3868.165844984565,3868.1670919773237,4196.685931074407,4196.729209385188,0.04039188981271432,7.0,0.667580686671643
robust,64,5376,3868.1654063007895,3868.1684568193414,4196.686409857871,4196.725480569047,0.05419815064724941,7.0,0.6674540276230215
robust,256,21504,3868.15098030029,3868.1558385566764,4196.724206674709,4196.919974553906,0.18292847511956445,7.0,0.6675289432365981
