日期,品类,预测批发价,损耗率,正常销售价格弹性,价格关系可靠,搜索R,搜索总维度,建议加成率,建议售价,建议补货量,预测需求量,预计满足量,预计满足率,预计利润,当前方案售价,当前方案补货量
2023-07-01,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.7641439091181028,5.807812436996688,223.66361671783218,238.4655593019979,180.91462502504538,0.7586614417385582,314.3857999977723,5.83,230.1
2023-07-02,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.7641439092183808,5.807812437326817,217.16952758177436,234.42001488085347,174.77998932478351,0.7455847548410802,300.13645079727587,5.83,219.4
2023-07-03,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.7641439091492229,5.807812437099139,158.64673127605082,172.60146256925057,127.32062440667733,0.7376566948590842,217.16672256755663,5.83,165.1
2023-07-04,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.764143908778323,5.807812435878084,156.32809536689527,165.5756957700253,125.62913256901317,0.7587413840223537,214.97613397759915,5.83,159.3
2023-07-05,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.7641439088883271,5.8078124362402335,159.39426398731314,168.00576772372602,128.00094936552392,0.7618842561168061,218.65693830358921,5.83,164.4
2023-07-06,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.7641439092503263,5.807812437431986,155.4560288475474,163.72920843183397,125.10964430689245,0.7641253842559181,214.83001068696157,5.83,160.6
2023-07-07,花叶类,3.292142101887832,0.1283,-0.7950517001280202,True,1,84,0.7641439087458737,5.807812435771257,168.248505532512,178.28412474784855,135.38137803542713,0.7593574482691614,232.3716622827125,5.83,173.5
2023-07-01,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6345021149629274,13.076603151758535,50.57363920890564,65.25933991069205,39.72023366377225,0.6086520905379937,114.79848025635198,13.2,53.4
2023-07-02,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6338907686486656,13.0717121619784,50.027272454283924,61.71866943671755,39.05375770518828,0.6327705710705828,110.26335710333392,13.2,50.6
2023-07-03,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6236496233871002,12.989779326787152,34.17672833229002,42.934364696995864,26.699120327657845,0.6218589821017194,73.3895967599889,13.2,34.7
2023-07-04,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6235362578004799,12.988872361434384,34.790115684274845,43.732765440304576,27.367284953591092,0.6257844588160691,77.13676781161558,13.2,35.2
2023-07-05,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6235118547208812,12.988677128045163,34.673952847307994,43.14278292854883,27.04334163346765,0.6268335002462784,73.85317396975645,13.2,35.5
2023-07-06,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6231291297413544,12.985615190940448,33.923061079912955,42.847743527929836,26.528034226651894,0.6191232499643741,73.08618872332558,13.2,34.9
2023-07-07,花菜类,8.000358660933962,0.1551,-1.0673360170463346,True,1,84,0.6270988080376192,13.017374041079092,39.54151004044953,48.44789274199349,30.66504364068295,0.6329489665110494,82.83208073826617,13.2,40.3
2023-07-01,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5530619116038671,19.51135439984717,21.428327611481855,31.728213349363088,17.34547108877604,0.5466891847260046,69.22627552285023,19.72,22.2
2023-07-02,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5506279115719308,19.480775685066057,19.189178630943218,29.98111503351883,15.517893585767572,0.517588941185763,61.224017138466564,19.72,20.5
2023-07-03,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5436146399792502,19.392666881080352,12.57121178272099,18.272337269771743,10.180845726861785,0.5571726034032954,39.49969284114437,19.72,13.3
2023-07-04,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5440578323515051,19.398234774657396,13.454770163174816,19.258326935887293,10.881861700450617,0.5650470955590958,42.054572033087766,19.72,13.4
2023-07-05,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5429156291192845,19.383885100704287,12.463450432327939,18.40005316053724,10.0420967504039,0.5457645509384329,38.07461500392435,19.72,12.9
2023-07-06,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5426354886115431,19.380365652646578,12.115492960993137,17.514727231252234,9.838750402537578,0.561741571686135,38.46978873695336,19.72,13.0
2023-07-07,水生根茎类,12.563152990918143,0.1365,-0.6155981729215607,True,1,84,0.5457870914344071,19.419959721076825,14.901321516667965,22.923235221195984,12.012566816048317,0.5240345309086603,46.07598173364243,19.72,16.2
2023-07-01,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,19.46891466658976,24.463466890363314,16.968389738097734,0.6936216282894044,33.28136730486007,7.23,19.8
2023-07-02,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,18.382003710926128,23.41019821239676,16.050785265481505,0.685632181319246,31.638055126973352,7.23,19.1
2023-07-03,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,14.264758173004209,17.786700973584868,12.360017096889429,0.6949021696179276,23.860159397408385,7.23,14.2
2023-07-04,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,12.880904555912366,16.352290683154486,11.176583227395541,0.6834873134263224,21.65845823450741,7.23,13.2
2023-07-05,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,12.80352757103569,15.863443826303973,11.116419189370687,0.7007569926864174,21.578767569382308,7.23,13.2
2023-07-06,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,13.091701302711268,16.278827231731665,11.438302882420611,0.7026490741375021,22.582562849174572,7.23,13.5
2023-07-07,茄类,4.590124850948491,0.0668,-0.1686553058648785,False,1,84,0.5746668014388212,7.227917217247906,15.022334011954687,18.52717483180746,13.19170064199691,0.7120190078494533,26.394131527547756,7.23,15.3
2023-07-01,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.7441969925137758,6.186809908373558,113.82841351120078,131.98079080346236,95.24346355343467,0.7216464075841563,185.49447746112526,6.24,118.7
2023-07-02,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.7415302459721537,6.177350739485158,108.4701496663464,123.5107581197784,90.64871047686303,0.7339337225098531,175.21635384013646,6.24,113.0
2023-07-03,辣椒类,3.547082087016438,0.0924,-0.6346499616294883,True,1,84,0.7279496985374454,6.129179422947627,79.27107298532316,90.47031179646709,66.12846546599069,0.7309410584851442,124.1322268004404,6.24,81.6
