profile,R,seed,step,score,raw_profit,grad_rms
pure,1,11,1,4274.706296417802,4274.706296417802,3.385046602348451
pure,1,11,50,4276.107832701456,4276.107832701456,0.5699148808676662
pure,1,11,100,4276.1296787055635,4276.1296787055635,0.33756100052512084
pure,1,11,150,4276.131071472333,4276.131071472333,0.42880569000392627
pure,1,11,200,4276.131335347334,4276.131335347334,0.4961108297435672
pure,1,11,250,4276.12351860189,4276.12351860189,0.6541652950193025
pure,1,11,300,4276.131782684089,4276.131782684089,0.43808528596355484
pure,1,11,350,4276.13634065007,4276.13634065007,0.43942563128080947
pure,1,11,400,4276.130079493724,4276.130079493724,0.5953107967077294
pure,1,11,450,4276.131911458688,4276.131911458688,0.492090870475327
pure,1,11,500,4276.13318402021,4276.13318402021,0.42972332361636045
pure,1,11,550,4276.138075529625,4276.138075529625,0.37041427477847005
pure,1,11,600,4276.133434239752,4276.133434239752,0.4731965246949747
pure,1,11,650,4276.13398643971,4276.13398643971,0.32144518547385337
pure,1,11,700,4276.138145717744,4276.138145717744,0.3684048700063039
pure,1,11,750,4276.14344958872,4276.14344958872,0.3221229301450907
pure,1,29,1,4274.706296417802,4274.706296417802,3.3850466023484507
pure,1,29,50,4276.107832701456,4276.107832701456,0.5699148808676662
pure,1,29,100,4276.1296787055635,4276.1296787055635,0.33756100052512084
pure,1,29,150,4276.131071472333,4276.131071472333,0.4288056900039262
pure,1,29,200,4276.131335347334,4276.131335347334,0.4961108297435672
pure,1,29,250,4276.12351860189,4276.12351860189,0.6541652950193025
pure,1,29,300,4276.131782684088,4276.131782684088,0.43808528596355484
pure,1,29,350,4276.13634065007,4276.13634065007,0.43942563128080947
pure,1,29,400,4276.130079493724,4276.130079493724,0.5953107967077294
pure,1,29,450,4276.131911458688,4276.131911458688,0.492090870475327
pure,1,29,500,4276.13318402021,4276.13318402021,0.42972332361636045
pure,1,29,550,4276.138075529625,4276.138075529625,0.37041427477847005
pure,1,29,600,4276.133434239752,4276.133434239752,0.4731965246949747
pure,1,29,650,4276.13398643971,4276.13398643971,0.32144518547385337
pure,1,29,700,4276.138145717743,4276.138145717743,0.3684048700063039
pure,1,29,750,4276.14344958872,4276.14344958872,0.3221229301450907
pure,1,47,1,4274.706296417802,4274.706296417802,3.3850466023484507
pure,1,47,50,4276.107832701456,4276.107832701456,0.5699148808676662
pure,1,47,100,4276.1296787055635,4276.1296787055635,0.33756100052512084
pure,1,47,150,4276.131071472333,4276.131071472333,0.4288056900039262
pure,1,47,200,4276.131335347335,4276.131335347335,0.4961108297435672
pure,1,47,250,4276.12351860189,4276.12351860189,0.6541652950193025
pure,1,47,300,4276.131782684088,4276.131782684088,0.43808528596355484
pure,1,47,350,4276.13634065007,4276.13634065007,0.43942563128080947
pure,1,47,400,4276.130079493724,4276.130079493724,0.5953107967077294
pure,1,47,450,4276.131911458688,4276.131911458688,0.492090870475327
pure,1,47,500,4276.13318402021,4276.13318402021,0.42972332361636045
pure,1,47,550,4276.138075529625,4276.138075529625,0.37041427477847005
pure,1,47,600,4276.133434239752,4276.133434239752,0.4731965246949747
pure,1,47,650,4276.13398643971,4276.13398643971,0.32144518547385337
pure,1,47,700,4276.138145717743,4276.138145717743,0.3684048700063039
pure,1,47,750,4276.14344958872,4276.14344958872,0.3221229301450907
pure,4,11,1,4274.706296417802,4274.706296417802,1.872214851760498
pure,4,11,50,4276.048526838898,4276.048526838898,0.5704897072581674
pure,4,11,100,4276.135491244202,4276.135491244202,0.24517589963258976
pure,4,11,150,4276.125154658598,4276.125154658598,0.31103374878979906
pure,4,11,200,4276.110885293974,4276.110885293974,0.37985492694323936
pure,4,11,250,4276.1139421026155,4276.1139421026155,0.3830480454738702
pure,4,11,300,4276.095316166016,4276.095316166016,0.35221849590621684
pure,4,11,350,4276.120015487831,4276.120015487831,0.3548920829244091
pure,4,11,400,4276.114917412383,4276.114917412383,0.3555795878053774
pure,4,11,450,4276.122436689078,4276.122436689078,0.35425180087402913
pure,4,11,500,4276.130240706132,4276.130240706132,0.3033272803339533
pure,4,11,550,4276.116808549349,4276.116808549349,0.2706377444438743
pure,4,11,600,4276.132457866788,4276.132457866788,0.23286233933427858
pure,4,11,650,4276.126076984252,4276.126076984252,0.27972159598842194
pure,4,11,700,4276.13254947099,4276.13254947099,0.2153570883102643
pure,4,11,750,4276.139710404469,4276.139710404469,0.16018346945892858
pure,4,29,1,4274.706296417803,4274.706296417803,1.872324579169009
pure,4,29,50,4276.0450299369,4276.0450299369,0.576702054281
