profile,R,latent维度,seed,score,raw_profit,相对同口径基线利润,相对同口径基线score,risk_term,history_term,smooth_term,平均满足率
pure,1,85,11,4306.341719635116,4306.341719635116,2.936825984254938,2.936825984254938,2843.0004224061977,43.826726076751505,0.0,0.6907154432066704
pure,1,85,29,4306.341719635116,4306.341719635116,2.936825984254938,2.936825984254938,2843.0004224061977,43.826726076751505,0.0,0.6907154432066704
pure,1,85,47,4306.341719635116,4306.341719635116,2.936825984254938,2.936825984254938,2843.0004224061977,43.826726076751505,0.0,0.6907154432066704
pure,4,340,11,4306.354341152165,4306.354341152165,2.9494475013043484,2.9494475013043484,2843.2437579745274,43.83104548432951,0.0,0.6907336322969189
pure,4,340,29,4306.3543642875775,4306.3543642875775,2.9494706367167964,2.9494706367167964,2840.3103530349445,43.83144354379592,0.0,0.6905527124911245
pure,4,340,47,4306.3570793714225,4306.3570793714225,2.952185720561829,2.952185720561829,2844.0479837852513,43.832395521441505,0.0,0.6908006126282045
pure,16,1360,11,4306.360012697072,4306.360012697072,2.955119046211621,2.955119046211621,2842.610831946726,43.83368342525388,0.0,0.6907356461330082
pure,16,1360,29,4306.359268287506,4306.359268287506,2.954374636645298,2.954374636645298,2842.898151175933,43.83342114559124,0.0,0.690664779942706
pure,16,1360,47,4306.358961249349,4306.358961249349,2.954067598488109,2.954067598488109,2843.510920419044,43.83347991024368,0.0,0.6907437743164345
pure,64,5440,11,4306.359519981572,4306.359519981572,2.9546263307111076,2.9546263307111076,2842.6325107608604,43.83461246415157,0.0,0.6906553033325669
pure,64,5440,29,4306.358836033162,4306.358836033162,2.9539423823016477,2.9539423823016477,2842.812222430067,43.8344730751984,0.0,0.690706091300746
pure,64,5440,47,4306.361186931601,4306.361186931601,2.956293280740283,2.956293280740283,2841.937942580554,43.83464309106195,0.0,0.6906413294379297
pure,256,21760,11,4306.361393383504,4306.361393383504,2.9564997326433513,2.9564997326433513,2843.7453503354664,43.83503322018824,0.0,0.6907383068168793
pure,256,21760,29,4306.362867304067,4306.362867304067,2.957973653205954,2.957973653205954,2843.697972323602,43.835034901286896,0.0,0.690678504885471
pure,256,21760,47,4306.362991993914,4306.362991993914,2.9580983430532797,2.9580983430532797,2842.667707766458,43.83497383412604,0.0,0.6906647177189732
robust,1,85,11,3870.0250165167085,4207.356204882686,-96.04868876817454,52.45857819727962,2580.379139944809,21.807573620447886,0.03694363180386312,0.6676841668130238
robust,1,85,29,3870.0250165167085,4207.356204882686,-96.04868876817454,52.45857819727962,2580.379139944809,21.807573620447886,0.03694363180386312,0.6676841668130238
robust,1,85,47,3870.0250165167085,4207.356204882686,-96.04868876817454,52.45857819727962,2580.379139944809,21.807573620447886,0.03694363180386312,0.6676841668130238
robust,4,340,11,3870.0216997512507,4207.2660323468035,-96.13886130405717,52.45526143182178,2578.892218736517,21.812938403357954,0.03688311765567531,0.6675161688086695
robust,4,340,29,3870.0212392350527,4207.302474263036,-96.10241938782474,52.454800915623764,2579.3708867101623,21.81269300827824,0.036937361000799376,0.6676041626735943
robust,4,340,47,3870.019706855027,4207.221551920032,-96.18334173082894,52.453268535598,2578.4231796296262,21.812094655614647,0.03694850729785113,0.6674450488383783
robust,16,1360,11,3870.01705715367,4207.231682654873,-96.17321099598757,52.45061883424114,2578.7591652069127,21.809755661236956,0.036905544818866334,0.6674989094335599
robust,16,1360,29,3870.015673731799,4207.230519212333,-96.1743744385276,52.449235412369944,2578.8251384534688,21.80890835179632,0.03692286231909449,0.6675394945153441
robust,16,1360,47,3870.0159141276936,4207.2758933056875,-96.12900034517315,52.44947580826465,2579.2004069648724,21.81142765846729,0.036920446667047066,0.6675548812669201
robust,64,5440,11,3870.014263382358,4207.0158837239005,-96.38900992696017,52.44782506292904,2576.279071005139,21.80716546739089,0.03753457119077861,0.6672974905737823
robust,64,5440,29,3870.0142000434744,4207.260830102402,-96.14406354845869,52.44776172404545,2579.2546894697252,21.808462093736857,0.03698822595213827,0.667528747647077
robust,64,5440,47,3870.013929092157,4207.1977498694,-96.20714378146113,52.44749077272809,2577.5013874648334,21.821413462539724,0.03681933654496233,0.667428617664574
robust,256,21760,11,3870.0147763185905,4207.241140028154,-96.16375362270628,52.448337999161595,2579.4884802495867,21.801842289307608,0.037487702500804354,0.6676693140439348
robust,256,21760,29,3870.0157198141446,4207.439282841117,-95.96561080974334,52.449281494715706,2581.102934936257,21.813380028905147,0.03669870576082804,0.6677512378582929
robust,256,21760,47,3870.013257114318,4207.23752498926,-96.16736866160045,52.44681879488917,2578.981984235093,21.80833613153389,0.037128231287604965,0.6675281351082281
