profile,R,latent维度,平均score,最佳score,score标准差,平均原始利润,最佳原始利润,原始利润标准差,平均满足率
pure,1,85,4306.341719635116,4306.341719635116,0.0,4306.341719635116,4306.341719635116,0.0,0.6907154432066704
pure,4,340,4306.355261603722,4306.3570793714225,0.0015742755074368909,4306.355261603722,4306.3570793714225,0.0015742755074368909,0.6906956524720825
pure,16,1360,4306.359414077976,4306.360012697072,0.0005406724745320353,4306.359414077976,4306.360012697072,0.0005406724745320353,0.6907147334640497
pure,64,5440,4306.359847648779,4306.361186931601,0.0012092167776862686,4306.359847648779,4306.361186931601,0.0012092167776862686,0.6906675746904142
pure,256,21760,4306.3624175604955,4306.362991993914,0.0008891517145758539,4306.3624175604955,4306.362991993914,0.0008891517145758539,0.6906938431404411
robust,1,85,3870.0250165167085,3870.0250165167085,0.0,4207.356204882686,4207.356204882686,0.0,0.6676841668130238
robust,4,340,3870.02088194711,3870.0216997512507,0.0010433838438374395,4207.26335284329,4207.302474263036,0.04052765973553858,0.6675217934402141
robust,16,1360,3870.0162150043875,3870.01705715367,0.0007391610832194357,4207.246031724298,4207.2758933056875,0.025867429945125472,0.6675310950719414
robust,64,5440,3870.01413083933,3870.014263382358,0.0001775651848128475,4207.158154565234,4207.260830102402,0.12718303019353513,0.6674182852951445
robust,256,21760,3870.0145844156846,3870.0157198141446,0.001242514648843359,4207.30598261951,4207.439282841117,0.11545552796145712,0.6676495623368185
