日期,品类,预测进价,损耗率（百分数）,最优加成率（百分数）,最优售价,预测需求量,最优补货量,预计满足量,临界分位数,预计利润,边界标记
2023-07-01,水生根茎类,12.56,13.65,69.07,21.24,23.85,18.86,14.93,0.315,80.12,触及上限
2023-07-01,花叶类,3.29,12.83,90.76,6.28,254.74,260.93,208.88,0.3986,452.73,触及上限
2023-07-01,花菜类,8.0,15.51,78.49,14.28,46.97,43.62,33.43,0.3369,128.4,未触边界
2023-07-01,茄类,4.64,6.68,91.46,8.88,23.94,22.44,18.66,0.4403,61.64,触及上限
2023-07-01,辣椒类,3.55,9.24,112.57,7.54,116.02,117.92,94.25,0.4817,292.39,未触边界
2023-07-01,食用菌,3.64,9.45,76.2,6.42,88.67,80.89,66.01,0.3732,129.08,未触边界
2023-07-02,水生根茎类,12.56,13.65,69.07,21.24,22.37,17.22,13.61,0.315,72.71,触及上限
2023-07-02,花叶类,3.29,12.83,90.76,6.28,241.3,248.13,198.72,0.3986,431.06,触及上限
2023-07-02,花菜类,8.0,15.51,78.49,14.28,43.27,40.07,30.71,0.3369,118.04,未触边界
2023-07-02,茄类,4.64,6.68,91.46,8.88,22.97,21.57,17.87,0.4403,58.62,触及上限
2023-07-02,辣椒类,3.55,9.24,112.57,7.54,108.84,111.36,88.93,0.4817,275.49,未触边界
2023-07-02,食用菌,3.64,9.45,76.2,6.42,84.05,76.91,63.0,0.3732,124.24,未触边界
2023-07-03,水生根茎类,12.56,13.65,69.07,21.24,14.35,11.27,8.87,0.315,46.87,触及上限
2023-07-03,花叶类,3.29,12.83,90.76,6.28,175.78,179.61,143.85,0.3986,312.05,触及上限
2023-07-03,花菜类,8.0,15.51,78.49,14.28,29.73,27.92,21.43,0.3369,82.64,未触边界
2023-07-03,茄类,4.64,6.68,91.46,8.88,17.39,15.94,13.27,0.4403,43.88,触及上限
2023-07-03,辣椒类,3.55,9.24,112.57,7.54,80.1,80.41,64.3,0.4817,199.6,未触边界
2023-07-03,食用菌,3.64,9.45,76.2,6.42,56.56,51.52,42.09,0.3732,82.49,未触边界
2023-07-04,水生根茎类,12.56,13.65,69.07,21.24,14.42,11.26,8.89,0.315,47.3,触及上限
2023-07-04,花叶类,3.29,12.83,90.76,6.28,171.26,175.4,140.7,0.3986,306.17,触及上限
2023-07-04,花菜类,8.0,15.51,78.49,14.28,31.14,29.18,22.34,0.3369,85.57,未触边界
2023-07-04,茄类,4.64,6.68,91.46,8.88,15.96,14.9,12.34,0.4403,40.49,触及上限
2023-07-04,辣椒类,3.55,9.24,112.57,7.54,75.67,77.62,61.9,0.4817,191.35,未触边界
2023-07-04,食用菌,3.64,9.45,76.2,6.42,53.78,49.27,40.08,0.3732,77.79,未触边界
2023-07-05,水生根茎类,12.56,13.65,69.07,21.24,14.1,11.01,8.7,0.315,46.35,触及上限
2023-07-05,花叶类,3.29,12.83,90.76,6.28,172.7,176.64,141.39,0.3986,306.43,触及上限
2023-07-05,花菜类,8.0,15.51,78.49,14.28,31.02,29.09,22.3,0.3369,85.66,未触边界
2023-07-05,茄类,4.64,6.68,91.46,8.88,15.89,14.63,12.18,0.4403,40.31,触及上限
2023-07-05,辣椒类,3.55,9.24,112.57,7.54,77.81,79.6,63.61,0.4817,197.28,未触边界
2023-07-05,食用菌,3.64,9.45,76.2,6.42,59.33,54.01,44.04,0.3732,85.99,未触边界
2023-07-06,水生根茎类,12.56,13.65,69.07,21.24,14.38,11.32,8.93,0.315,47.32,触及上限
2023-07-06,花叶类,3.29,12.83,90.76,6.28,170.23,173.98,139.45,0.3986,303.0,触及上限
2023-07-06,花菜类,8.0,15.51,78.49,14.28,30.37,28.6,21.9,0.3369,83.84,未触边界
2023-07-06,茄类,4.64,6.68,91.46,8.88,16.4,15.05,12.47,0.4403,40.95,触及上限
2023-07-06,辣椒类,3.55,9.24,112.57,7.54,77.93,79.73,63.55,0.4817,196.34,未触边界
2023-07-06,食用菌,3.64,9.45,76.2,6.42,56.93,51.65,42.28,0.3732,83.25,未触边界
2023-07-07,水生根茎类,12.56,13.65,69.07,21.24,17.45,13.76,10.86,0.315,57.86,触及上限
2023-07-07,花叶类,3.29,12.83,90.76,6.28,185.35,188.98,151.49,0.3986,329.2,触及上限
2023-07-07,花菜类,8.0,15.51,78.49,14.28,34.66,32.74,25.05,0.3369,95.78,未触边界
2023-07-07,茄类,4.64,6.68,91.46,8.88,18.37,17.33,14.36,0.4403,47.15,触及上限
2023-07-07,辣椒类,3.55,9.24,112.57,7.54,85.15,87.98,70.3,0.4817,217.98,未触边界
2023-07-07,食用菌,3.64,9.45,76.2,6.42,66.92,61.45,50.15,0.3732,98.05,未触边界
