品类,价格响应模型,含时间趋势,验证截止日,WAPE,MAE,RMSE,价格系数
花叶类,半对数,否,2022-10-14,0.30783213022463995,87.2290274851795,144.4345436240764,-0.15159835654640186
花叶类,半对数,否,2022-11-18,0.6480704450578479,278.9344263719818,443.1620823020532,-0.14688269213941715
花叶类,半对数,否,2022-12-23,0.32486109418681275,82.97769139139439,86.97560992364478,-0.14946598946582057
花叶类,半对数,否,2023-01-27,0.23282139403229782,45.95039531079469,47.77625351076776,-0.14005064653328017
花叶类,半对数,否,2023-03-03,0.29678658316279616,33.65296984949593,35.87072435802671,-0.13775090050455369
花叶类,半对数,否,2023-04-07,0.4329645904710558,49.67476968975647,50.69263911620841,-0.13824062245057678
花叶类,半对数,否,2023-05-12,0.11774842603535977,17.513530822017586,21.511897493505785,-0.13725455547582494
花叶类,半对数,否,2023-06-16,0.19814909216193416,31.354432975388477,34.49950773496821,-0.13711936399604346
花叶类,半对数,是,2022-10-14,0.3021615459184597,85.62217912292485,164.8369848116736,-0.1844334136273488
花叶类,半对数,是,2022-11-18,0.704115997370414,303.05685643220625,468.1056253963355,-0.19124846032118345
花叶类,半对数,是,2022-12-23,0.48452620546480263,123.76017524887656,126.67689992329244,-0.1921863123232562
花叶类,半对数,是,2023-01-27,0.38864961639855283,76.70516528401512,77.80684392341256,-0.1670085893803257
花叶类,半对数,是,2023-03-03,0.08462825067227531,9.596094061730067,13.807439303813876,-0.1609346311996861
花叶类,半对数,是,2023-04-07,0.24225457637643455,27.794282841227837,30.0647968082578,-0.1615568715010661
花叶类,半对数,是,2023-05-12,0.14236332725514977,21.17467386833103,26.97805651409623,-0.16092174599558207
花叶类,半对数,是,2023-06-16,0.22495130068400776,35.59552255863504,43.931176271511234,-0.15797213588941902
花叶类,对数-对数,否,2022-10-14,0.3002054042446154,85.0678759197207,144.2601698771548,-0.8966640838973603
花叶类,对数-对数,否,2022-11-18,0.6237720620144226,268.47621833661987,434.1763732341712,-0.8624584839372589
花叶类,对数-对数,否,2022-12-23,0.3287621401418131,83.97411661174263,88.12873693132846,-0.8663666132683902
花叶类,对数-对数,否,2023-01-27,0.24369234904419865,48.09592271079561,49.89922208924841,-0.8141436905367947
花叶类,对数-对数,否,2023-03-03,0.28452502924400785,32.262618237440044,34.558407917520384,-0.8007074268571975
花叶类,对数-对数,否,2023-04-07,0.4512783982955827,51.77594425656356,52.97777813564894,-0.8032881833406766
花叶类,对数-对数,否,2023-05-12,0.11804113073936656,17.557066799762485,21.268062098846233,-0.7953099094127553
花叶类,对数-对数,否,2023-06-16,0.20170428518715522,31.91699453046623,35.21625077049988,-0.7939844270756646
花叶类,对数-对数,是,2022-10-14,0.309311209089092,87.64814751279287,166.10384023854087,-1.0518607329832002
花叶类,对数-对数,是,2022-11-18,0.6804316473714089,292.8629328682702,458.79694550898796,-1.0859016498185385
花叶类,对数-对数,是,2022-12-23,0.48596411756805546,124.12745415326594,127.0837673608698,-1.0911131192070092
