品类,价格响应模型,最终含趋势,滚动WAPE,全样本价格系数,参考价处价格弹性,全样本稳健p值,负向回测折数,回测折数
花叶类,半对数售价,否,0.368633001788765,-0.1372998863826045,-0.7624379767762446,4.219811104567294e-11,8,8
花叶类,半对数加成,否,0.38203311335095347,0.17811808260922515,0.30057543682434223,0.3558394565206559,2,8
花叶类,对数-对数售价,否,0.3638373923431627,-0.7950517001280171,-0.7950517001280171,3.99299739608271e-11,8,8
花菜类,半对数售价,否,0.2675234961786229,-0.11594799683910373,-1.1185002340106853,2.0852003361396278e-22,8,8
花菜类,半对数加成,否,0.3306124219198783,-0.020974008824337503,-0.032267705883596155,0.929154896370659,3,8
花菜类,对数-对数售价,否,0.27117480793379795,-1.0673360170463346,-1.0673360170463346,1.1280075762690787e-19,8,8
水生根茎类,半对数售价,否,0.5178953914716692,-0.056875878502181815,-0.4936300878484673,0.0002946070629957936,8,8
水生根茎类,半对数加成,否,0.5116716100023752,-1.1308929582698715,-1.6846480822343368,3.6606243884443126e-05,8,8
水生根茎类,对数-对数售价,否,0.5245554958520728,-0.6155981729215578,-0.6155981729215578,0.002083991262145527,8,8
茄类,半对数售价,是,0.3583298912108219,-0.01557544649149721,-0.13058128137235556,0.4053082098234045,8,8
茄类,半对数加成,是,0.3563217708239593,-0.04387459800760854,-0.06908787290905502,0.7061459942422672,8,8
茄类,对数-对数售价,是,0.35984973131132825,-0.16865530586487926,-0.16865530586487926,0.27556952208635843,8,8
辣椒类,半对数售价,否,0.34184922669139667,-0.05806079901853581,-0.4539806629295225,5.8749005095315443e-08,8,8
辣椒类,半对数加成,否,0.36551083699110515,0.694045243195275,1.106687841262244,9.556403164375963e-15,0,8
辣椒类,对数-对数售价,否,0.31043498540717673,-0.6346499616294905,-0.6346499616294905,4.371448189302683e-15,8,8
食用菌,半对数售价,否,0.3909457783380936,-0.027904440318198234,-0.23481177715974993,0.07772896169863579,5,8
食用菌,半对数加成,否,0.39563481727182415,-0.19382439220904346,-0.3129061085812534,0.4085756438258825,8,8
食用菌,对数-对数售价,否,0.39873619924799325,-0.1683459885177771,-0.1683459885177771,0.2172269320832555,3,8
