边界情景,日期,品类,下界加成率,上界加成率,搜索最高售价,搜索最高加成率,搜索最高补货量,搜索最高预计利润,是否触及上限
正常销售百分之五至百分之九十五,2023-07-01,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,242.9,475.70007709970156,是
正常销售百分之五至百分之九十五,2023-07-02,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,232.4,457.47199924007367,是
正常销售百分之五至百分之九十五,2023-07-03,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,169.2,330.3690460607193,是
正常销售百分之五至百分之九十五,2023-07-04,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,160.8,314.05434741276645,是
正常销售百分之五至百分之九十五,2023-07-05,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,164.3,321.7817460062574,是
正常销售百分之五至百分之九十五,2023-07-06,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,159.1,311.6294738721229,是
正常销售百分之五至百分之九十五,2023-07-07,花叶类,0.4830053010842951,1.0049478420659328,6.62,1.0108488015155408,174.3,341.02600784084296,是
正常销售百分之五至百分之九十五,2023-07-01,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,37.9,108.33488905505976,是
正常销售百分之五至百分之九十五,2023-07-02,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,36.3,105.65316663758743,是
正常销售百分之五至百分之九十五,2023-07-03,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,23.9,68.68030849849612,是
正常销售百分之五至百分之九十五,2023-07-04,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,25.1,72.24461963510586,是
正常销售百分之五至百分之九十五,2023-07-05,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,24.4,70.23699229553596,是
正常销售百分之五至百分之九十五,2023-07-06,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,23.9,69.76306502642966,是
正常销售百分之五至百分之九十五,2023-07-07,花菜类,0.31369292950757044,0.8152301750992003,14.56,0.8199184082954933,27.9,80.97463126563555,是
正常销售百分之五至百分之九十五,2023-07-01,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,16.1,63.97646736536951,是
正常销售百分之五至百分之九十五,2023-07-02,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,14.6,58.59467417852692,是
正常销售百分之五至百分之九十五,2023-07-03,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,9.4,37.587301163679456,是
正常销售百分之五至百分之九十五,2023-07-04,水生根茎类,0.2843828304359789,0.7131641703515007,21.61,0.7201095947507596,9.2,36.69444920540896,是
