日期,品类,候选售价,预测需求量,预期利润,候选加成率
2023-07-01,花叶类,4.8,316.81,197.99,0.458
2023-07-01,花叶类,4.83,315.21,203.83,0.4671
2023-07-01,花叶类,4.87,313.11,211.57,0.4793
2023-07-01,花叶类,4.9,311.55,217.34,0.4884
2023-07-01,花叶类,4.93,310.02,223.07,0.4975
2023-07-01,花叶类,4.97,307.99,230.66,0.5097
2023-07-01,花叶类,5.0,306.49,236.34,0.5188
2023-07-01,花叶类,5.03,305.01,242.0,0.5279
2023-07-01,花叶类,5.06,303.54,247.64,0.537
2023-07-01,花叶类,5.1,301.6,255.11,0.5491
2023-07-01,花叶类,5.13,300.17,260.68,0.5583
2023-07-01,花叶类,5.16,298.76,266.21,0.5674
2023-07-01,花叶类,5.2,296.89,273.54,0.5795
2023-07-01,花叶类,5.23,295.51,279.0,0.5886
2023-07-01,花叶类,5.26,294.14,284.43,0.5977
2023-07-01,花叶类,5.29,292.78,289.82,0.6069
2023-07-01,花叶类,5.33,291.0,296.96,0.619
2023-07-01,花叶类,5.36,289.68,302.29,0.6281
2023-07-01,花叶类,5.39,288.37,307.58,0.6372
2023-07-01,花叶类,5.43,286.64,314.61,0.6494
2023-07-01,花叶类,5.46,285.37,319.85,0.6585
2023-07-01,花叶类,5.49,284.1,325.06,0.6676
2023-07-01,花叶类,5.52,282.85,330.24,0.6767
2023-07-01,花叶类,5.56,281.19,337.1,0.6889
2023-07-01,花叶类,5.59,279.97,342.21,0.698
2023-07-01,花叶类,5.62,278.76,347.28,0.7071
2023-07-01,花叶类,5.66,277.16,354.01,0.7192
2023-07-01,花叶类,5.69,275.97,359.02,0.7284
2023-07-01,花叶类,5.72,274.79,364.02,0.7375
2023-07-01,花叶类,5.76,273.25,370.64,0.7496
2023-07-01,花叶类,5.79,272.1,375.57,0.7587
2023-07-01,花叶类,5.82,270.96,380.49,0.7678
2023-07-01,花叶类,5.85,269.83,385.38,0.777
2023-07-01,花叶类,5.89,268.34,391.87,0.7891
2023-07-01,花叶类,5.92,267.24,396.7,0.7982
2023-07-01,花叶类,5.95,266.14,401.51,0.8073
2023-07-01,花叶类,5.99,264.7,407.87,0.8195
2023-07-01,花叶类,6.02,263.63,412.61,0.8286
2023-07-01,花叶类,6.05,262.57,417.33,0.8377
2023-07-01,花叶类,6.08,261.52,422.03,0.8468
2023-07-01,花叶类,6.12,260.13,428.26,0.859
2023-07-01,花叶类,6.15,259.1,432.91,0.8681
2023-07-01,花叶类,6.18,258.08,437.53,0.8772
2023-07-01,花叶类,6.22,256.73,443.65,0.8893
2023-07-01,花叶类,6.25,255.73,448.2,0.8985
2023-07-01,花叶类,6.28,254.74,452.73,0.9076
2023-07-01,花菜类,10.28,63.7,16.82,0.2849
2023-07-01,花菜类,10.36,63.25,19.05,0.2949
2023-07-01,花菜类,10.44,62.8,21.29,0.3049
2023-07-01,花菜类,10.52,62.35,23.56,0.3149
2023-07-01,花菜类,10.6,61.92,25.87,0.3249
2023-07-01,花菜类,10.68,61.49,28.2,0.3349
2023-07-01,花菜类,10.76,61.06,30.54,0.3449
2023-07-01,花菜类,10.84,60.65,32.88,0.3549
2023-07-01,花菜类,10.92,60.23,35.23,0.3649
2023-07-01,花菜类,11.0,59.83,37.6,0.3749
2023-07-01,花菜类,11.08,59.43,39.97,0.3849
2023-07-01,花菜类,11.16,59.03,42.35,0.3949
2023-07-01,花菜类,11.24,58.64,44.73,0.4049
2023-07-01,花菜类,11.32,58.26,47.1,0.4149
2023-07-01,花菜类,11.4,57.88,49.47,0.4249
2023-07-01,花菜类,11.48,57.5,51.83,0.4349
2023-07-01,花菜类,11.56,57.13,54.18,0.4449
2023-07-01,花菜类,11.64,56.77,56.54,0.4549
2023-07-01,花菜类,11.72,56.41,58.91,0.4649
2023-07-01,花菜类,11.8,56.06,61.26,0.4749
2023-07-01,花菜类,11.88,55.71,63.61,0.4849
2023-07-01,花菜类,11.96,55.36,65.95,0.4949
2023-07-01,花菜类,12.04,55.02,68.28,0.5049
2023-07-01,花菜类,12.12,54.68,70.61,0.5149
2023-07-01,花菜类,12.2,54.35,72.91,0.5249
2023-07-01,花菜类,12.28,54.02,75.19,0.5349
2023-07-01,花菜类,12.36,53.7,77.46,0.5449
2023-07-01,花菜类,12.44,53.38,79.72,0.5549
2023-07-01,花菜类,12.52,53.06,81.97,0.5649
2023-07-01,花菜类,12.6,52.75,84.2,0.5749
2023-07-01,花菜类,12.68,52.44,86.42,0.5849
2023-07-01,花菜类,12.76,52.13,88.63,0.5949
2023-07-01,花菜类,12.84,51.83,90.82,0.6049
2023-07-01,花菜类,12.92,51.54,93.0,0.6149
2023-07-01,花菜类,13.0,51.24,95.17,0.6249
2023-07-01,花菜类,13.08,50.95,97.33,0.6349
2023-07-01,花菜类,13.16,50.66,99.48,0.6449
2023-07-01,花菜类,13.24,50.38,101.61,0.6549
2023-07-01,花菜类,13.32,50.1,103.73,0.6649
2023-07-01,花菜类,13.4,49.82,105.84,0.6749
2023-07-01,花菜类,13.48,49.55,107.93,0.6849
2023-07-01,花菜类,13.56,49.28,110.02,0.6949
2023-07-01,花菜类,13.64,49.01,112.1,0.7049
2023-07-01,花菜类,13.72,48.74,114.16,0.7149
2023-07-01,花菜类,13.8,48.48,116.2,0.7249
2023-07-01,花菜类,13.88,48.22,118.25,0.7349
2023-07-01,花菜类,13.96,47.96,120.29,0.7449
2023-07-01,花菜类,14.04,47.71,122.32,0.7549
2023-07-01,花菜类,14.12,47.46,124.35,0.7649
2023-07-01,花菜类,14.2,47.21,126.38,0.7749
2023-07-01,花菜类,14.28,46.97,128.4,0.7849
2023-07-01,水生根茎类,15.97,27.6,12.89,0.2712
2023-07-01,水生根茎类,16.09,27.49,14.33,0.2807
2023-07-01,水生根茎类,16.22,27.38,15.89,0.2911
2023-07-01,水生根茎类,16.35,27.27,17.46,0.3014
2023-07-01,水生根茎类,16.47,27.16,18.91,0.311
2023-07-01,水生根茎类,16.6,27.06,20.51,0.3213
2023-07-01,水生根茎类,16.72,26.96,22.0,0.3309
2023-07-01,水生根茎类,16.85,26.85,23.62,0.3412
2023-07-01,水生根茎类,16.97,26.75,25.13,0.3508
2023-07-01,水生根茎类,17.1,26.65,26.77,0.3611
2023-07-01,水生根茎类,17.22,26.55,28.28,0.3707
2023-07-01,水生根茎类,17.35,26.45,29.92,0.381
2023-07-01,水生根茎类,17.48,26.35,31.56,0.3914
2023-07-01,水生根茎类,17.6,26.26,33.09,0.4009
2023-07-01,水生根茎类,17.73,26.16,34.75,0.4113
2023-07-01,水生根茎类,17.85,26.07,36.29,0.4208
2023-07-01,水生根茎类,17.98,25.97,37.95,0.4312
2023-07-01,水生根茎类,18.1,25.88,39.49,0.4407
2023-07-01,水生根茎类,18.23,25.79,41.15,0.4511
2023-07-01,水生根茎类,18.36,25.7,42.83,0.4614
2023-07-01,水生根茎类,18.48,25.61,44.38,0.471
2023-07-01,水生根茎类,18.61,25.52,46.06,0.4813
2023-07-01,水生根茎类,18.73,25.44,47.61,0.4909
2023-07-01,水生根茎类,18.86,25.35,49.29,0.5012
2023-07-01,水生根茎类,18.98,25.26,50.84,0.5108
2023-07-01,水生根茎类,19.11,25.18,52.51,0.5211
2023-07-01,水生根茎类,19.23,25.1,54.06,0.5307
2023-07-01,水生根茎类,19.36,25.01,55.75,0.541
2023-07-01,水生根茎类,19.49,24.92,57.43,0.5514
2023-07-01,水生根茎类,19.61,24.85,58.98,0.5609
2023-07-01,水生根茎类,19.74,24.76,60.66,0.5713
2023-07-01,水生根茎类,19.86,24.68,62.21,0.5808
2023-07-01,水生根茎类,19.99,24.6,63.9,0.5912
2023-07-01,水生根茎类,20.11,24.53,65.45,0.6007
2023-07-01,水生根茎类,20.24,24.45,67.12,0.6111
2023-07-01,水生根茎类,20.37,24.37,68.8,0.6214
2023-07-01,水生根茎类,20.49,24.29,70.36,0.631
2023-07-01,水生根茎类,20.62,24.22,72.05,0.6413
2023-07-01,水生根茎类,20.74,24.14,73.62,0.6509
2023-07-01,水生根茎类,20.87,24.07,75.31,0.6612
2023-07-01,水生根茎类,20.99,24.0,76.87,0.6708
2023-07-01,水生根茎类,21.12,23.92,78.56,0.6811
2023-07-01,水生根茎类,21.24,23.85,80.12,0.6907
2023-07-01,茄类,6.19,24.58,15.66,0.3346
2023-07-01,茄类,6.24,24.56,16.44,0.3454
2023-07-01,茄类,6.28,24.55,17.06,0.354
2023-07-01,茄类,6.33,24.54,17.84,0.3648
2023-07-01,茄类,6.37,24.53,18.48,0.3734
2023-07-01,茄类,6.42,24.51,19.27,0.3842
2023-07-01,茄类,6.47,24.5,20.07,0.395
2023-07-01,茄类,6.51,24.49,20.71,0.4036
2023-07-01,茄类,6.56,24.48,21.51,0.4144
2023-07-01,茄类,6.61,24.46,22.32,0.4252
2023-07-01,茄类,6.65,24.45,22.96,0.4338
2023-07-01,茄类,6.7,24.44,23.78,0.4446
2023-07-01,茄类,6.75,24.43,24.59,0.4554
2023-07-01,茄类,6.79,24.41,25.25,0.464
2023-07-01,茄类,6.84,24.4,26.07,0.4748
2023-07-01,茄类,6.88,24.39,26.73,0.4834
2023-07-01,茄类,6.93,24.38,27.56,0.4942
2023-07-01,茄类,6.98,24.37,28.4,0.5049
2023-07-01,茄类,7.02,24.36,29.07,0.5136
2023-07-01,茄类,7.07,24.34,29.91,0.5243
2023-07-01,茄类,7.12,24.33,30.75,0.5351
2023-07-01,茄类,7.16,24.32,31.42,0.5438
2023-07-01,茄类,7.21,24.31,32.27,0.5545
2023-07-01,茄类,7.26,24.3,33.12,0.5653
2023-07-01,茄类,7.3,24.29,33.79,0.5739
2023-07-01,茄类,7.35,24.27,34.65,0.5847
2023-07-01,茄类,7.39,24.26,35.33,0.5933
2023-07-01,茄类,7.44,24.25,36.19,0.6041
2023-07-01,茄类,7.49,24.24,37.05,0.6149
2023-07-01,茄类,7.53,24.23,37.74,0.6235
2023-07-01,茄类,7.58,24.22,38.61,0.6343
2023-07-01,茄类,7.63,24.21,39.48,0.6451
2023-07-01,茄类,7.67,24.2,40.17,0.6537
2023-07-01,茄类,7.72,24.19,41.04,0.6645
2023-07-01,茄类,7.77,24.18,41.91,0.6753
2023-07-01,茄类,7.81,24.17,42.61,0.6839
2023-07-01,茄类,7.86,24.16,43.49,0.6947
2023-07-01,茄类,7.9,24.15,44.19,0.7033
2023-07-01,茄类,7.95,24.14,45.06,0.7141
2023-07-01,茄类,8.0,24.13,45.94,0.7249
2023-07-01,茄类,8.04,24.12,46.64,0.7335
2023-07-01,茄类,8.09,24.11,47.52,0.7443
2023-07-01,茄类,8.14,24.1,48.4,0.755
2023-07-01,茄类,8.18,24.09,49.11,0.7637
2023-07-01,茄类,8.23,24.08,49.99,0.7745
2023-07-01,茄类,8.28,24.07,50.88,0.7852
2023-07-01,茄类,8.32,24.06,51.59,0.7939
2023-07-01,茄类,8.37,24.05,52.48,0.8046
2023-07-01,茄类,8.42,24.04,53.37,0.8154
2023-07-01,茄类,8.46,24.03,54.08,0.824
2023-07-01,茄类,8.51,24.02,54.97,0.8348
2023-07-01,茄类,8.55,24.01,55.69,0.8434
2023-07-01,茄类,8.6,24.0,56.58,0.8542
2023-07-01,茄类,8.65,23.99,57.48,0.865
2023-07-01,茄类,8.69,23.98,58.2,0.8736
2023-07-01,茄类,8.74,23.97,59.11,0.8844
2023-07-01,茄类,8.79,23.96,60.01,0.8952
2023-07-01,茄类,8.83,23.95,60.73,0.9038
2023-07-01,茄类,8.88,23.94,61.64,0.9146
2023-07-01,辣椒类,4.7,148.68,62.17,0.325
2023-07-01,辣椒类,4.73,148.19,64.73,0.3335
2023-07-01,辣椒类,4.77,147.54,68.15,0.3448
2023-07-01,辣椒类,4.81,146.89,71.57,0.356
2023-07-01,辣椒类,4.84,146.41,74.13,0.3645
2023-07-01,辣椒类,4.88,145.78,77.54,0.3758
2023-07-01,辣椒类,4.91,145.31,80.09,0.3842
2023-07-01,辣椒类,4.95,144.69,83.5,0.3955
2023-07-01,辣椒类,4.98,144.24,86.07,0.404
2023-07-01,辣椒类,5.02,143.63,89.5,0.4152
2023-07-01,辣椒类,5.05,143.18,92.07,0.4237
2023-07-01,辣椒类,5.09,142.59,95.52,0.435
2023-07-01,辣椒类,5.12,142.15,98.11,0.4434
2023-07-01,辣椒类,5.16,141.57,101.55,0.4547
2023-07-01,辣椒类,5.2,141.0,104.98,0.466
2023-07-01,辣椒类,5.23,140.58,107.54,0.4745
2023-07-01,辣椒类,5.27,140.01,110.95,0.4857
2023-07-01,辣椒类,5.3,139.6,113.49,0.4942
2023-07-01,辣椒类,5.34,139.05,116.89,0.5055
2023-07-01,辣椒类,5.37,138.64,119.44,0.5139
2023-07-01,辣椒类,5.41,138.1,122.81,0.5252
2023-07-01,辣椒类,5.44,137.7,125.34,0.5337
2023-07-01,辣椒类,5.48,137.17,128.7,0.5449
2023-07-01,辣椒类,5.51,136.78,131.22,0.5534
2023-07-01,辣椒类,5.55,136.26,134.57,0.5647
2023-07-01,辣椒类,5.59,135.75,137.93,0.5759
2023-07-01,辣椒类,5.62,135.37,140.46,0.5844
2023-07-01,辣椒类,5.66,134.86,143.82,0.5957
2023-07-01,辣椒类,5.69,134.49,146.33,0.6041
2023-07-01,辣椒类,5.73,134.0,149.67,0.6154
2023-07-01,辣椒类,5.76,133.63,152.16,0.6239
2023-07-01,辣椒类,5.8,133.15,155.49,0.6351
