销售日期,品类,日销售量,日销售额,日成本额,正销售量,折扣销售量,交易条数,单品数,日平均售价,日平均进价,加成率,折扣销量占比,星期,月份,时间趋势
2020-07-01,水生根茎类,4.85,70.2838,44.78568,4.85,0.0,15,2,14.491505154639176,9.234160824742268,0.5693364486148251,0.0,3,7,0.0
2020-07-01,花叶类,191.717,1446.6496,941.89255,191.717,0.0,413,16,7.545755462478549,4.912931821382559,0.5358966370420912,0.0,3,7,0.0
2020-07-01,花菜类,47.076,598.634,395.83628000000004,47.076,0.0,102,2,12.716331039170703,8.408451865069251,0.5123272682332198,0.0,3,7,0.0
2020-07-01,茄类,35.374,176.818,144.72834999999998,35.374,0.0,60,2,4.998529993780743,4.09137643466953,0.2217233182026883,0.0,3,7,0.0
2020-07-01,辣椒类,76.715,759.9902,408.05555000000004,76.715,0.0,259,9,9.9066701427361,5.319110343479111,0.8624674998293735,0.0,3,7,0.0
2020-07-01,食用菌,35.17,365.482,227.83541,35.17,0.0,119,5,10.39186806937731,6.4781179982940005,0.6041492408928006,0.0,3,7,0.0
2020-07-02,水生根茎类,4.6,53.1208,32.63124,4.6,0.0,14,2,11.548000000000002,7.093747826086957,0.6279123931545356,0.0,4,7,0.0027378507871321013
2020-07-02,花叶类,179.0,1317.6876,752.19713,179.0,0.0,389,16,7.361383240223463,4.202218603351955,0.7517849343562371,0.0,4,7,0.0027378507871321013
2020-07-02,花菜类,43.943,546.032,344.33378,43.943,0.0,95,2,12.4259153903921,7.835918803905059,0.5857636738399585,0.0,4,7,0.0027378507871321013
2020-07-02,茄类,32.199,172.092,79.62686000000001,32.199,0.0,56,2,5.344638032237027,2.4729606509518933,1.1612305194503465,0.0,4,7,0.0027378507871321013
2020-07-02,辣椒类,66.064,669.7044,376.85583,66.064,0.0,226,10,10.137206345362074,5.7044052736740145,0.7770838253981633,0.0,4,7,0.0027378507871321013
2020-07-02,食用菌,48.51,605.929,354.74897000000004,48.51,0.0,160,5,12.490806019377448,7.31290393733251,0.7080500614279441,0.0,4,7,0.0027378507871321013
2020-07-03,水生根茎类,4.41,44.1,24.7401,4.41,0.0,15,1,10.0,5.61,0.7825311942959001,0.0,5,7,0.0054757015742642025
2020-07-03,花叶类,184.947,1373.2026,814.47401,184.947,0.0,392,16,7.424843874190985,4.40382385223875,0.685999286828072,0.0,5,7,0.0054757015742642025
2020-07-03,花菜类,42.076,495.368,312.45916,42.076,0.0,96,2,11.773172354786576,7.426066165985359,0.5853847907675358,0.0,5,7,0.0054757015742642025
