日期,品类,基础方案售价,基础方案补货量,基础方案预计利润,报童方案预计利润,主方案预计利润
2023-07-01,水生根茎类,18.71,27.5,-10.2,34.29,34.29
2023-07-01,花叶类,5.56,310.6,285.89,318.29,318.29
2023-07-01,花菜类,12.31,59.0,26.22,61.79,61.79
2023-07-01,茄类,7.23,25.9,25.95,31.99,31.99
2023-07-01,辣椒类,5.66,122.1,100.36,118.44,118.44
2023-07-01,食用菌,5.99,74.6,56.87,69.43,69.43
2023-07-02,水生根茎类,18.71,24.8,-7.38,31.38,31.38
2023-07-02,花叶类,5.56,298.4,273.77,306.02,306.02
2023-07-02,花菜类,12.31,54.4,23.73,55.66,55.66
2023-07-02,茄类,7.23,24.9,25.28,31.11,31.11
2023-07-02,辣椒类,5.66,116.6,96.17,113.2,113.2
2023-07-02,食用菌,5.99,70.3,54.15,66.07,66.07
2023-07-03,水生根茎类,18.71,15.8,-4.03,19.83,19.83
2023-07-03,花叶类,5.56,213.8,196.79,219.39,219.39
2023-07-03,花菜类,12.31,36.9,16.86,37.89,37.89
2023-07-03,茄类,7.23,18.4,19.43,23.25,23.25
2023-07-03,辣椒类,5.66,83.9,67.59,80.43,80.43
2023-07-03,食用菌,5.99,46.1,34.88,42.77,42.77
2023-07-04,水生根茎类,18.71,15.7,-4.45,20.25,20.25
2023-07-04,花叶类,5.56,207.6,190.42,213.53,213.53
2023-07-04,花菜类,12.31,38.8,17.19,40.7,40.7
2023-07-04,茄类,7.23,17.3,17.47,21.55,21.55
2023-07-04,辣椒类,5.66,82.4,65.39,79.05,79.05
2023-07-04,食用菌,5.99,45.0,33.71,41.88,41.88
2023-07-05,水生根茎类,18.71,15.2,-5.34,19.21,19.21
2023-07-05,花叶类,5.56,210.8,194.0,217.62,217.62
2023-07-05,花菜类,12.31,36.9,16.86,38.28,38.28
2023-07-05,茄类,7.23,17.4,17.29,21.45,21.45
2023-07-05,辣椒类,5.66,83.0,66.12,79.46,79.46
2023-07-05,食用菌,5.99,48.5,36.74,45.17,45.17
2023-07-06,水生根茎类,18.71,15.5,-3.73,19.88,19.88
2023-07-06,花叶类,5.56,204.3,186.14,208.49,208.49
2023-07-06,花菜类,12.31,37.2,15.47,38.82,38.82
2023-07-06,茄类,7.23,17.7,17.6,21.91,21.91
2023-07-06,辣椒类,5.66,83.0,64.28,78.49,78.49
2023-07-06,食用菌,5.99,47.0,36.09,44.04,44.04
2023-07-07,水生根茎类,18.71,19.4,-7.74,23.97,23.97
2023-07-07,花叶类,5.56,224.2,206.2,230.17,230.17
2023-07-07,花菜类,12.31,42.4,17.44,42.51,42.51
2023-07-07,茄类,7.23,19.9,20.05,24.78,24.78
2023-07-07,辣椒类,5.66,90.5,74.61,87.99,87.99
2023-07-07,食用菌,5.99,55.1,40.87,50.85,50.85
