品类,模型,验证截止日,WAPE,MAE,RMSE
花叶类,时间基准需求（星期和月份）,2022-10-14,0.44696585122332894,149.6807543371064,192.48636983744612
花叶类,时间基准需求（星期和月份）,2022-11-18,0.719770055961126,323.1616399553704,501.4752079759456
花叶类,时间基准需求（星期和月份）,2022-12-23,0.36758767390371677,99.4346713169988,102.63811442687152
花叶类,时间基准需求（星期和月份）,2023-01-27,0.12261987166133205,25.129068364666036,30.222999405291638
花叶类,时间基准需求（星期和月份）,2023-03-03,0.061568722932639715,8.337689232729156,10.663314790859761
花叶类,时间基准需求（星期和月份）,2023-04-07,0.1320629542631453,18.979219944428372,21.743990614846314
花叶类,时间基准需求（星期和月份）,2023-05-12,0.1403737491056178,23.048547414040538,28.987966672734295
花叶类,时间基准需求（星期和月份）,2023-06-16,0.17108285143258783,30.052169278574905,34.97579914892233
花叶类,时间基准需求（星期、月份和趋势）,2022-10-14,0.5471118718818051,183.21783972068383,219.76233162088585
花叶类,时间基准需求（星期、月份和趋势）,2022-11-18,0.742800522196082,333.5018356550747,512.0607725772885
花叶类,时间基准需求（星期、月份和趋势）,2022-12-23,0.409524542420237,110.77884587192862,113.73382659600729
花叶类,时间基准需求（星期、月份和趋势）,2023-01-27,0.1288082079090245,26.39727328549082,32.49661885767628
花叶类,时间基准需求（星期、月份和趋势）,2023-03-03,0.05882764672835296,7.9664903436507535,10.192212872250883
花叶类,时间基准需求（星期、月份和趋势）,2023-04-07,0.1398839522455123,20.10320237932456,22.73263798052202
花叶类,时间基准需求（星期、月份和趋势）,2023-05-12,0.1373534757127982,22.55263621311229,27.813426618904728
花叶类,时间基准需求（星期、月份和趋势）,2023-06-16,0.16394777955296508,28.7988327451602,31.753802743287743
花菜类,时间基准需求（星期和月份）,2022-10-14,0.2883584917769534,15.396860474360173,24.211006275469277
花菜类,时间基准需求（星期和月份）,2022-11-18,0.44898874096093655,31.988523556005468,47.95186625686182
花菜类,时间基准需求（星期和月份）,2022-12-23,0.13478383889582432,4.975141061322668,5.194885542932326
花菜类,时间基准需求（星期和月份）,2023-01-27,0.20838532204622484,8.704612133851464,10.874621835116695
花菜类,时间基准需求（星期和月份）,2023-03-03,0.20787593543987776,5.722289964540132,8.164261438510568
花菜类,时间基准需求（星期和月份）,2023-04-07,0.25671236671547976,5.706459199718398,6.327038226071599
花菜类,时间基准需求（星期和月份）,2023-05-12,0.1696758434363989,4.975210841835883,6.4131428245163
花菜类,时间基准需求（星期和月份）,2023-06-16,0.8273441787186285,14.19001639325426,14.688457671471475
花菜类,时间基准需求（星期、月份和趋势）,2022-10-14,0.44101531514607833,23.547949750036974,30.578377455622597
花菜类,时间基准需求（星期、月份和趋势）,2022-11-18,0.5182568007569002,36.923575953354465,52.97507494465968
花菜类,时间基准需求（星期、月份和趋势）,2022-12-23,0.1483462567305853,5.475757028439365,7.049848672416075
花菜类,时间基准需求（星期、月份和趋势）,2023-01-27,0.18667716059569944,7.797825016071959,9.420104708521619
花菜类,时间基准需求（星期、月份和趋势）,2023-03-03,0.2492994810932301,6.8625736586881,9.0962725871735
花菜类,时间基准需求（星期、月份和趋势）,2023-04-07,0.1727137219866482,3.8392533260412023,4.36351456052453
花菜类,时间基准需求（星期、月份和趋势）,2023-05-12,0.1613570536143857,4.731288475073358,5.555720891017171
花菜类,时间基准需求（星期、月份和趋势）,2023-06-16,0.6470215415673439,11.097251322719107,11.675419240497549
水生根茎类,时间基准需求（星期和月份）,2022-10-14,0.24353403859788528,15.854726933684239,20.17870962247775
水生根茎类,时间基准需求（星期和月份）,2022-11-18,0.6081719962063572,59.5611506850421,100.47459113199078
水生根茎类,时间基准需求（星期和月份）,2022-12-23,0.2390869504229538,16.55229697528878,18.52423844666536
水生根茎类,时间基准需求（星期和月份）,2023-01-27,0.4194128346881389,19.467645883242376,24.453800902623467
水生根茎类,时间基准需求（星期和月份）,2023-03-03,0.3186445649200922,7.519055798419415,7.803795484320305
水生根茎类,时间基准需求（星期和月份）,2023-04-07,0.3580026268832736,6.993172170305456,8.029362805924617
水生根茎类,时间基准需求（星期和月份）,2023-05-12,0.295844571410183,3.5906232996951895,4.551062009483913
水生根茎类,时间基准需求（星期和月份）,2023-06-16,0.39871677204195816,8.759864441300683,12.78591101843147
水生根茎类,时间基准需求（星期、月份和趋势）,2022-10-14,0.24867284462162206,16.189277154017283,18.309891787435955
水生根茎类,时间基准需求（星期、月份和趋势）,2022-11-18,0.5566128395014249,54.5117194043322,94.27321580192698
水生根茎类,时间基准需求（星期、月份和趋势）,2022-12-23,0.17704996742939066,12.257396880809125,16.423245907112786
水生根茎类,时间基准需求（星期、月份和趋势）,2023-01-27,0.741797930907306,34.431610674392466,39.05513203384341
水生根茎类,时间基准需求（星期、月份和趋势）,2023-03-03,0.6378515084448725,15.051382044773655,15.42972353517549
水生根茎类,时间基准需求（星期、月份和趋势）,2023-04-07,0.27983680045032805,5.466292083310931,6.139195649661531
水生根茎类,时间基准需求（星期、月份和趋势）,2023-05-12,0.19136698061457263,2.3225937055789805,3.039014485602248
水生根茎类,时间基准需求（星期、月份和趋势）,2023-06-16,0.3146322891995085,6.912516341183086,11.171934595484394
茄类,时间基准需求（星期和月份）,2022-10-14,1.0783752303205674,12.89782991544698,14.2396094258192
茄类,时间基准需求（星期和月份）,2022-11-18,0.7244142218496233,13.487868396618138,20.45003743178092
茄类,时间基准需求（星期和月份）,2022-12-23,0.4170830821023864,3.2105268161318414,3.7815509949546455
