品类,模型,WAPE,MAE,RMSE
水生根茎类,时间基准需求（星期、月份和趋势）,0.39347764514612815,18.392848536049716,25.48016922453035
水生根茎类,时间基准需求（星期和月份）,0.36017679439635525,17.28731702337228,24.600183927739707
花叶类,时间基准需求（星期、月份和趋势）,0.29103224983084713,91.66461952680322,121.3182037333529
花叶类,时间基准需求（星期和月份）,0.2702539663104368,84.72796998048932,115.3992203591147
花菜类,时间基准需求（星期、月份和趋势）,0.3155859164363589,12.534434316303066,16.33929163255409
花菜类,时间基准需求（星期和月份）,0.31776558974879054,11.457389203111056,15.478160008868757
茄类,时间基准需求（星期、月份和趋势）,0.364332769243354,6.012605744949083,8.274458257782
茄类,时间基准需求（星期和月份）,0.5750177015347179,8.634820871285019,10.185577421310587
辣椒类,时间基准需求（星期、月份和趋势）,0.3132174540547212,48.93837098194823,63.00620060293193
辣椒类,时间基准需求（星期和月份）,0.4093738074269938,61.46186436282003,75.10821007255942
食用菌,时间基准需求（星期、月份和趋势）,0.40908668290118133,48.15813098946527,60.114084990668566
食用菌,时间基准需求（星期和月份）,0.4023693773030356,45.78807703617452,57.173513984817404
