品类,方法,回测WAPE,回测MAE,路径变化误差,方向命中率,预测波动比中位数,回测次数,是否动态,距最优WAPE,是否入选,综合路径评分
水生根茎类,近7日均值,0.13420366137527154,0.8598860767025521,0.12172586973654645,0.10714285714285714,3.8536586169467177e-16,8,否,0.0,是,0.19506659624354478
水生根茎类,近14日均值,0.13702234916621336,0.8779463170951362,0.1248891979785514,0.10714285714285714,0.0,8,否,0.002818687790941826,否,0.19946694815548907
水生根茎类,近7日均值+近周形状rho=0.15,0.13819510506726293,0.8854605418215644,0.13055066436263937,0.3571428571428571,0.15525613836189484,8,是,0.003991443691991392,否,0.2034704372485826
水生根茎类,近14日均值+近周形状rho=0.15,0.1390301249186246,0.8908107829148262,0.13339966605129364,0.3571428571428571,0.1491326905299951,8,是,0.00482646354335306,否,0.2057299579442714
水生根茎类,近7日均值+近周形状rho=0.30,0.14419134115551185,0.9238803574366449,0.1428688995168596,0.375,0.31051227672378945,8,是,0.009987679780240316,否,0.21562579091394166
水生根茎类,近14日均值+近周形状rho=0.30,0.14450499045122103,0.9258900094802931,0.1453625434063544,0.3571428571428571,0.29826538105999,8,是,0.010301329075949495,否,0.21718626215439824
水生根茎类,近7日均值+近周形状rho=0.45,0.15162671713201836,0.971521205769153,0.15750879001874116,0.3571428571428571,0.4657684150856838,8,是,0.017423055756746825,否,0.23038111214138896
水生根茎类,近14日均值+近周形状rho=0.45,0.1530206053549996,0.9804522964945368,0.1593516769747033,0.3571428571428571,0.44739807158998446,8,是,0.01881694397972805,否,0.23269644384235122
水生根茎类,近7日均值+近周形状rho=0.60,0.16123278122496115,1.0330703519011366,0.17248751132451087,0.3571428571428571,0.6210245534475782,8,是,0.027029119849689615,否,0.2474765368872166
水生根茎类,近14日均值+近周形状rho=0.60,0.16233343141454615,1.0401225721136513,0.1733737150877753,0.3571428571428571,0.5965307621199794,8,是,0.02812977003927461,否,0.2490202889584338
水生根茎类,指数加权移动平均,0.1743250245972481,1.1169565713474954,0.12187001848735317,0.08928571428571427,5.032274521289211e-16,8,否,0.04012136322197657,否,0.2352600338409247
水生根茎类,指数加权移动平均+近周形状rho=0.15,0.17828785440136535,1.1423476980722256,0.132087906736492,0.3214285714285714,0.1734635199114327,8,是,0.044084193026093815,否,0.24433180776961136
水生根茎类,近21日阻尼趋势,0.18061711056360666,1.157271992405629,0.12188580898448725,0.4642857142857143,0.04918705696307338,8,是,0.04641344918833512,否,0.24156001505585029
水生根茎类,指数加权移动平均+近周形状rho=0.30,0.1822506842054826,1.167738824796956,0.1458704363087283,0.3214285714285714,0.3469270398228654,8,是,0.04804702283021106,否,0.25518590235984673
水生根茎类,指数加权移动平均+近周形状rho=0.45,0.18718885165902985,1.1993792539344086,0.16125274925634261,0.3392857142857143,0.5203905597342977,8,是,0.05298519028375831,否,0.26781522628720117
