品类,方法,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差
花叶类,近7日均值,2022-10-14,7,0.04185159795671296,0.08793297373201311
花叶类,近14日均值,2022-10-14,7,0.046511980961089244,0.09772474647934756
花叶类,指数加权移动平均,2022-10-14,7,0.039640119220916356,0.08328651072754575
花叶类,同星期近8次中位数,2022-10-14,7,0.2244674939414839,0.471621042256556
花叶类,近180日趋势加星期,2022-10-14,7,0.1053281860363252,0.22130148114182543
花叶类,近7日均值,2022-11-18,7,0.17027679807224375,0.23500440493791785
花叶类,近14日均值,2022-11-18,7,0.2613712019871043,0.36072667848045586
花叶类,指数加权移动平均,2022-11-18,7,0.17026683912091115,0.23499066027359355
花叶类,同星期近8次中位数,2022-11-18,7,0.521302241902796,0.7194657436487158
花叶类,近180日趋势加星期,2022-11-18,7,0.4485303020235443,0.6190308833441095
花叶类,近7日均值,2022-12-23,7,0.10532480142227378,0.23829696245985785
花叶类,近14日均值,2022-12-23,7,0.16890702765789226,0.38215150738928394
花叶类,指数加权移动平均,2022-12-23,7,0.07468036254179111,0.16896403609403152
花叶类,同星期近8次中位数,2022-12-23,7,0.21436170202533572,0.4849925351918114
花叶类,近180日趋势加星期,2022-12-23,7,0.31120762800822716,0.7041060742319597
花叶类,近7日均值,2023-01-27,7,0.06509939700432,0.2670082947562582
花叶类,近14日均值,2023-01-27,7,0.140824096253965,0.577596775571779
花叶类,指数加权移动平均,2023-01-27,7,0.10409499613110273,0.4269506122734225
花叶类,同星期近8次中位数,2023-01-27,7,0.4342083207281358,1.7809262239234622
花叶类,近180日趋势加星期,2023-01-27,7,0.42958169943496477,1.761949915096967
花叶类,近7日均值,2023-03-03,7,0.049313459558364116,0.13614617854397798
花叶类,近14日均值,2023-03-03,7,0.1070470006745242,0.29553878792831895
花叶类,指数加权移动平均,2023-03-03,7,0.050155925780268173,0.13847208627164148
花叶类,同星期近8次中位数,2023-03-03,7,0.17784878683569125,0.49101062677836466
花叶类,近180日趋势加星期,2023-03-03,7,0.0931632051064188,0.2572079604582603
花叶类,近7日均值,2023-04-07,7,0.07639694454890615,0.22544406587637392
花叶类,近14日均值,2023-04-07,7,0.09798955950594568,0.2891629349693879
花叶类,指数加权移动平均,2023-04-07,7,0.07368361148782251,0.21743713783783317
花叶类,同星期近8次中位数,2023-04-07,7,0.09436438006175876,0.2784651878506433
花叶类,近180日趋势加星期,2023-04-07,7,0.1592877469598721,0.47005122431214763
花叶类,近7日均值,2023-05-12,7,0.054200049375681784,0.18435413578124477
花叶类,近14日均值,2023-05-12,7,0.06394142026591866,0.21748809105398578
花叶类,指数加权移动平均,2023-05-12,7,0.04341333251179068,0.1476645775932803
花叶类,同星期近8次中位数,2023-05-12,7,0.07863316929641392,0.26746008788480646
花叶类,近180日趋势加星期,2023-05-12,7,0.08913709073762957,0.30318775569903966
花叶类,近7日均值,2023-06-16,7,0.10763391556105133,0.34219029798564105
花叶类,近14日均值,2023-06-16,7,0.10699464898811592,0.34015793840878494
花叶类,指数加权移动平均,2023-06-16,7,0.07223019256194621,0.22963459972161943
花叶类,同星期近8次中位数,2023-06-16,7,0.08287906239784906,0.26348954147825393
花叶类,近180日趋势加星期,2023-06-16,7,0.09798982332047583,0.31152975032832136
花菜类,近7日均值,2022-10-14,7,0.05945768304995364,0.40175591965642826
花菜类,近14日均值,2022-10-14,7,0.06964869584675433,0.4706166540205515
花菜类,指数加权移动平均,2022-10-14,7,0.04474153890460458,0.302318845730355
花菜类,同星期近8次中位数,2022-10-14,7,0.06258097751583977,0.4228600390255884
花菜类,近180日趋势加星期,2022-10-14,7,0.10075346166824148,0.6807917425420869
花菜类,近7日均值,2022-11-18,7,0.1059070124869035,0.3594412499632508
花菜类,近14日均值,2022-11-18,7,0.11418206302645952,0.38752621279623506
花菜类,指数加权移动平均,2022-11-18,7,0.10187481446735147,0.3457562421227515
花菜类,同星期近8次中位数,2022-11-18,7,0.7576215238608119,2.5713163004127635
花菜类,近180日趋势加星期,2022-11-18,7,0.637308571611917,2.1629822635286673
花菜类,近7日均值,2022-12-23,7,0.124718533167556,0.5984535509699133
花菜类,近14日均值,2022-12-23,7,0.19635165483220063,0.942180300623655
花菜类,指数加权移动平均,2022-12-23,7,0.11364495268886114,0.5453177146902898
花菜类,同星期近8次中位数,2022-12-23,7,0.2075008246138561,0.9956788471246323
花菜类,近180日趋势加星期,2022-12-23,7,0.13899675146058593,0.6669666277514334
花菜类,近7日均值,2023-01-27,7,0.0438802644410559,0.2857992447544721
花菜类,近14日均值,2023-01-27,7,0.032934403579336864,0.21450708625645096
花菜类,指数加权移动平均,2023-01-27,7,0.03300673445807219,0.21497818894414675
花菜类,同星期近8次中位数,2023-01-27,7,0.209023592588119,1.3614043957688
花菜类,近180日趋势加星期,2023-01-27,7,0.2627362625076693,1.711243684394207
花菜类,近7日均值,2023-03-03,7,0.06792804457396087,0.41256335257079996
花菜类,近14日均值,2023-03-03,7,0.09358583885622995,0.568396862795568
花菜类,指数加权移动平均,2023-03-03,7,0.06137323401218007,0.3727524815558051
花菜类,同星期近8次中位数,2023-03-03,7,0.0656169422900587,0.3985267920844671
花菜类,近180日趋势加星期,2023-03-03,7,0.17046452488677274,1.0353222490469631
花菜类,近7日均值,2023-04-07,7,0.0958755552193175,0.7239444170295952
花菜类,近14日均值,2023-04-07,7,0.05367777845599893,0.40531424243520053
花菜类,指数加权移动平均,2023-04-07,7,0.10031785160604378,0.7574876456513708
花菜类,同星期近8次中位数,2023-04-07,7,0.153246228849246,1.1571432525472167
花菜类,近180日趋势加星期,2023-04-07,7,0.09044642026012982,0.6829496928372476
花菜类,近7日均值,2023-05-12,7,0.04883857547305042,0.3259159368578386
花菜类,近14日均值,2023-05-12,7,0.056357445108335444,0.37609183608422153
花菜类,指数加权移动平均,2023-05-12,7,0.04750259017977849,0.3170004659566596
花菜类,同星期近8次中位数,2023-05-12,7,0.11232965485714619,0.7496128694393679
花菜类,近180日趋势加星期,2023-05-12,7,0.1875799529860056,1.2517829506906557
花菜类,近7日均值,2023-06-16,7,0.0499447255773361,0.47436633457255567
花菜类,近14日均值,2023-06-16,7,0.046180091477324464,0.4386104933223289
花菜类,指数加权移动平均,2023-06-16,7,0.032238867003131055,0.3061991630601142
花菜类,同星期近8次中位数,2023-06-16,7,0.18677698614948288,1.7739753953607544
花菜类,近180日趋势加星期,2023-06-16,7,0.06436621580625893,0.6113391456129348
水生根茎类,近7日均值,2022-10-14,7,0.06912045502841609,0.3535241904202858
水生根茎类,近14日均值,2022-10-14,7,0.08139878158551979,0.41632304575235046
水生根茎类,指数加权移动平均,2022-10-14,7,0.12640429146568566,0.6465086896156155
水生根茎类,同星期近8次中位数,2022-10-14,7,0.14355620088407398,0.734234021990887
水生根茎类,近180日趋势加星期,2022-10-14,7,0.07202381619359065,0.3683737513063371
水生根茎类,近7日均值,2022-11-18,7,0.11798342612579657,0.5628578670260589
水生根茎类,近14日均值,2022-11-18,7,0.10988939026308893,0.5242440387036081
水生根茎类,指数加权移动平均,2022-11-18,7,0.15280399092194927,0.7289746638794428
水生根茎类,同星期近8次中位数,2022-11-18,7,0.1396983539384716,0.6664522306804529
水生根茎类,近180日趋势加星期,2022-11-18,7,0.11694166148009968,0.5578879704424919
水生根茎类,近7日均值,2022-12-23,7,0.06042107124925345,0.2886559005077322
水生根茎类,近14日均值,2022-12-23,7,0.061477211306986475,0.29370150882158647
水生根茎类,指数加权移动平均,2022-12-23,7,0.08181573730392165,0.3908668753942254
水生根茎类,同星期近8次中位数,2022-12-23,7,0.0627383930528162,0.2997266842284341
水生根茎类,近180日趋势加星期,2022-12-23,7,0.12494093627656956,0.5968933970471102
水生根茎类,近7日均值,2023-01-27,7,0.058806679373631446,0.2878144174946093
水生根茎类,近14日均值,2023-01-27,7,0.07490265128449672,0.3665920806593915
水生根茎类,指数加权移动平均,2023-01-27,7,0.05944275225894017,0.29092751534198297
水生根茎类,同星期近8次中位数,2023-01-27,7,0.05052449816342132,0.2472793764756077
水生根茎类,近180日趋势加星期,2023-01-27,7,0.07593505229622093,0.3716449062733384
水生根茎类,近7日均值,2023-03-03,7,0.2370915855048926,1.2857720984359555
水生根茎类,近14日均值,2023-03-03,7,0.23351271899463014,1.2663635365794765
水生根茎类,指数加权移动平均,2023-03-03,7,0.241514875542666,1.3097600560926872
水生根茎类,同星期近8次中位数,2023-03-03,7,0.222679372514282,1.2076131823336336
水生根茎类,近180日趋势加星期,2023-03-03,7,0.24197728155338777,1.3122677315357822
水生根茎类,近7日均值,2023-04-07,7,0.0660959060356004,0.4067766681360933
水生根茎类,近14日均值,2023-04-07,7,0.06935961415876503,0.4268626370824081
水生根茎类,指数加权移动平均,2023-04-07,7,0.10579259815667047,0.6510836021894032
水生根茎类,同星期近8次中位数,2023-04-07,7,0.16203741739129843,0.9972333343052736
水生根茎类,近180日趋势加星期,2023-04-07,7,0.14040653460200103,0.8641095304628162
水生根茎类,近7日均值,2023-05-12,7,0.1832311916339107,1.4423855067396356
水生根茎类,近14日均值,2023-05-12,7,0.16477982859657364,1.2971374275926084
水生根茎类,指数加权移动平均,2023-05-12,7,0.31099888803789494,2.448165537307914
水生根茎类,同星期近8次中位数,2023-05-12,7,0.2079548730169036,1.6370089187366885
水生根茎类,近180日趋势加星期,2023-05-12,7,0.18173702695860428,1.4306235274984034
水生根茎类,近7日均值,2023-06-16,7,0.1837456062969634,2.2513019648600463
水生根茎类,近14日均值,2023-06-16,7,0.1985219866247722,2.4323462615696596
水生根茎类,指数加权移动平均,2023-06-16,7,0.20154341448264812,2.4693656309586918
水生根茎类,同星期近8次中位数,2023-06-16,7,0.2535004509318844,3.105957605067864
水生根茎类,近180日趋势加星期,2023-06-16,7,0.24016844917644464,2.9426102339256617
茄类,近7日均值,2022-10-14,7,0.40331436413950295,2.1609700932048987
茄类,近14日均值,2022-10-14,7,0.20057687754022946,1.0746967435132904
茄类,指数加权移动平均,2022-10-14,7,0.388742951834507,2.0828960422743386
茄类,同星期近8次中位数,2022-10-14,7,0.11941037901448208,0.6398042837356098
茄类,近180日趋势加星期,2022-10-14,7,0.41460753941904943,2.221479254807632
茄类,近7日均值,2022-11-18,7,0.04173670358543749,0.14845211500880082
茄类,近14日均值,2022-11-18,7,0.059247377204146454,0.21073534081758652
茄类,指数加权移动平均,2022-11-18,7,0.039103747948736105,0.13908702865998235
茄类,同星期近8次中位数,2022-11-18,7,0.29744785379938216,1.0579839615497033
茄类,近180日趋势加星期,2022-11-18,7,0.20675795089691518,0.7354115794674855
茄类,近7日均值,2022-12-23,7,0.03470113898979274,0.18239092941931365
茄类,近14日均值,2022-12-23,7,0.028207413536096824,0.14825958228278768
茄类,指数加权移动平均,2022-12-23,7,0.03767456218195541,0.19801939105957903
茄类,同星期近8次中位数,2022-12-23,7,0.15417203131406068,0.8103359399847472
茄类,近180日趋势加星期,2022-12-23,7,0.09231051980909397,0.48518872847698347
茄类,近7日均值,2023-01-27,7,0.044935033722246547,0.38310237642355105
茄类,近14日均值,2023-01-27,7,0.006700725880800237,0.057128342766246884
茄类,指数加权移动平均,2023-01-27,7,0.07535244416505751,0.6424319297809848
茄类,同星期近8次中位数,2023-01-27,7,0.3413551257958582,2.910289568382133
茄类,近180日趋势加星期,2023-01-27,7,0.28025375959811605,2.389357977726806
茄类,近7日均值,2023-03-03,7,0.12796464394864945,1.040350633299698
茄类,近14日均值,2023-03-03,7,0.10017662103973542,0.8144344244206565
茄类,指数加权移动平均,2023-03-03,7,0.09303967170282121,0.7564111335070658
茄类,同星期近8次中位数,2023-03-03,7,0.09088940589676409,0.7389295048003747
茄类,近180日趋势加星期,2023-03-03,7,0.07838109408652157,0.6372371176553923
茄类,近7日均值,2023-04-07,7,0.06453812557700521,0.37634579547284563
茄类,近14日均值,2023-04-07,7,0.05285776817963721,0.308233290549309
茄类,指数加权移动平均,2023-04-07,7,0.07029542204100919,0.40991873082147595
