日期,品类,预测批发价,方法
2023-07-01,水生根茎类,12.563152990918143,近7日均值
2023-07-01,花叶类,3.292142101887832,指数加权移动平均
2023-07-01,花菜类,8.000358660933962,指数加权移动平均
2023-07-01,茄类,4.590124850948491,近14日均值
2023-07-01,辣椒类,3.547082087016438,指数加权移动平均
2023-07-01,食用菌,3.7092366594593202,近14日均值
2023-07-02,水生根茎类,12.563152990918143,近7日均值
2023-07-02,花叶类,3.292142101887832,指数加权移动平均
2023-07-02,花菜类,8.000358660933962,指数加权移动平均
2023-07-02,茄类,4.590124850948491,近14日均值
2023-07-02,辣椒类,3.547082087016438,指数加权移动平均
2023-07-02,食用菌,3.7092366594593202,近14日均值
2023-07-03,水生根茎类,12.563152990918143,近7日均值
2023-07-03,花叶类,3.292142101887832,指数加权移动平均
2023-07-03,花菜类,8.000358660933962,指数加权移动平均
2023-07-03,茄类,4.590124850948491,近14日均值
2023-07-03,辣椒类,3.547082087016438,指数加权移动平均
2023-07-03,食用菌,3.7092366594593202,近14日均值
2023-07-04,水生根茎类,12.563152990918143,近7日均值
2023-07-04,花叶类,3.292142101887832,指数加权移动平均
2023-07-04,花菜类,8.000358660933962,指数加权移动平均
2023-07-04,茄类,4.590124850948491,近14日均值
2023-07-04,辣椒类,3.547082087016438,指数加权移动平均
2023-07-04,食用菌,3.7092366594593202,近14日均值
2023-07-05,水生根茎类,12.563152990918143,近7日均值
2023-07-05,花叶类,3.292142101887832,指数加权移动平均
2023-07-05,花菜类,8.000358660933962,指数加权移动平均
2023-07-05,茄类,4.590124850948491,近14日均值
2023-07-05,辣椒类,3.547082087016438,指数加权移动平均
2023-07-05,食用菌,3.7092366594593202,近14日均值
2023-07-06,水生根茎类,12.563152990918143,近7日均值
2023-07-06,花叶类,3.292142101887832,指数加权移动平均
2023-07-06,花菜类,8.000358660933962,指数加权移动平均
2023-07-06,茄类,4.590124850948491,近14日均值
2023-07-06,辣椒类,3.547082087016438,指数加权移动平均
2023-07-06,食用菌,3.7092366594593202,近14日均值
2023-07-07,水生根茎类,12.563152990918143,近7日均值
2023-07-07,花叶类,3.292142101887832,指数加权移动平均
2023-07-07,花菜类,8.000358660933962,指数加权移动平均
2023-07-07,茄类,4.590124850948491,近14日均值
2023-07-07,辣椒类,3.547082087016438,指数加权移动平均
2023-07-07,食用菌,3.7092366594593202,近14日均值
