日期,品类,基础方案售价,基础方案补货量,基础方案预计利润,仅改补货方案利润,价格搜索方案利润,价格搜索同基础补货利润,补货改善,价格搜索改善,最终建议方案利润
2023-07-01,水生根茎类,18.71,27.5,-10.2,34.29,64.76,24.07,44.49,30.47,34.29
2023-07-01,花叶类,5.56,310.6,285.89,318.29,475.58,418.14,32.4,157.29,318.29
2023-07-01,花菜类,12.31,59.0,26.22,61.79,113.5,61.19,35.57,51.71,61.79
2023-07-01,茄类,7.23,25.9,25.95,31.99,58.89,55.27,6.04,26.9,31.99
2023-07-01,辣椒类,5.66,122.1,100.36,118.44,244.49,211.52,18.08,126.05,118.44
2023-07-01,食用菌,5.99,74.6,56.87,69.43,102.1,93.57,12.56,32.67,69.43
2023-07-02,水生根茎类,18.71,24.8,-7.38,31.38,59.33,23.74,38.76,27.95,31.38
2023-07-02,花叶类,5.56,298.4,273.77,306.02,456.56,398.39,32.25,150.54,306.02
2023-07-02,花菜类,12.31,54.4,23.73,55.66,103.48,56.22,31.93,47.82,55.66
2023-07-02,茄类,7.23,24.9,25.28,31.11,56.95,53.57,5.83,25.84,31.11
2023-07-02,辣椒类,5.66,116.6,96.17,113.2,233.51,202.86,17.02,120.31,113.2
2023-07-02,食用菌,5.99,70.3,54.15,66.07,97.06,88.73,11.92,30.98,66.07
2023-07-03,水生根茎类,18.71,15.8,-4.03,19.83,37.62,16.1,23.86,17.79,19.83
2023-07-03,花叶类,5.56,213.8,196.79,219.39,327.67,287.04,22.6,108.28,219.39
2023-07-03,花菜类,12.31,36.9,16.86,37.89,70.4,39.62,21.03,32.5,37.89
2023-07-03,茄类,7.23,18.4,19.43,23.25,42.67,40.56,3.82,19.42,23.25
2023-07-03,辣椒类,5.66,83.9,67.59,80.43,166.52,143.44,12.84,86.08,80.43
2023-07-03,食用菌,5.99,46.1,34.88,42.77,62.98,57.51,7.88,20.22,42.77
2023-07-04,水生根茎类,18.71,15.7,-4.45,20.25,38.04,15.14,24.7,17.79,20.25
2023-07-04,花叶类,5.56,207.6,190.42,213.53,318.0,278.08,23.11,104.47,213.53
2023-07-04,花菜类,12.31,38.8,17.19,40.7,74.66,40.54,23.51,33.96,40.7
2023-07-04,茄类,7.23,17.3,17.47,21.55,39.51,37.09,4.09,17.96,21.55
2023-07-04,辣椒类,5.66,82.4,65.39,79.05,162.75,139.97,13.65,83.7,79.05
2023-07-04,食用菌,5.99,45.0,33.71,41.88,61.53,55.69,8.18,19.65,41.88
2023-07-05,水生根茎类,18.71,15.2,-5.34,19.21,36.16,13.65,24.55,16.94,19.21
2023-07-05,花叶类,5.56,210.8,194.0,217.62,323.91,281.79,23.62,106.29,217.62
2023-07-05,花菜类,12.31,36.9,16.86,38.28,70.76,39.4,21.41,32.48,38.28
2023-07-05,茄类,7.23,17.4,17.29,21.45,39.35,37.0,4.15,17.9,21.45
2023-07-05,辣椒类,5.66,83.0,66.12,79.46,164.14,141.01,13.34,84.68,79.46
2023-07-05,食用菌,5.99,48.5,36.74,45.17,66.39,60.53,8.43,21.22,45.17
2023-07-06,水生根茎类,18.71,15.5,-3.73,19.88,37.51,15.86,23.6,17.64,19.88
2023-07-06,花叶类,5.56,204.3,186.14,208.49,311.47,272.42,22.36,102.98,208.49
2023-07-06,花菜类,12.31,37.2,15.47,38.82,71.07,37.31,23.35,32.25,38.82
2023-07-06,茄类,7.23,17.7,17.6,21.91,40.2,37.61,4.31,18.29,21.91
2023-07-06,辣椒类,5.66,83.0,64.28,78.49,162.39,138.29,14.21,83.9,78.49
2023-07-06,食用菌,5.99,47.0,36.09,44.04,64.74,59.2,7.95,20.7,44.04
2023-07-07,水生根茎类,18.71,19.4,-7.74,23.97,45.54,16.1,31.71,21.57,23.97
2023-07-07,花叶类,5.56,224.2,206.2,230.17,343.65,299.41,23.96,113.48,230.17
2023-07-07,花菜类,12.31,42.4,17.44,42.51,79.64,43.45,25.07,37.13,42.51
2023-07-07,茄类,7.23,19.9,20.05,24.78,45.47,42.58,4.73,20.69,24.78
2023-07-07,辣椒类,5.66,90.5,74.61,87.99,181.36,156.99,13.38,93.37,87.99
2023-07-07,食用菌,5.99,55.1,40.87,50.85,74.91,67.77,9.98,24.06,50.85
