品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差
花叶类,不含趋势,2022-10-14,7,0.2132219381630763,71.40415863565045,136.14116046872437
花叶类,不含趋势,2022-11-18,7,0.6258145234393269,280.9775789192655,460.0235500562623
花叶类,不含趋势,2022-12-23,7,0.34900214264552876,94.4071735984714,97.99772290265118
花叶类,不含趋势,2023-01-27,7,0.24109737694108316,49.40922205845603,51.500152565016165
花叶类,不含趋势,2023-03-03,7,0.18210597631657344,24.660947403627215,27.809072501357345
花叶类,不含趋势,2023-04-07,7,0.26173551658104555,37.61490846677605,40.107734700088834
花叶类,不含趋势,2023-05-12,7,0.13160155705190604,21.6082048588031,25.629174270675826
花叶类,不含趋势,2023-06-16,7,0.18811305998223984,33.04367138353742,37.79021352568469
花叶类,含时间趋势,2022-10-14,7,0.29697642397558555,99.45201638858862,163.1067296764432
花叶类,含时间趋势,2022-11-18,7,0.6731078321535937,302.2112813724884,480.7559307079085
花叶类,含时间趋势,2022-12-23,7,0.4803524771748095,129.938227190649,132.55448703552088
花叶类,含时间趋势,2023-01-27,7,0.36446605941192567,74.69174775242314,75.93358318354991
花叶类,含时间趋势,2023-03-03,7,0.0665177361865522,9.007888849585344,12.661811168414827
花叶类,含时间趋势,2023-04-07,7,0.15888369031609262,22.833719879406754,26.246200189143845
花叶类,含时间趋势,2023-05-12,7,0.14087299826803534,23.130521202335835,31.104278113730956
花叶类,含时间趋势,2023-06-16,7,0.20323319758027145,35.699653153811084,45.42374916004728
花菜类,不含趋势,2022-10-14,7,0.2576075682983103,13.754919308207093,23.170696720314357
花菜类,不含趋势,2022-11-18,7,0.4485045888948187,31.954029796231996,42.63818047329049
花菜类,不含趋势,2022-12-23,7,0.15459946324692392,5.706575387370456,6.711965956405667
花菜类,不含趋势,2023-01-27,7,0.1753923218551421,7.326437956441039,8.998231370938193
花菜类,不含趋势,2023-03-03,7,0.2527340886440813,6.957119572715045,9.74941114392387
花菜类,不含趋势,2023-04-07,7,0.16173382273706363,3.5951811456221874,4.251677609545407
花菜类,不含趋势,2023-05-12,7,0.17482665609522802,5.12624223478769,5.676797792955905
花菜类,不含趋势,2023-06-16,7,0.21378373472682993,3.6666659153669245,5.145991051406059
花菜类,含时间趋势,2022-10-14,7,0.3568105327986947,19.051847425853047,27.33985110620401
花菜类,含时间趋势,2022-11-18,7,0.447016847259993,31.848034580786244,46.12567859642432
花菜类,含时间趋势,2022-12-23,7,0.13422414818373232,4.954481757757928,5.6186655674557215
花菜类,含时间趋势,2023-01-27,7,0.1890379632663112,7.896439790713705,10.163934073590148
花菜类,含时间趋势,2023-03-03,7,0.24144762802710018,6.646432334256856,9.70991785861142
