口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
全量有效,花叶类,对数需求（星期和月份）,2022-10-14,7,0.21322193816307639,71.40415863565048,136.14116046872434,-0.861755580412846
全量有效,花叶类,对数需求（星期和月份）,2022-11-18,7,0.6258145234393273,280.97757891926574,460.0235500562626,-0.8558003672802404
全量有效,花叶类,对数需求（星期和月份）,2022-12-23,7,0.34900214264553087,94.40717359847197,97.99772290265167,-0.8563643162237913
全量有效,花叶类,对数需求（星期和月份）,2023-01-27,7,0.24109737694108332,49.409222058456066,51.5001525650162,-0.8117034857712359
全量有效,花叶类,对数需求（星期和月份）,2023-03-03,7,0.18210597631657235,24.66094740362707,27.809072501357203,-0.8015846517260781
全量有效,花叶类,对数需求（星期和月份）,2023-04-07,7,0.2617355165810454,37.61490846677602,40.107734700088834,-0.8125021305948275
全量有效,花叶类,对数需求（星期和月份）,2023-05-12,7,0.1316015570519063,21.608204858803134,25.629174270675925,-0.8121533793886501
全量有效,花叶类,对数需求（星期和月份）,2023-06-16,7,0.18811305998223996,33.04367138353744,37.79021352568479,-0.8118582281402726
全量有效,花叶类,对数需求（星期、月份和趋势）,2022-10-14,7,0.296976423975585,99.45201638858843,163.10672967644297,-1.0337198534452559
全量有效,花叶类,对数需求（星期、月份和趋势）,2022-11-18,7,0.6731078321535947,302.2112813724888,480.75593070790893,-1.07645169348899
全量有效,花叶类,对数需求（星期、月份和趋势）,2022-12-23,7,0.4803524771748097,129.9382271906491,132.55448703552094,-1.0677399651878594
全量有效,花叶类,对数需求（星期、月份和趋势）,2023-01-27,7,0.36446605941192556,74.69174775242313,75.9335831835499,-0.9349587222587488
全量有效,花叶类,对数需求（星期、月份和趋势）,2023-03-03,7,0.06651773618655298,9.00788884958545,12.661811168415083,-0.9023441777325154
全量有效,花叶类,对数需求（星期、月份和趋势）,2023-04-07,7,0.15888369031609242,22.833719879406733,26.24620018914367,-0.90671423930445
全量有效,花叶类,对数需求（星期、月份和趋势）,2023-05-12,7,0.14087299826803498,23.130521202335775,31.10427811373085,-0.9042306453340271
全量有效,花叶类,对数需求（星期、月份和趋势）,2023-06-16,7,0.20323319758027145,35.699653153811084,45.42374916004758,-0.8876498415741867
全量有效,花菜类,对数需求（星期和月份）,2022-10-14,7,0.2576075682983106,13.754919308207109,23.170696720314382,-1.0580465671718045
全量有效,花菜类,对数需求（星期和月份）,2022-11-18,7,0.44850458889481876,31.954029796232,42.638180473290475,-1.0642970584544174
全量有效,花菜类,对数需求（星期和月份）,2022-12-23,7,0.15459946324692403,5.706575387370459,6.71196595640568,-1.0061300539828357
全量有效,花菜类,对数需求（星期和月份）,2023-01-27,7,0.17539232185514236,7.326437956441049,8.998231370938203,-0.9795883365842923
全量有效,花菜类,对数需求（星期和月份）,2023-03-03,7,0.2527340886440821,6.957119572715066,9.749411143923883,-0.972238706473239
全量有效,花菜类,对数需求（星期和月份）,2023-04-07,7,0.16173382273706363,3.595181145622187,4.251677609545411,-0.9377927195882401
全量有效,花菜类,对数需求（星期和月份）,2023-05-12,7,0.17482665609522746,5.126242234787674,5.676797792955883,-0.9122834032871963
全量有效,花菜类,对数需求（星期和月份）,2023-06-16,7,0.21378373472682982,3.666665915366923,5.145991051406053,-0.9111539208709317
全量有效,花菜类,对数需求（星期、月份和趋势）,2022-10-14,7,0.3568105327986938,19.051847425852998,27.33985110620397,-0.9878885831898748
全量有效,花菜类,对数需求（星期、月份和趋势）,2022-11-18,7,0.4470168472599926,31.848034580786212,46.125678596424265,-1.0279635847777628
全量有效,花菜类,对数需求（星期、月份和趋势）,2022-12-23,7,0.1342241481837327,4.954481757757942,5.618665567455717,-0.9959475883304706
全量有效,花菜类,对数需求（星期、月份和趋势）,2023-01-27,7,0.18903796326631067,7.896439790713684,10.163934073590116,-0.967550592711146
全量有效,花菜类,对数需求（星期、月份和趋势）,2023-03-03,7,0.24144762802710085,6.646432334256874,9.709917858611437,-0.9574603328466844
全量有效,花菜类,对数需求（星期、月份和趋势）,2023-04-07,7,0.14913621497960503,3.3151489227816398,4.411989236253905,-0.9249222840569157
全量有效,花菜类,对数需求（星期、月份和趋势）,2023-05-12,7,0.1938872058292202,5.685132951152133,6.531213208940548,-0.8966122766226873
全量有效,花菜类,对数需求（星期、月份和趋势）,2023-06-16,7,0.1925061633345089,3.301728209111115,4.739061233482169,-0.8892715591766072
全量有效,水生根茎类,对数需求（星期和月份）,2022-10-14,7,0.24893984841888583,16.20665982594375,22.192413462224692,-0.6688429971678604
全量有效,水生根茎类,对数需求（星期和月份）,2022-11-18,7,0.6272126512888844,61.42589180036224,100.87267141940382,-0.657022061876725
全量有效,水生根茎类,对数需求（星期和月份）,2022-12-23,7,0.25862574184833087,17.904992626970895,19.800787283566635,-0.6375044076958387
全量有效,水生根茎类,对数需求（星期和月份）,2023-01-27,7,0.5595196231118711,25.970902620484797,28.923138876740317,-0.6103696843562695
全量有效,水生根茎类,对数需求（星期和月份）,2023-03-03,7,0.3886231179667813,9.170339714662136,10.112021511259117,-0.5170777256014025
全量有效,水生根茎类,对数需求（星期和月份）,2023-04-07,7,0.383240780331843,7.486170654319317,8.665015718687457,-0.5186569452115402
全量有效,水生根茎类,对数需求（星期和月份）,2023-05-12,7,0.3187671688972498,3.8688315907389357,5.274674050936006,-0.5311523386385121
全量有效,水生根茎类,对数需求（星期和月份）,2023-06-16,7,0.40217370106803696,8.835813665850639,12.8540216879177,-0.5124357078215834
