口径,品类,模型,回测绝对百分比误差加权,回测平均绝对误差,回测均方根误差,回测次数,是否入选
全量有效,花叶类,对数需求（星期和月份）,0.32642793799158465,76.64073316557348,109.6248476238077,8,是
全量有效,花叶类,对数需求（星期、月份和趋势）,0.3710638857048453,87.12063197366108,120.973346154345,8,否
全量有效,花菜类,对数需求（星期和月份）,0.26067823683372804,9.760896414592809,13.292869014847497,8,是
全量有效,花菜类,对数需求（星期、月份和趋势）,0.2760747157829897,10.337405746551575,14.330038860120265,8,否
全量有效,水生根茎类,对数需求（星期和月份）,0.4238827007508161,18.858700312416588,26.08684300134197,8,是
全量有效,水生根茎类,对数需求（星期、月份和趋势）,0.4358629993828331,19.39170829116701,26.342821095164073,8,否
全量有效,茄类,对数需求（星期和月份）,0.5111104576866065,8.516259350561116,10.068741932019183,8,否
全量有效,茄类,对数需求（星期、月份和趋势）,0.3623046500748543,6.036817125435634,8.266748919498447,8,是
全量有效,辣椒类,对数需求（星期和月份）,0.31084398168256505,42.11326475563245,57.260726292189226,8,是
全量有效,辣椒类,对数需求（星期、月份和趋势）,0.3036890784637003,41.143915656685806,56.113486788830514,8,否
全量有效,食用菌,对数需求（星期和月份）,0.36966208227468345,39.49864433317719,51.18645900800005,8,是
全量有效,食用菌,对数需求（星期、月份和趋势）,0.4311477666688407,46.06843143312158,58.948904604259376,8,否
