品类,变量,样本数,百分之一分位,百分之九十九分位,区间外记录数,区间外数量占比,区间外销售额占比,处理
花叶类,销售单价,331789,1.0,19.8,1886,0.0026788945810222375,0.013507108502424496,仅做影响审计，未删除原始记录
花叶类,批发价,331789,0.57,13.09,6205,0.0216086059551337,0.02783813773430344,仅做影响审计，未删除原始记录
花叶类,销售量,331789,0.15,1.731,6513,0.040384310136850045,0.02089570774531852,仅做影响审计，未删除原始记录
花菜类,销售单价,86524,3.0,14.0,1637,0.019096105729398846,0.01871144691050043,仅做影响审计，未删除原始记录
花菜类,批发价,86524,1.68,10.3,1669,0.01841974413981678,0.019335340930118065,仅做影响审计，未删除原始记录
花菜类,销售量,86524,0.215,1.135,1675,0.03170158098713951,0.032039431251460096,仅做影响审计，未删除原始记录
水生根茎类,销售单价,58613,4.0,31.6,872,0.053232832158904834,0.023744254877809765,仅做影响审计，未删除原始记录
水生根茎类,批发价,58613,2.6,21.0,1125,0.05689764307880466,0.030324121617089545,仅做影响审计，未删除原始记录
水生根茎类,销售量,58613,0.167,2.4095199999999894,1171,0.06567963023232723,0.030560488066873476,仅做影响审计，未删除原始记录
茄类,销售单价,44881,2.0,18.0,324,0.00564452046618236,0.012968009304486057,仅做影响审计，未删除原始记录
茄类,批发价,44881,1.2780000000000002,12.15,885,0.020017583901056756,0.020362917569299484,仅做影响审计，未删除原始记录
茄类,销售量,44881,0.183,1.286,896,0.034885876863944974,0.033445414900583545,仅做影响审计，未删除原始记录
辣椒类,销售单价,207894,2.3,49.6,3764,0.020181316380517927,0.02582201851647888,仅做影响审计，未删除原始记录
辣椒类,批发价,207894,0.9,33.39,4049,0.023451419864051234,0.030245284441437977,仅做影响审计，未删除原始记录
辣椒类,销售量,207894,0.04,1.0,3658,0.02391876612033602,0.02544825864728693,仅做影响审计，未删除原始记录
食用菌,销售单价,148341,2.0,25.8,2468,0.0204578049366699,0.015122823442920876,仅做影响审计，未删除原始记录
食用菌,批发价,148341,1.45,16.0,2707,0.020868960727358263,0.019857935670601977,仅做影响审计，未删除原始记录
食用菌,销售量,148341,0.075,1.0,1846,0.011073859011156532,0.012558333462154521,仅做影响审计，未删除原始记录
