检查项,实际值,是否通过,说明,匹配率,检查类别,品类,指标,原始流水汇总,面板汇总,差值
附件一行数,251.0,是,单品信息行数,,,,,,,
附件二行数,878503.0,是,销售流水行数,,,,,,,
附件三行数,55982.0,是,日期—单品批发价行数,,,,,,,
附件四品类覆盖数,6.0,是,六个题目品类,,,,,,,
附件一单品编码唯一,251.0,是,不重复,,,,,,,
附件三日期—单品唯一,55982.0,是,不重复,,,,,,,
销售流水品类匹配,878503.0,是,附件二连接附件一,1.0,,,,,,
销售流水批发价匹配,878503.0,是,附件二连接附件三,1.0,,,,,,
销售量符号核对,0.0,是,销售为正、退货为负,,,,,,,
完整重复流水,0.0,是,完整行重复,,,,,,,
忽略扫码时间候选重复额外行,397720.0,是,扫码时间不同的交易不删除，仅记录,,,,,,,
损耗率合法范围,0.0,是,零损耗率为合法边界,,,,,,,
整天无流水日期,10.0,是,不填成零需求,,,,,,,
,,是,,,各品类守恒,花叶类,净销售量,198520.978,198520.978,0.0
,,是,,,各品类守恒,花叶类,净销售额,1079069.8016,1079069.8016,0.0
,,是,,,各品类守恒,花叶类,净销售成本额,648841.68862,648841.68862,0.0
,,是,,,各品类守恒,花叶类,正销售量,198659.553,198659.55299999999,-2.9103830456733704e-11
,,是,,,各品类守恒,花叶类,正销售额,1079834.829,1079834.829,0.0
,,是,,,各品类守恒,花叶类,正销售成本额,649284.91798,649284.91798,0.0
,,是,,,各品类守恒,花菜类,净销售量,41766.451,41766.451,0.0
,,是,,,各品类守恒,花菜类,净销售额,375751.705,375751.70499999996,-5.820766091346741e-11
,,是,,,各品类守恒,花菜类,净销售成本额,244849.03745,244849.03745,0.0
,,是,,,各品类守恒,花菜类,正销售量,41789.777,41789.777,0.0
,,是,,,各品类守恒,花菜类,正销售额,375980.8439,375980.8439,0.0
,,是,,,各品类守恒,花菜类,正销售成本额,245004.53577000002,245004.53577000002,0.0
,,是,,,各品类守恒,水生根茎类,净销售量,40581.352999999996,40581.353,7.275957614183426e-12
,,是,,,各品类守恒,水生根茎类,净销售额,350089.9007,350089.9007,0.0
,,是,,,各品类守恒,水生根茎类,净销售成本额,242231.87187,242231.87187,0.0
,,是,,,各品类守恒,水生根茎类,正销售量,40607.551999999996,40607.551999999996,0.0
,,是,,,各品类守恒,水生根茎类,正销售额,350306.06110000005,350306.06110000005,0.0
,,是,,,各品类守恒,水生根茎类,正销售成本额,242381.85072999998,242381.85073,2.9103830456733704e-11
,,是,,,各品类守恒,茄类,净销售量,22431.782,22431.782000000003,3.637978807091713e-12
,,是,,,各品类守恒,茄类,净销售额,191124.2586,191124.2586,0.0
,,是,,,各品类守恒,茄类,净销售成本额,121744.88024,121744.88024,0.0
,,是,,,各品类守恒,茄类,正销售量,22442.119,22442.119,0.0
,,是,,,各品类守恒,茄类,正销售额,191226.9834,191226.98340000003,2.9103830456733704e-11
,,是,,,各品类守恒,茄类,正销售成本额,121809.8033,121809.8033,0.0
,,是,,,各品类守恒,辣椒类,净销售量,91588.62899999999,91588.629,1.4551915228366852e-11
,,是,,,各品类守恒,辣椒类,净销售额,754133.0167,754133.0167,0.0
,,是,,,各品类守恒,辣椒类,净销售成本额,474608.41221999994,474608.41222,5.820766091346741e-11
,,是,,,各品类守恒,辣椒类,正销售量,91645.112,91645.112,0.0
,,是,,,各品类守恒,辣椒类,正销售额,754564.4229,754564.4228999999,-1.1641532182693481e-10
,,是,,,各品类守恒,辣椒类,正销售成本额,474862.24975,474862.24975,0.0
,,是,,,各品类守恒,食用菌,净销售量,76086.725,76086.725,0.0
,,是,,,各品类守恒,食用菌,净销售额,619597.7941999999,619597.7942,1.1641532182693481e-10
,,是,,,各品类守恒,食用菌,净销售成本额,393838.30484,393838.30484,0.0
,,是,,,各品类守恒,食用菌,正销售量,76131.72600000001,76131.726,-1.4551915228366852e-11
,,是,,,各品类守恒,食用菌,正销售额,620110.2019999999,620110.2019999999,0.0
,,是,,,各品类守恒,食用菌,正销售成本额,394106.94674000004,394106.94674,-5.820766091346741e-11
