销售日期,单品编码,品类,正常销售量,正常售价中位数,正常销售额,正常销售成本额,最后销售时间,正常销量加权售价,当日批发价,单品加成率,折扣销售量,是否有折扣,折扣占比
2020-07-01,102900005118824,水生根茎类,4.119,10.0,41.19,23.27235,2026-08-27 19:39:26.460,10.0,5.65,0.7699115044247786,0.0,否,0.0
2020-07-01,102900051000944,水生根茎类,0.7310000000000001,39.8,29.093799999999998,21.513330000000003,2026-08-27 17:21:15.217,39.79999999999999,29.43,0.3523615358477741,0.0,否,0.0
2020-07-01,102900005115762,花叶类,6.841,6.0,41.046,26.54308,2026-08-27 16:27:36.983,6.0,3.88,0.5463917525773196,0.0,否,0.0
2020-07-01,102900005115779,花叶类,41.966,8.0,335.728,282.01152,2026-08-27 20:23:11.983,8.0,6.720000000000001,0.19047619047619047,0.0,否,0.0
2020-07-01,102900005115786,花叶类,11.352,6.0,68.11200000000001,36.21288,2026-08-27 18:49:32.936,6.000000000000001,3.19,0.8808777429467087,0.0,否,0.0
2020-07-01,102900005115793,花叶类,4.288,16.0,68.608,39.621120000000005,2026-08-27 19:20:25.670,16.0,9.24,0.7316017316017316,0.0,否,0.0
2020-07-01,102900005115823,花叶类,11.475999999999999,10.0,114.76,80.67628,2026-08-27 19:41:33.514,10.000000000000002,7.030000000000001,0.42247510668563293,0.0,否,0.0
2020-07-01,102900005115908,花叶类,8.959,8.0,71.672,41.2114,2026-08-27 19:37:53.075,8.0,4.6,0.7391304347826089,0.0,否,0.0
2020-07-01,102900005115946,花叶类,3.039,7.0,21.273,12.7638,2026-08-27 19:13:54.254,7.0,4.2,0.6666666666666665,0.0,否,0.0
2020-07-01,102900005115960,花叶类,14.748,3.2,47.1936,30.9708,2026-08-27 21:23:24.264,3.2,2.1,0.5238095238095237,0.0,否,0.0
2020-07-01,102900005115984,花叶类,32.579,6.0,195.47400000000002,112.07176,2026-08-27 19:55:02.319,6.0,3.44,0.7441860465116279,0.0,否,0.0
2020-07-01,102900005116790,花叶类,4.837,8.0,38.696,19.20289,2026-08-27 21:11:44.203,8.0,3.97,1.0151133501259446,0.0,否,0.0
2020-07-01,102900005118817,花叶类,5.4719999999999995,14.0,76.608,46.347840000000005,2026-08-27 20:08:25.869,14.000000000000002,8.470000000000002,0.6528925619834709,0.0,否,0.0
2020-07-01,102900005118831,花叶类,9.0,6.9,62.1,37.17,2026-08-27 20:54:09.551,6.9,4.13,0.6707021791767556,1.0,是,0.1
2020-07-01,102900005119975,花叶类,9.717,6.0,58.302,34.9812,2026-08-27 16:51:47.951,6.0,3.6,0.6666666666666665,12.685,是,0.5662440853495223
2020-07-01,102900011006948,花叶类,2.623,16.0,41.968,30.662869999999998,2026-08-27 19:41:56.842,16.0,11.689999999999998,0.3686911890504707,0.0,否,0.0
2020-07-01,102900011008522,花叶类,18.271,8.0,146.168,81.12324000000001,2026-08-27 20:30:27.826,8.0,4.44,0.8018018018018016,0.0,否,0.0
2020-07-01,102900051010455,花叶类,6.5489999999999995,9.0,58.940999999999995,30.321869999999997,2026-08-27 18:48:52.546,9.0,4.63,0.9438444924406049,0.0,否,0.0
2020-07-01,102900005116714,花菜类,34.99,14.0,489.86,322.9577,2026-08-27 20:54:35.317,14.0,9.229999999999999,0.5167930660888409,0.0,否,0.0
2020-07-01,102900011009970,花菜类,12.086,9.0,108.774,72.87858,2026-08-27 19:15:33.592,9.0,6.03,0.4925373134328357,0.0,否,0.0
2020-07-01,102900005116257,茄类,17.661,6.0,105.966,115.85615999999999,2026-08-27 20:48:03.748,5.999999999999999,6.559999999999999,-0.08536585365853655,0.0,否,0.0
2020-07-01,102900005116509,茄类,17.713,4.0,70.852,28.872189999999996,2026-08-27 21:56:27.233,4.0,1.6299999999999997,1.4539877300613502,0.0,否,0.0
2020-07-01,102900005116226,辣椒类,2.844,8.0,22.752,13.196159999999999,2026-08-27 20:17:48.608,8.0,4.64,0.7241379310344829,0.0,否,0.0
2020-07-01,102900005116233,辣椒类,2.512,10.0,25.12,14.46912,2026-08-27 20:25:46.502,10.0,5.76,0.7361111111111112,0.0,否,0.0
2020-07-01,102900005116943,辣椒类,2.129,18.0,38.322,16.67007,2026-08-27 20:04:52.183,18.0,7.829999999999999,1.298850574712644,0.0,否,0.0
2020-07-01,102900005117056,辣椒类,54.548,7.6,414.5648,235.64736000000002,2026-08-27 21:45:47.498,7.6,4.32,0.7592592592592591,0.0,否,0.0
2020-07-01,102900005117209,辣椒类,1.909,16.0,30.544,14.47022,2026-08-27 20:03:40.096,16.0,7.579999999999999,1.1108179419525066,0.0,否,0.0
