销售日期,品类,折扣销售量,折扣销售额,折扣交易条数,折扣单品数,折扣同日正常价匹配条数,折扣价比中位数,折扣价比加权,折扣晚于19点占比,折扣同日正常价匹配率
2020-07-01,花叶类,13.685,57.14,32,2,32,0.6666666666666666,0.6666666666666666,0.5,1.0
2020-07-01,食用菌,0.195,3.12,1,1,1,0.8888888888888888,0.8888888888888888,0.0,1.0
2020-07-02,花叶类,19.362000000000002,91.9771,34,5,34,0.6666666666666666,0.6666666666666666,0.7058823529411765,1.0
2020-07-03,水生根茎类,5.162,32.593,15,1,15,0.6,0.6,1.0,1.0
2020-07-03,花叶类,6.832,33.2039,13,4,13,0.6666666666666666,0.6666666666666666,0.8461538461538461,1.0
2020-07-04,花叶类,2.0140000000000002,13.0872,3,3,3,0.9333333333333332,0.9333333333333332,0.0,1.0
2020-07-04,辣椒类,0.444,5.860799999999999,1,1,1,0.9428571428571428,0.9428571428571428,0.0,1.0
2020-07-04,食用菌,0.438,7.7964,3,1,3,0.898989898989899,0.898989898989899,1.0,1.0
2020-07-05,花叶类,4.253,29.0373,6,4,6,0.9615942028985507,0.9615942028985507,0.3333333333333333,1.0
2020-07-05,茄类,0.874,7.908099999999999,2,2,2,0.9732142857142857,0.9732142857142857,0.0,1.0
2020-07-05,辣椒类,0.465,6.324,1,1,1,0.9714285714285714,0.9714285714285714,0.0,1.0
2020-07-06,水生根茎类,0.381,3.6957,1,1,1,0.97,0.97,0.0,1.0
2020-07-06,花叶类,12.301,76.9308,15,3,15,0.75,0.75,0.9333333333333333,1.0
2020-07-06,花菜类,0.444,5.860799999999999,1,1,1,0.9428571428571428,0.9428571428571428,1.0,1.0
2020-07-06,食用菌,1.0,3.4,1,1,1,0.9714285714285714,0.9714285714285714,0.0,1.0
2020-07-07,花叶类,15.177,70.031,24,3,24,0.6666666666666666,0.6666666666666666,0.5416666666666666,1.0
2020-07-07,食用菌,1.441,7.2013,2,2,2,0.9078571428571429,0.9078571428571429,1.0,1.0
2020-07-08,花叶类,15.216,80.68,26,2,26,0.8333333333333334,0.8333333333333334,0.15384615384615385,1.0
2020-07-08,茄类,0.576,3.8592,1,1,1,0.8375,0.8375,0.0,1.0
2020-07-08,辣椒类,2.6470000000000002,26.47,8,1,8,0.7142857142857143,0.7142857142857143,1.0,1.0
2020-07-09,花叶类,0.288,0.08639999999999999,1,1,1,0.0375,0.0375,0.0,1.0
2020-07-10,水生根茎类,0.244,3.6843999999999997,1,1,1,0.94375,0.94375,0.0,1.0
2020-07-10,花叶类,24.869,138.872,49,14,49,0.9,0.9,0.6326530612244898,1.0
2020-07-10,花菜类,5.177,46.020799999999994,10,2,10,0.91875,0.91875,0.4,1.0
2020-07-10,茄类,3.698,26.6667,6,3,6,0.90625,0.90625,0.5,1.0
2020-07-10,辣椒类,2.27,27.613500000000002,11,6,11,0.9,0.9,0.36363636363636365,1.0
2020-07-10,食用菌,4.399,64.1161,21,5,21,0.8080808080808081,0.8080808080808081,0.5714285714285714,1.0
2020-07-11,水生根茎类,1.522,22.4113,4,1,4,0.915625,0.915625,0.0,1.0
2020-07-11,花叶类,32.209,215.8917,71,14,71,0.9,0.9,0.09859154929577464,1.0
2020-07-11,花菜类,7.188,64.8317,14,2,14,0.9,0.9,0.0,1.0
2020-07-11,茄类,7.954,46.0584,13,2,13,0.925,0.925,0.07692307692307693,1.0
2020-07-11,辣椒类,8.483,94.8948,33,7,33,0.9,0.9,0.12121212121212122,1.0
2020-07-11,食用菌,3.681,46.5112,16,4,16,0.913320707070707,0.913320707070707,0.0,1.0
2020-07-12,水生根茎类,1.369,23.4226,4,2,4,0.896875,0.896875,0.0,1.0
2020-07-12,花叶类,28.834,173.4152,67,12,67,0.9125,0.9125,0.08955223880597014,1.0
2020-07-12,花菜类,7.611,69.7035,17,2,17,0.9142857142857144,0.9142857142857144,0.0,1.0
2020-07-12,茄类,8.576,54.2335,17,3,17,0.9,0.9,0.058823529411764705,1.0
2020-07-12,辣椒类,6.286,69.0841,26,9,26,0.9224806201550387,0.9224806201550387,0.11538461538461539,1.0
2020-07-12,食用菌,5.186,56.6975,14,4,14,0.9045454545454545,0.9045454545454545,0.0,1.0
2020-07-13,水生根茎类,1.263,12.9494,3,2,3,0.85,0.85,0.0,1.0
