销售日期,品类,固定篮子覆盖率,权重收缩系数,权重历史样本数,权重窗口天数
2020-07-01,水生根茎类,0.0,0.0,0,180
2020-07-02,水生根茎类,1.0,0.047619047619047616,2,180
2020-07-03,水生根茎类,0.8953439153439153,0.047619047619047616,2,180
2020-07-04,水生根茎类,1.0,0.047619047619047616,2,180
2020-07-05,水生根茎类,0.8279185450023318,0.047619047619047616,2,180
2020-07-06,水生根茎类,0.8575778368642252,0.047619047619047616,2,180
2020-07-07,水生根茎类,0.8723968339352954,0.047619047619047616,2,180
2020-07-08,水生根茎类,0.886044676251587,0.047619047619047616,2,180
2020-07-09,水生根茎类,0.7091677568682702,0.06976744186046512,3,180
2020-07-10,水生根茎类,0.9206527452573232,0.06976744186046512,3,180
2020-07-11,水生根茎类,0.9344129554655871,0.06976744186046512,3,180
2020-07-12,水生根茎类,1.0,0.06976744186046512,3,180
2020-07-13,水生根茎类,0.9181784733818242,0.06976744186046512,3,180
2020-07-14,水生根茎类,0.9286243333991705,0.06976744186046512,3,180
2020-07-15,水生根茎类,0.9355335042925632,0.06976744186046512,3,180
2020-07-16,水生根茎类,0.941775338603293,0.06976744186046512,3,180
2020-07-17,水生根茎类,0.9471905596960397,0.06976744186046512,3,180
2020-07-18,水生根茎类,0.9519028407436676,0.06976744186046512,3,180
2020-07-19,水生根茎类,0.9546356810532179,0.06976744186046512,3,180
2020-07-20,水生根茎类,0.9573790551448095,0.06976744186046512,3,180
2020-07-21,水生根茎类,1.0000000000000002,0.06976744186046512,3,180
2020-07-22,水生根茎类,1.0,0.06976744186046512,3,180
2020-07-23,水生根茎类,0.9457642016037758,0.06976744186046512,3,180
2020-07-24,水生根茎类,0.9167018080913781,0.09090909090909091,4,180
2020-07-25,水生根茎类,0.8708042784540835,0.09090909090909091,4,180
2020-07-26,水生根茎类,0.9240193750593597,0.09090909090909091,4,180
2020-07-27,水生根茎类,0.927801417799658,0.09090909090909091,4,180
2020-07-28,水生根茎类,0.8734787667981534,0.09090909090909091,4,180
2020-07-29,水生根茎类,0.8802727037824731,0.09090909090909091,4,180
2020-07-30,水生根茎类,0.888290079337114,0.09090909090909091,4,180
2020-07-31,水生根茎类,0.8916326347036072,0.09090909090909091,4,180
2020-08-01,水生根茎类,0.8985881536902289,0.09090909090909091,4,180
2020-08-02,水生根茎类,0.9493810248444258,0.09090909090909091,4,180
2020-08-03,水生根茎类,0.9563272291537583,0.09090909090909091,4,180
2020-08-04,水生根茎类,0.9581059709464909,0.09090909090909091,4,180
2020-08-05,水生根茎类,0.960796228597191,0.09090909090909091,4,180
2020-08-06,水生根茎类,0.9627539713578039,0.09090909090909091,4,180
2020-08-07,水生根茎类,0.9643407155481166,0.09090909090909091,4,180
