口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,花叶类,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.12857216236068034,21.610133537806664,27.934043047274063,0.5376973127083791,5.548584464907655,10.805066768903332,4.359960752427918,0.8571428571428571,87.10114997153468,1.0,116.16182759622596
正常销售,花叶类,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.09562532669808634,16.072499999999998,19.177517215106715,0.39991146021314966,4.772659460947849,8.036249999999999,4.58449828452052,1.0,93.5715774546837,1.0,122.3619762399862
正常销售,花叶类,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.1526214466934966,25.652285714285707,31.00380375741936,0.6382730152623997,3.7693311580522773,12.826142857142854,9.602428702497702,1.0,133.7175986054998,1.0,166.94612768459777
正常销售,花叶类,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.1526214466934968,25.652285714285743,31.003803757419416,0.6382730152624005,3.769331158052271,12.826142857142871,9.602428702497713,1.0,133.7175986054999,1.0,166.94612768459794
正常销售,花叶类,星期加月份对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.17845962994814496,29.99511218819146,34.186316919546655,0.7463300117863986,2.5353177696951668,14.99755609409573,8.586567490466392,0.8571428571428571,98.43101536284841,1.0,141.72975922950656
正常销售,花叶类,星期加月份及趋势对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.47965915639271406,80.62008316543798,81.98533895334413,2.0059664135135087,9.905322479314291,40.31004158271899,51.48564123416911,0.0,41.846956755177246,0.0,60.092863407119275
正常销售,花叶类,同星期最近4次均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.14897189210082076,22.964017167341524,25.761053739640793,0.6223589410293128,8.623923686142556,11.482008583670762,4.551769834346593,1.0,131.75693520489148,1.0,165.82901538627308
正常销售,花叶类,同星期最近8次中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.24380566238821189,37.582642857142865,40.70356447316904,1.0185453894764736,9.612407689743103,18.791321428571433,4.592824613530041,0.7142857142857143,115.56989333112064,1.0,143.98691471077169
正常销售,花叶类,近7日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.15254436773087424,23.514714285714266,26.833719413667364,0.6372836501044206,7.783880705981682,11.757357142857133,8.831657942904805,1.0,166.15538648886488,1.0,204.6975472956447
正常销售,花叶类,近14日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.1525443677308743,23.514714285714273,26.833719413667364,0.6372836501044208,7.783880705981682,11.757357142857137,8.831657942904808,1.0,166.1553864888649,1.0,204.6975472956448
