口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,花叶类,同星期最近4次均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.23390163792277366,39.00563762711995,49.574085743207895,0.8753714685379537,11.763480641741141,19.502818813559976,11.494710106866568,0.5714285714285714,86.40793285156,0.7142857142857143,130.87076999838146
正常销售,花叶类,同星期最近8次中位数,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.1327028610688016,22.129642857142844,41.11015600059013,0.4966373874275237,12.750199290849826,11.064821428571422,6.432337255422447,0.8571428571428571,97.27314322867106,0.8571428571428571,148.74201633503415
正常销售,花叶类,近7日均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.2113779487121516,35.2495679083373,58.54932169736452,0.7910770827598411,15.44942428083193,17.62478395416865,10.53095381580609,0.8571428571428571,129.4824954148397,0.8571428571428571,169.10314551073884
正常销售,花叶类,近14日均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.2113779487121519,35.24956790833735,58.549321697364576,0.7910770827598422,15.449424280831932,17.624783954168674,10.530953815806106,0.8571428571428571,129.4824954148398,0.8571428571428571,169.10314551073893
正常销售,花叶类,星期加月份对数回归,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.25052078507958336,41.77706085197282,60.10284639453953,0.9375682422831128,14.619835296974125,20.88853042598641,10.42509310889604,0.8571428571428571,113.30995073213022,0.8571428571428571,151.85404311102724
正常销售,花叶类,星期加月份及趋势对数回归,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,否,通过,0.17842445092093692,29.75421437081909,46.29794126636033,0.6677493796657655,13.744170671942014,14.877107185409544,6.4981666249919545,0.8571428571428571,97.40688268596418,0.8571428571428571,131.03762112739795
正常销售,花叶类,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.12857216236068034,21.610133537806664,27.934043047274063,0.5376973127083791,5.548584464907655,10.805066768903332,4.359960752427918,0.8571428571428571,87.10114997153468,1.0,116.16182759622596
正常销售,花叶类,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.09562532669808634,16.072499999999998,19.177517215106715,0.39991146021314966,4.772659460947849,8.036249999999999,4.58449828452052,1.0,93.5715774546837,1.0,122.3619762399862
正常销售,花叶类,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.1526214466934966,25.652285714285707,31.00380375741936,0.6382730152623997,3.7693311580522773,12.826142857142854,9.602428702497702,1.0,133.7175986054998,1.0,166.94612768459777
正常销售,花叶类,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.1526214466934968,25.652285714285743,31.003803757419416,0.6382730152624005,3.769331158052271,12.826142857142871,9.602428702497713,1.0,133.7175986054999,1.0,166.94612768459794
