口径,品类,入选需求模型,入选池化加权绝对百分比误差,最优池化加权绝对百分比误差,简单模型最佳误差,简单模型相对改善,一标准误范围,回测折数,选择理由
正常销售,花叶类,同星期最近4次均值,0.22812358688333587,0.2128141360962446,0.2128141360962446,0.0,0.018157270702330936,22,采用一标准误范围内更简单模型
正常销售,花菜类,同星期最近4次均值,0.31224123431969736,0.31224123431969736,0.31224123431969736,0.0,0.03281378751596463,22,池化回测误差最小且通过无泄漏检查
正常销售,水生根茎类,同星期最近4次均值,0.38316226221950267,0.38316226221950267,0.38316226221950267,0.0,0.028800636633603837,22,池化回测误差最小且通过无泄漏检查
正常销售,茄类,同星期最近4次均值,0.31667588504594735,0.2927384500531287,0.2927384500531287,0.0,0.02511227993295638,21,采用一标准误范围内更简单模型
正常销售,辣椒类,同星期最近4次均值,0.2433819786646531,0.2331265336863629,0.2331265336863629,0.0,0.02586121200067752,22,采用一标准误范围内更简单模型
正常销售,食用菌,同星期最近4次均值,0.27813934551760056,0.2642250221580905,0.2642250221580905,0.0,0.03164597149909747,22,采用一标准误范围内更简单模型
全量净需求,花叶类,同星期最近4次均值,0.20285793564078694,0.19496284271863182,0.19496284271863182,0.0,0.016564984416187707,22,采用一标准误范围内更简单模型
全量净需求,花菜类,同星期最近4次均值,0.30243393572921673,0.30243393572921673,0.30243393572921673,0.0,0.016123756571563633,22,池化回测误差最小且通过无泄漏检查
全量净需求,水生根茎类,同星期最近4次均值,0.3734213754961125,0.3734213754961125,0.3734213754961125,0.0,0.028268339810146575,22,池化回测误差最小且通过无泄漏检查
全量净需求,茄类,同星期最近4次均值,0.3110069704799731,0.29368907436453856,0.29368907436453856,0.0,0.02464950755322833,21,采用一标准误范围内更简单模型
全量净需求,辣椒类,同星期最近4次均值,0.23365278288272218,0.22428136356051503,0.22428136356051503,0.0,0.02208271615000031,22,采用一标准误范围内更简单模型
全量净需求,食用菌,同星期最近4次均值,0.2312531780417334,0.22504040157868377,0.22504040157868377,0.0,0.022538924916952734,22,采用一标准误范围内更简单模型
