品类,价格口径,价格响应模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,价格响应系数,回测误差,泄漏检查,是否伪未来
花叶类,销量加权,半对数加成,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,0.2181886979335178,0.39035235895775106,通过,否
花叶类,销量加权,半对数加成,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,-0.00111351595184375,0.48219364615286325,通过,是
花叶类,销量加权,半对数加成,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,-0.1290688096449971,0.19791558836145817,通过,否
花叶类,销量加权,半对数加成,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,-0.42547979369748384,0.6570717831022659,通过,否
花叶类,销量加权,半对数加成,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,-0.5615048040130846,0.23312953469381348,通过,否
花叶类,销量加权,半对数加成,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,-0.42081256873399114,0.0638199834238848,通过,是
花叶类,销量加权,半对数加成,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,-0.5590670904349151,0.48758766067759124,通过,否
花叶类,销量加权,半对数加成,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,-0.5034841087365745,0.2542834178996219,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,-0.4394473604383343,0.15369475492812326,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,-0.43947014713600585,0.12089271801559745,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,-0.44154778346893314,0.1847425037357729,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,-0.43677312863026,0.3548478052657989,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,-0.40978493672795135,0.15459361844588684,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,-0.3966622013550682,0.17561067400432756,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,-0.40341532367092076,0.264783729802431,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,-0.4144542554819861,0.13728211789561034,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,-0.4205013386178677,0.13188998316558995,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,-0.42436230673256997,0.10971066558312445,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,-0.42763971129233225,0.19764972634982225,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,-0.43818353304185026,0.21040912002012424,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,-0.44566291730855834,0.1735894339745319,通过,否
花叶类,销量加权,半对数加成,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,-0.45137600395496974,0.20729243619569887,通过,否
花叶类,固定篮子,半对数加成,八折主要回测,2021-03-31,2021-04-01,2021-04-07,271,7,0.33394274384333783,0.38375307433344213,通过,否
花叶类,固定篮子,半对数加成,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,0.201359999709246,0.5345317076645285,通过,是
花叶类,固定篮子,半对数加成,八折主要回测,2021-09-30,2021-10-01,2021-10-07,454,7,0.06359686262224283,0.188013105482877,通过,否
花叶类,固定篮子,半对数加成,八折主要回测,2021-12-31,2022-01-01,2022-01-07,546,7,-0.2715846459593217,0.333161865133998,通过,否
花叶类,固定篮子,半对数加成,八折主要回测,2022-03-31,2022-04-01,2022-04-07,635,7,-0.2842843965143004,0.3226350343412605,通过,否
花叶类,固定篮子,半对数加成,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,-0.17750295378455286,0.13432930855570951,通过,是
花叶类,固定篮子,半对数加成,八折主要回测,2022-09-30,2022-10-01,2022-10-07,818,7,-0.3620871341886622,0.3989321389183898,通过,否
花叶类,固定篮子,半对数加成,八折主要回测,2022-12-31,2023-01-01,2023-01-07,904,7,-0.3529391391219812,0.21810938829567778,通过,否
花叶类,固定篮子,半对数加成,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,979,7,-0.3329420622351432,0.1663023747362036,通过,否
花叶类,固定篮子,半对数加成,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,986,7,-0.33592224833667117,0.1298700004540341,通过,否
花叶类,固定篮子,半对数加成,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,993,7,-0.3412286649213576,0.17975399461690572,通过,否
花叶类,固定篮子,半对数加成,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1000,7,-0.339319764587281,0.30191953951182743,通过,否
花叶类,固定篮子,半对数加成,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1007,7,-0.3200214825808301,0.1806434118413891,通过,否
花叶类,固定篮子,半对数加成,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1014,7,-0.3079288499276709,0.17150478453851836,通过,否
