品类,子时期,样本数,价格响应系数,稳健标准误7,方向
花叶类,2020年下半年,184,-0.19149204326443114,0.23416487936030217,负
花叶类,2021年上半年,179,0.1901143072491538,0.321923299487192,非负
花叶类,2021年下半年,184,-0.20202271730721824,0.3014222188742533,负
花叶类,2022年上半年,180,-0.00870959446790646,0.3888301835546307,负
花叶类,2022年下半年,178,-0.33787844937519107,0.2053929790732471,负
花叶类,2023年上半年,180,-0.43601675903176895,0.2293308843382819,负
花菜类,2020年下半年,183,-0.051974355849882026,0.24967402835212274,负
花菜类,2021年上半年,179,0.1900616473677934,0.33473833741341147,非负
花菜类,2021年下半年,183,-0.40816895047535867,0.3227983939645718,负
花菜类,2022年上半年,179,-0.4722510488886173,0.2120666097208222,负
花菜类,2022年下半年,178,0.05022885207072124,0.07282720670015257,非负
花菜类,2023年上半年,180,-0.1531204034811279,0.5074705118681614,负
水生根茎类,2020年下半年,183,0.23507790623779257,0.487775368077314,非负
水生根茎类,2021年上半年,179,0.689893593790319,0.5502299290538069,非负
水生根茎类,2021年下半年,184,0.09309820776065657,0.5959652874859801,非负
水生根茎类,2022年上半年,180,-0.11445090946249159,0.17351497039818917,负
水生根茎类,2022年下半年,178,0.33400989188358,0.41292517520809147,非负
水生根茎类,2023年上半年,180,-0.09927173548674288,0.1442708923342715,负
茄类,2020年下半年,183,-0.21152636935770466,0.1810432250214876,负
茄类,2021年上半年,178,-0.08720387383741714,0.28288423622828207,负
茄类,2021年下半年,184,-0.7054491325779578,0.26261354895951544,负
茄类,2022年上半年,180,0.31905578521936623,0.3353010067671665,非负
茄类,2022年下半年,144,0.12517686421226457,0.3306532188425925,非负
茄类,2023年上半年,180,0.6737305667037128,0.3767828840194011,非负
辣椒类,2020年下半年,183,-0.670263614725015,0.23945154148474315,负
辣椒类,2021年上半年,179,-0.08476660482926515,0.295609417245436,负
辣椒类,2021年下半年,184,-0.5422092239624093,0.28744992081790943,负
辣椒类,2022年上半年,180,-0.12205860049885561,0.19206373692593637,负
辣椒类,2022年下半年,178,-0.1830320030609711,0.13489687091844274,负
辣椒类,2023年上半年,180,-0.06466411709741811,0.18252442190379775,负
食用菌,2020年下半年,184,-0.5970290207634483,0.26706603132952,负
食用菌,2021年上半年,179,-0.9131013881252583,0.48647523225563216,负
食用菌,2021年下半年,184,0.08441298493341304,0.21041466997871144,非负
食用菌,2022年上半年,180,0.39324257113472627,0.3505235988413426,非负
食用菌,2022年下半年,178,-0.7742511304710787,0.2765147757240794,负
食用菌,2023年上半年,180,-0.14853651512110666,0.19890314584369947,负
