品类,价格口径,价格响应模型,样本数,价格响应系数,FWL系数,稳健标准误7,稳健标准误14,稳健概率值,百分之九十区间下限,百分之九十区间上限,百分之九十五区间下限,百分之九十五区间上限,百分之七自助法标准差,百分之十四自助法标准差,百分之七自助法负向比例,百分之十四自助法负向比例,加成有效四分位距,售价有效四分位距
花叶类,销量加权,半对数加成,1085,-0.4473859783021487,-0.44738597830213345,0.16961760550444668,0.16032997068639926,0.008349125632847969,-0.7069842604140063,-0.18778769619029112,-0.7566945697545748,-0.13807738684972265,0.15781050584307452,0.16186174111704638,1.0,1.0,0.161697331992805,2.056992056947724
花叶类,销量加权,对数加成,1085,-0.8457956456937327,-0.8457956456937039,0.28652968867428247,0.27833594053462885,0.0031586568263939382,-1.3379623059096348,-0.3536289854778305,-1.432206985525446,-0.25938430586201944,0.29918945909781286,0.3103392346594873,1.0,0.9916666666666667,0.161697331992805,2.056992056947724
花叶类,销量加权,半对数售价偏离,1085,-0.14032297724088877,-0.14032297724088855,0.04608051575640792,0.046329687164915576,0.0023254927499701487,-0.21760912785174458,-0.06303682663003297,-0.23240860350063186,-0.04823735098114569,0.04698246237741994,0.04505517182931233,1.0,1.0,0.161697331992805,2.056992056947724
花叶类,销量加权,对数售价比,1085,-0.8457956456937238,-0.8457956456937037,0.2865296886742807,0.2783359405346306,0.003158656826394074,-1.3536450819624868,-0.3379462094249609,-1.4508928463543773,-0.24069844503307014,0.308723061561558,0.29733907702360307,1.0,0.9833333333333333,0.161697331992805,2.056992056947724
花叶类,固定篮子,半对数加成,1084,-0.35520615623918783,-0.35520615623914137,0.11306909179034949,0.11803538905466211,0.0016808681711377275,-0.5598397647069956,-0.15057254777138004,-0.5990249237752993,-0.1113873887030764,0.12439733037556705,0.13160370351154038,0.9916666666666667,1.0,0.15788813624326714,2.063091325497629
花叶类,固定篮子,对数加成,1084,-0.7004045477320178,-0.7004045477319236,0.22158350807163493,0.2325456906956501,0.001572794711783929,-1.0580178158799476,-0.34279127958408806,-1.1264969523338064,-0.27431214313022917,0.2173940839805044,0.23742449945572508,1.0,0.9916666666666667,0.15788813624326714,2.063091325497629
花叶类,固定篮子,半对数售价偏离,1084,-0.09120300636158625,-0.0912030063615756,0.03895994409990865,0.039597566306166884,0.01923510624071698,-0.1577476908873532,-0.024658321835819313,-0.17049029005186173,-0.01191572267131076,0.04045269576034464,0.04470403022818041,0.9916666666666667,0.9666666666666667,0.15788813624326714,2.063091325497629
花叶类,固定篮子,对数售价比,1084,-0.700404547732019,-0.700404547731924,0.22158350807163463,0.2325456906956507,0.0015727947117838753,-1.110653238603732,-0.2901558568603061,-1.1892114985578897,-0.21159759690614832,0.24939130144177074,0.2251020823198316,1.0,1.0,0.15788813624326714,2.063091325497629
花菜类,销量加权,半对数加成,1083,7.767007963020323,-0.24545859919373178,0.0,0.0,1.0,3.6550188767387386,11.878997049301907,2.8676167112805633,12.666399214760082,2.4996894141529387,7.4607454275772565,0.7333333333333333,0.725,0.19659786849581773,2.94960265444033
花菜类,销量加权,对数加成,1083,3.9939833790691264,-0.4799487149145123,0.0,0.0,1.0,-17.75116462411981,25.73913138225806,-21.91512913536875,29.903095893507007,13.218934956345857,4.5100399394888715,0.725,0.7083333333333334,0.19659786849581773,2.94960265444033
花菜类,销量加权,半对数售价偏离,1083,0.4654912727134385,0.012817798538989832,0.0,0.0,1.0,-1.5164003574475418,2.4473829028744185,-1.895911520669857,2.826894066096734,1.2047973435629058,0.8799448895549877,0.6416666666666667,0.625,0.19659786849581773,2.94960265444033
花菜类,销量加权,对数售价比,1083,4.000509713051211,-0.7388265707648551,0.0,0.0,1.0,-12.399781059722688,20.400800485825112,-15.540262271530455,23.54128169763288,9.969781624786565,23.663594721476215,0.75,0.7416666666666667,0.19659786849581773,2.94960265444033
花菜类,固定篮子,半对数加成,1082,-0.12110662519295125,-0.12110662519295981,0.029447574603299654,0.029794722913007457,3.911974118331982e-05,-3.943373850898237,3.7011606005123343,-4.675297362203504,4.433084111817602,2.3235667025564046,3.1226441682436428,0.7583333333333333,0.7916666666666666,0.19390258282187445,3.3694047487196457
花菜类,固定篮子,对数加成,1082,2.627583217205135,-0.8278070120441502,0.0,6.912527280282441,1.0,-5.76790383866263,11.0230702730729,-7.375550296169221,12.630716730579492,5.103639547639978,19.674573876972865,0.7583333333333333,0.775,0.19390258282187445,3.3694047487196457
花菜类,固定篮子,半对数售价偏离,1082,0.5139930800619217,-0.057402767756245865,393423252.0880423,0.0,0.9999999989575931,-0.07525126229321522,1.1032374224170587,-0.18808528529739033,1.2160714454212336,0.35820324763230205,0.8130024204662137,0.7416666666666667,0.8083333333333333,0.19390258282187445,3.3694047487196457
花菜类,固定篮子,对数售价比,1082,2.3244005382968504,-0.8278070120441505,3.9684866331420507,5.602242188986737,0.5580673249677364,-26.973258195792468,31.622059272386167,-32.58344816615,37.2322492427437,17.810126890023902,4.550697814763961,0.7666666666666667,0.775,0.19390258282187445,3.3694047487196457
水生根茎类,销量加权,半对数加成,1085,-1.178622593042289,-1.178622593042338,0.20939044619607006,0.23841348480184194,1.8143928318584894e-08,-1.5729213114687939,-0.7843238746157839,-1.6484253213802522,-0.7088198647043256,0.23969526956018536,0.24675913535108862,1.0,1.0,0.15448462457166645,3.7878539787679157
水生根茎类,销量加权,对数加成,1085,-1.726612786350426,-1.7266127863504963,0.30865542207820473,0.35156233840219253,2.219203408564117e-08,-2.3109108901533135,-1.1423146825475383,-2.4227977610942917,-1.0304278116065602,0.35519641568564586,0.3349657283436995,1.0,1.0,0.15448462457166645,3.7878539787679157
水生根茎类,销量加权,半对数售价偏离,1085,-0.12448382647875655,-0.12448382647876878,0.029919666786467625,0.03242075944208324,3.174097684348826e-05,-0.1762743137483513,-0.0726933392091618,-0.18619164109784817,-0.06277601185966494,0.03148357888729164,0.035733856005823385,1.0,1.0,0.15448462457166645,3.7878539787679157
水生根茎类,销量加权,对数售价比,1085,-1.7266127863504246,-1.7266127863504963,0.3086554220782049,0.3515623384021919,2.2192034085642054e-08,-2.225819850148976,-1.2274057225518729,-2.321412692152954,-1.1318128805478949,0.3034693396951682,0.3949632800237491,1.0,1.0,0.15448462457166645,3.7878539787679157
水生根茎类,固定篮子,半对数加成,1084,-0.7074349563744426,-0.7074349563743706,0.18284133380472828,0.20701617138172343,0.00010922913348801222,-1.034844330789902,-0.3800255819589833,-1.0975397429120113,-0.31733016983687407,0.19903305435590235,0.2430993169476029,1.0,1.0,0.1826932552435599,3.475503032155152
