品类,需求口径,需求模型,价格响应模型,成本预测方法,成本口径,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,实际总量,实际绝对量总和,预测总量,绝对误差总量,端到端加权绝对百分比误差,端到端平均绝对误差,价格响应系数,训练最大日期,泄漏检查
花叶类,正常销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,1167.326,1167.326,1139.644544256727,273.22696200021676,0.2340622602428257,39.032423142888106,0.08397189824603553,2021-03-31,通过
花叶类,净销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,1177.476,1177.476,1139.644544256727,274.88096200021675,0.2334493119182189,39.26870885717382,0.08397189824603553,2021-03-31,通过
花叶类,正常销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,1176.545,1176.545,1056.8851747399026,151.73380388197552,0.12896557622698282,21.676257697425076,-0.05132189248901201,2021-06-30,通过
花叶类,净销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,1177.0840000000003,1177.0840000000003,1056.8851747399026,151.19480388197553,0.12844861019432385,21.599257697425077,-0.05132189248901201,2021-06-30,通过
花叶类,正常销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,1218.1240000000003,1218.1240000000003,1010.6722669989407,342.49299636617707,0.28116431197987807,48.92757090945387,-0.23490717432796618,2021-09-30,通过
花叶类,净销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,1347.4860000000003,1347.4860000000003,1010.6722669989407,401.9784738803499,0.2983173657317032,57.425496268621416,-0.23490717432796618,2021-09-30,通过
花叶类,正常销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,564.048,564.048,739.8644914550025,186.02223288065233,0.32979858607893714,26.574604697236047,-0.4327220522022836,2021-12-31,通过
花叶类,净销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,625.561,625.561,739.8644914550025,146.50923288065235,0.23420455060442122,20.929890411521765,-0.4327220522022836,2021-12-31,通过
花叶类,正常销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,783.666,783.666,718.1599007986438,176.27411135422156,0.22493525475677337,25.18201590774594,-0.5732793540931549,2022-03-31,通过
花叶类,净销售量,同星期最近4次均值,半对数加成,指数加权移动平均,固定篮子成本,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,865.259,865.259,718.1599007986438,210.0539856246485,0.24276428864033603,30.007712232092643,-0.5732793540931549,2022-03-31,通过
