品类,需求口径,端到端池化加权绝对百分比误差,端到端折均加权绝对百分比误差,端到端折中位加权绝对百分比误差,单独需求模型池化误差,端到端相对单独误差变化,是否明显劣化,回测折数
花叶类,正常销售量,0.2378726040766662,0.22865024443124193,0.22600163365934112,0.22812358688333587,0.04273568255927884,否,22
花叶类,净销售量,0.21702449267016247,0.20325063340644486,0.19950810432723015,0.20285793564078694,0.06983486736481992,是,22
花菜类,正常销售量,0.7532378692601321,0.964546247886719,0.287814659190004,0.31224123431969736,1.4123587357104395,是,22
花菜类,净销售量,0.7187817085074717,0.9235084389415875,0.27516388217578086,0.30243393572921673,1.3766569276505751,是,22
水生根茎类,正常销售量,0.4681499803070938,0.515227857977686,0.46137338079012646,0.38316226221950267,0.22180607660914187,是,22
水生根茎类,净销售量,0.491533531720141,0.5273472273866576,0.4702568928681612,0.3734213754961125,0.3162972555256365,是,22
茄类,正常销售量,0.2748039899018734,0.28332867845199877,0.2446764388058964,0.31667588504594735,-0.13222318819129109,否,21
茄类,净销售量,0.2747429658505537,0.28357769410970274,0.2446764388058964,0.3110069704799731,-0.11660190308099416,否,21
辣椒类,正常销售量,0.22863087749576214,0.23280197962701052,0.19542047473332835,0.2433819786646531,-0.06060884725247451,否,22
辣椒类,净销售量,0.2120075796739496,0.21203582153881195,0.204397434687334,0.23365278288272218,-0.09263832829946217,否,22
食用菌,正常销售量,0.3119806054864095,0.34278039670540594,0.24448479419850627,0.27813934551760056,0.1216701646645224,是,22
食用菌,净销售量,0.32172886170955406,0.3287442104724516,0.26699690025173595,0.2312531780417334,0.39124082286770934,是,22
