品类,成本口径,成本预测方法,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,泄漏检查,加权绝对百分比误差,实际绝对量总和,绝对误差总量,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度
花叶类,销量加权成本,近7日均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,通过,0.09854455867929739,30.939777683875377,3.0489467374930728,0.4355638196418675,0.2944346827205866,0.42857142857142855,1.0,1.7767867992810424
花叶类,销量加权成本,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,通过,0.018259212282160736,25.177503290225257,0.45972137731102336,0.06567448247300334,0.07855533571947786,0.8571428571428571,1.0,1.0931504375332022
花叶类,销量加权成本,近7日均值,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.04551139759121124,31.211906762359256,1.4204974982415468,0.2029282140345067,0.2201708836981456,0.5714285714285714,1.0,1.476587396282321
花叶类,销量加权成本,近7日均值,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,2021-12-31,通过,0.06154413996843362,16.10758148949106,0.9913272497421883,0.14161817853459832,0.18173613565139016,1.0,1.0,3.1123911416924908
花叶类,销量加权成本,近7日均值,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,2022-03-31,通过,0.21910850825881784,25.651120691690608,5.620378789923224,0.8029112557033178,0.2237523330472885,0.5714285714285714,1.0,2.4237621865875134
花叶类,销量加权成本,近7日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,通过,0.04803309901092563,20.839020885657966,1.0009627534915562,0.1429946790702223,0.1898156077453026,0.8571428571428571,1.0,2.0667303022674695
花叶类,销量加权成本,近7日均值,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,2022-09-30,通过,0.06019194050647726,15.158399372943464,0.9124134732296352,0.13034478188994789,0.25845557509103617,0.8571428571428571,1.0,1.6341312454562757
花叶类,销量加权成本,近7日均值,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,2022-12-31,通过,0.13874756405488559,18.42299811979359,2.556146111709098,0.3651637302441569,0.3793437819605762,0.14285714285714285,0.8571428571428571,1.8320350441819255
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,2023-03-17,通过,0.08440995498520168,19.40858084058517,1.6382774350804419,0.23403963358292026,0.19036359713544782,0.5714285714285714,1.0,2.2320444232158354
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,2023-03-24,通过,0.14812589754645789,22.783391095802962,3.3748102552177905,0.48211575074539864,0.3207136695321012,0.42857142857142855,1.0,2.2574112606570185
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,2023-03-31,通过,0.11313503881575784,20.984155035620397,2.374043194470794,0.339149027781542,0.2602504314672002,0.5714285714285714,1.0,1.7233678123480975
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-04-07,2023-04-08,2023-04-14,1001,7,2023-04-07,通过,0.07610508076576553,20.650339580932442,1.5715957616473482,0.22451368023533544,0.32183040663736934,1.0,1.0,1.1277597776013293
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,2023-04-14,通过,0.052502541176396064,21.43571604856124,1.1254295644851204,0.16077565206930292,0.27479837638199983,1.0,1.0,1.0813127436198346
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,2023-04-21,通过,0.050128909298582706,20.794553979807745,1.0424083103582644,0.1489154729083235,0.16312787198235554,0.2857142857142857,1.0,1.0400075702956055
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,2023-04-28,通过,0.1884684664070416,25.62383976349305,4.8292857836853065,0.6898979690979009,0.1890532499334007,1.0,0.14285714285714285,0.9979382624723661
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,2023-05-05,通过,0.061062438076107006,24.974414240147325,1.524998623026041,0.2178569461465773,0.26923581957548426,1.0,1.0,1.2473623965755027
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,2023-05-12,通过,0.054200049375681784,23.809553041619907,1.2904789504687133,0.18435413578124477,0.11816181484064099,0.14285714285714285,1.0,1.3279960291618582
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,2023-05-19,通过,0.07759405267834257,22.095104350698342,1.7144486909215635,0.24492124156022335,0.2008738058893059,0.42857142857142855,1.0,1.1898354203938897
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,2023-05-26,通过,0.07877650567307042,23.984521114327002,1.8894167636286583,0.26991668051837975,0.07777528895116943,0.0,1.0,1.1208670214055712
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,2023-06-02,通过,0.026314183777390497,24.621315057552795,0.6478898092654761,0.09255568703792516,0.05910632381045233,0.14285714285714285,1.0,1.107090646906527
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,2023-06-09,通过,0.03642588227209231,24.649768091628783,0.8978895505400475,0.12826993579143536,0.13994239001443018,0.42857142857142855,1.0,1.005929330528291
花叶类,销量加权成本,近7日均值,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,2023-06-16,通过,0.10763391556105133,22.254436005729296,2.3953320858994873,0.34219029798564105,0.149622701800565,0.14285714285714285,0.7142857142857143,0.91889961563699
花叶类,销量加权成本,近14日均值,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,通过,0.08655952035133041,30.939777683875377,2.6781323160930492,0.3825903308704356,0.2944346827205866,0.5714285714285714,1.0,1.7767867992810424
花叶类,销量加权成本,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,通过,0.06321428394196155,25.177503290225257,1.5915778419379705,0.22736826313399577,0.07855533571947786,0.8571428571428571,1.0,1.0931504375332022
花叶类,销量加权成本,近14日均值,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.0846986465706978,31.211906762359256,2.643606259662639,0.3776580370946627,0.2201708836981456,0.5714285714285714,0.8571428571428571,1.476587396282321
花叶类,销量加权成本,近14日均值,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,2021-12-31,通过,0.09133118246524531,16.10758148949106,1.471124464090516,0.21016063772721655,0.18173613565139016,1.0,1.0,3.112391141692489
花叶类,销量加权成本,近14日均值,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,2022-03-31,通过,0.1709274543874188,25.651120691690608,4.384480762015121,0.6263543945735888,0.2237523330472885,0.5714285714285714,1.0,2.4237621865875134
花叶类,销量加权成本,近14日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,通过,0.07583454395442141,20.839020885657966,1.5803176453205348,0.22575966361721925,0.1898156077453026,0.8571428571428571,1.0,2.0667303022674695
