日期,品类,成本口径,成本预测方法,预测批发价
2023-07-01,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-02,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-03,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-04,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-05,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-06,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-07,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679
2023-07-01,花菜类,固定篮子成本,阻尼趋势,7.7584639198680785
2023-07-02,花菜类,固定篮子成本,阻尼趋势,7.779285005305723
2023-07-03,花菜类,固定篮子成本,阻尼趋势,7.794900819383956
2023-07-04,花菜类,固定篮子成本,阻尼趋势,7.806612679942631
2023-07-05,花菜类,固定篮子成本,阻尼趋势,7.815396575361637
2023-07-06,花菜类,固定篮子成本,阻尼趋势,7.821984496925892
2023-07-07,花菜类,固定篮子成本,阻尼趋势,7.826925438099083
2023-07-01,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-02,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-03,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-04,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-05,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-06,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-07,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515
2023-07-01,茄类,固定篮子成本,阻尼趋势,3.8893762602491475
2023-07-02,茄类,固定篮子成本,阻尼趋势,3.8765560043813756
2023-07-03,茄类,固定篮子成本,阻尼趋势,3.866940812480547
2023-07-04,茄类,固定篮子成本,阻尼趋势,3.859729418554925
2023-07-05,茄类,固定篮子成本,阻尼趋势,3.854320873110709
2023-07-06,茄类,固定篮子成本,阻尼趋势,3.8502644640275467
2023-07-07,茄类,固定篮子成本,阻尼趋势,3.8472221572151755
2023-07-01,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-02,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-03,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-04,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-05,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-06,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-07,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867
2023-07-01,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
2023-07-02,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
2023-07-03,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
2023-07-04,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
2023-07-05,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
2023-07-06,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
2023-07-07,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415
