日期,品类,成本口径,成本预测方法,预测批发价,成本P10,成本P50,成本P90
2023-07-01,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.2529406655685533,3.532255503538595,3.8145726678092355
2023-07-02,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.2528740699606002,3.524805039234517,3.8133837143879536
2023-07-03,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.2519104005456247,3.527984277911091,3.821176761968343
2023-07-04,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.260195934620186,3.528694045225504,3.8161985213122915
2023-07-05,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.2650747010587,3.528694045225504,3.8194345121924753
2023-07-06,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.2649916476492553,3.528370733463631,3.813432956134076
2023-07-07,花叶类,固定篮子成本,指数加权移动平均,3.537450748619679,3.2671416427156554,3.5282083606746477,3.8093946823945304
2023-07-01,花菜类,固定篮子成本,阻尼趋势,7.7584639198680785,7.26437068857418,7.7638874301473555,8.287920586004672
2023-07-02,花菜类,固定篮子成本,阻尼趋势,7.779285005305723,7.285191774011825,7.786590420087033,8.31286029622553
2023-07-03,花菜类,固定篮子成本,阻尼趋势,7.794900819383956,7.307729039777453,7.803371836883684,8.330936486017615
2023-07-04,花菜类,固定篮子成本,阻尼趋势,7.806612679942631,7.320401896071467,7.81687141258835,8.34001721395142
2023-07-05,花菜类,固定篮子成本,阻尼趋势,7.815396575361637,7.321294132157087,7.8234978977129765,8.348801109370426
2023-07-06,花菜类,固定篮子成本,阻尼趋势,7.821984496925892,7.335773713054728,7.8301651979165525,8.34759509730315
2023-07-07,花菜类,固定篮子成本,阻尼趋势,7.826925438099083,7.340714654227919,7.835925438099084,8.340765968803929
2023-07-01,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.409942822830326,10.67925268284548,11.011461824933905
2023-07-02,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.40816550179775,10.679353029610171,11.03765466145816
2023-07-03,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.41163625370267,10.67925268284548,11.011461824933905
2023-07-04,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.41561695177064,10.679683969660424,11.03434930773862
2023-07-05,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.393964859664745,10.679222618924811,11.010913920402041
2023-07-06,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.404874629364226,10.679836146601517,11.019163787011525
2023-07-07,水生根茎类,固定篮子成本,滞后稳健回归,10.677336146601515,10.410140302945056,10.679526104244335,11.010537372858442
2023-07-01,茄类,固定篮子成本,阻尼趋势,3.8893762602491475,3.439942937236275,3.9065702730432146,4.506209696484783
2023-07-02,茄类,固定篮子成本,阻尼趋势,3.8765560043813756,3.428302296894359,3.890159384047494,4.505943524206751
2023-07-03,茄类,固定篮子成本,阻尼趋势,3.866940812480547,3.4104142110382374,3.879533570767568,4.529864884312653
2023-07-04,茄类,固定篮子成本,阻尼趋势,3.859729418554925,3.3647588526777166,3.8818256418163233,4.489116938380301
2023-07-05,茄类,固定篮子成本,阻尼趋势,3.854320873110709,3.4048875500978366,3.8721031481811488,4.4438521979077255
2023-07-06,茄类,固定篮子成本,阻尼趋势,3.8502644640275467,3.3706222137106265,3.863013814915984,4.447334198702773
2023-07-07,茄类,固定篮子成本,阻尼趋势,3.8472221572151755,3.3792291929623737,3.8610976882673445,4.437841163689931
2023-07-01,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.8953166206791217,3.4885509893553324,4.240318829729377
2023-07-02,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.8682018155696327,3.4769597403718344,4.218460502330242
2023-07-03,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.8682018155696327,3.5010309499397243,4.223883718505244
2023-07-04,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.8504071655797234,3.498836738241651,4.2105274132640425
2023-07-05,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.865631945434245,3.5032594682849063,4.207039865598492
2023-07-06,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.8660512089311614,3.493755420634043,4.195851601289318
2023-07-07,辣椒类,销量加权成本,指数加权移动平均,3.5187556507590867,2.8664729398010613,3.494408675067811,4.190252972751974
2023-07-01,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.6018159090834465,3.2394222182601853,3.7438903761226046
2023-07-02,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.6608672133094,3.240105754204292,3.771521539034805
2023-07-03,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.6905004952131524,3.2367920954598146,3.771521539034805
2023-07-04,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.6827027084867314,3.2352171400031633,3.782503553423644
2023-07-05,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.633096881449653,3.2394222182601853,3.737841430568075
2023-07-06,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.633096881449653,3.2374064503291233,3.76611410493062
2023-07-07,食用菌,固定篮子成本,滞后稳健回归,3.2366437431494415,2.6437202977868335,3.2367920954598146,3.7600708485801437
