日期,品类,策略,售价,补货量,预计毛利,毛利P10,毛利P50,毛利P90
2023-07-01,水生根茎类,A传统基准,16.89,49.3,-37.05741625703325,-390.9359573739378,19.775790683078867,205.72800771481747
2023-07-01,水生根茎类,B仅优化补货,16.89,19.6,43.92977590424546,-73.48612389879194,74.63616188053382,85.6045389253215
2023-07-01,水生根茎类,C期望利润最大,16.89,19.6,43.92977590424546,-73.48612389879194,74.63616188053382,85.6045389253215
2023-07-01,水生根茎类,D稳健经营,16.89,19.6,43.92977590424546,-73.48612389879194,74.63616188053382,85.6045389253215
2023-07-01,花叶类,A传统基准,5.83,242.6,188.5035865961121,-210.7583985728323,295.2375814735926,414.1276269207218
2023-07-01,花叶类,B仅优化补货,5.83,190.8,217.0132351855555,-27.873197745529865,275.4493723366819,339.6158137187433
2023-07-01,花叶类,C期望利润最大,5.83,190.8,217.0132351855555,-27.873197745529865,275.4493723366819,339.6158137187433
2023-07-01,花叶类,D稳健经营,5.83,190.8,217.0132351855555,-27.873197745529865,275.4493723366819,339.6158137187433
2023-07-01,花菜类,A传统基准,12.24,34.7,10.32996286431971,-148.09581746307194,52.35000246867699,101.09743699597851
2023-07-01,花菜类,B仅优化补货,12.24,20.7,32.488656582037464,-39.48855827700328,49.951420058730776,63.48010370568894
2023-07-01,花菜类,C期望利润最大,12.24,20.7,32.488656582037464,-39.48855827700328,49.951420058730776,63.48010370568894
2023-07-01,花菜类,D稳健经营,12.24,20.7,32.488656582037464,-39.48855827700328,49.951420058730776,63.48010370568894
2023-07-01,茄类,A传统基准,6.26,51.5,33.53953054545212,-92.37977275820666,62.07186804848493,111.78278478916475
2023-07-01,茄类,B仅优化补货,6.26,35.4,45.344091576510245,-27.686396651708492,64.24663810343739,81.44707663538303
2023-07-01,茄类,C期望利润最大,6.26,35.4,45.344091576510245,-27.686396651708492,64.24663810343739,81.44707663538303
2023-07-01,茄类,D稳健经营,6.26,35.4,45.344091576510245,-27.686396651708492,64.24663810343739,81.44707663538303
2023-07-01,辣椒类,A传统基准,6.08,167.3,124.26519723612543,-191.27946438778395,170.4342270624482,354.78018701388163
2023-07-01,辣椒类,B仅优化补货,6.08,121.2,164.2939006085568,-22.97303925243485,198.9095926611174,275.6356641994838
2023-07-01,辣椒类,C期望利润最大,6.08,121.2,164.2939006085568,-22.97303925243485,198.9095926611174,275.6356641994838
2023-07-01,辣椒类,D稳健经营,6.08,121.2,164.2939006085568,-22.97303925243485,198.9095926611174,275.6356641994838
2023-07-01,食用菌,A传统基准,5.28,98.7,26.29116085989443,-143.54272264165286,34.64561161647757,160.380831783151
2023-07-01,食用菌,B仅优化补货,5.28,59.8,58.633448910664264,-29.342580608775155,84.17197852699606,105.47692961061834
2023-07-01,食用菌,C期望利润最大,5.34,59.8,60.785672726232704,-28.520927050798775,87.07312487480962,108.44545036352062
2023-07-01,食用菌,D稳健经营,5.34,59.8,60.785672726232704,-28.520927050798775,87.07312487480962,108.44545036352062
2023-07-02,水生根茎类,A传统基准,16.46,46.0,-46.62060999560461,-371.65360532504013,9.342715309447584,172.9164258803957
