价格系数情景,品类,采用系数中心,七天预计毛利,是否纳入优化
点估计,花叶类,-0.44738597830214855,1051.3604465087537,是
点估计,花菜类,-0.12110662519295128,175.26377235058322,否
点估计,水生根茎类,-0.7074349563744426,238.23892309840582,否
点估计,茄类,-0.11418473568201402,218.28152701679585,否
点估计,辣椒类,-0.01699907673218129,742.8116153256784,否
点估计,食用菌,-0.5879743494335622,278.8504671867829,是
95%区间下限,花叶类,-0.7566945697545748,1060.425157501626,是
95%区间下限,花菜类,-4.675297362203503,142.15629646741155,否
95%区间下限,水生根茎类,-1.0975397429120115,237.48765320358808,否
95%区间下限,茄类,-0.46988846001560947,216.74623878927315,否
95%区间下限,辣椒类,-0.2398637530473306,729.8115656804264,否
95%区间下限,食用菌,-0.9341883312361787,266.4544598673294,是
95%区间上限,花叶类,-0.13807738684972268,1038.9336316278368,否
95%区间上限,花菜类,4.433084111817601,154.1992294969498,否
95%区间上限,水生根茎类,-0.31733016983687407,238.37348564087154,否
95%区间上限,茄类,0.2415189886515813,217.25013671144046,否
95%区间上限,辣椒类,0.20586559958296802,743.9033879304102,否
95%区间上限,食用菌,-0.24176036763094585,292.4321521474157,否
自助法抽样,花叶类,-0.43915296604242465,1050.7073960399132,是
自助法抽样,花菜类,-0.265445053375591,172.05293600994975,否
自助法抽样,水生根茎类,-0.6658012803659671,237.96161823595182,否
自助法抽样,茄类,-0.1140038278886864,218.17751707295818,否
自助法抽样,辣椒类,-0.021374444284682922,740.7573237893722,否
自助法抽样,食用菌,-0.5871320959334355,278.4951905730787,是
