成本情景,品类,七天预计毛利
成本P10,花叶类,1433.3911100038517
成本P10,花菜类,184.70666434784113
成本P10,水生根茎类,401.53750818262404
成本P10,茄类,342.05656998232456
成本P10,辣椒类,1140.8752027524617
成本P10,食用菌,551.1626042181613
成本P50,花叶类,1259.3019992598029
成本P50,花菜类,143.94213020824373
成本P50,水生根茎类,361.6042320912194
成本P50,茄类,257.4140787878402
成本P50,辣椒类,793.0262060788823
成本P50,食用菌,373.29578036528324
成本P90,花叶类,1036.7456085108095
成本P90,花菜类,102.96400577860803
成本P90,水生根茎类,309.1040040662643
成本P90,茄类,154.3233005163423
成本P90,辣椒类,402.5880342657478
成本P90,食用菌,210.363348831287
