折扣残值情景,折扣价相对正常价比值,品类,七天预计毛利,主方案是否采用
零残值,0.0,花叶类,1237.8600850652554,是
零残值,0.0,花菜类,144.8536497403589,是
零残值,0.0,水生根茎类,356.3140235838857,是
零残值,0.0,茄类,251.16817059284136,是
零残值,0.0,辣椒类,784.9625145548181,是
零残值,0.0,食用菌,374.1840079603255,是
历史中位折扣比值有限回收,0.6018518518518519,花叶类,1322.1031191059676,否
历史中位折扣比值有限回收,0.6018518518518519,花菜类,177.8006186886036,否
历史中位折扣比值有限回收,0.6018518518518519,水生根茎类,413.43872111198334,否
历史中位折扣比值有限回收,0.6018518518518519,茄类,285.96193715038476,否
历史中位折扣比值有限回收,0.6018518518518519,辣椒类,844.5558786431527,否
历史中位折扣比值有限回收,0.6018518518518519,食用菌,409.8353950462584,否
乐观回收上界,1.0,花叶类,1377.8331262405927,否
乐观回收上界,1.0,花菜类,199.59630583898095,否
乐观回收上界,1.0,水生根茎类,451.2289056305711,否
乐观回收上界,1.0,茄类,308.9793519499904,否
乐观回收上界,1.0,辣椒类,883.9791810400509,否
乐观回收上界,1.0,食用菌,433.42015881079845,否
