品类,需求口径,价格口径,价格响应模型,价格响应系数,可靠性,说明,敏感性类型,稳健标准误7,样本数,方向
花叶类,正常销量,销量加权,半对数加成,-0.4685226039369859,是,主方案口径,,,,
花叶类,净销量,销量加权,半对数加成,-0.463481949285973,仅作总量敏感性,全量净需求敏感性，不直接替代正常价格响应,,,,
花叶类,正常销量,销量加权,半对数加成,-0.4685226039369859,敏感性,销量加权价格口径,,,,
花菜类,正常销量,固定篮子,半对数加成,-0.1262355054935956,否,主方案口径,,,,
花菜类,净销量,固定篮子,半对数加成,-0.1064558729659654,仅作总量敏感性,全量净需求敏感性，不直接替代正常价格响应,,,,
花菜类,正常销量,销量加权,半对数加成,1.3756618082608996,敏感性,销量加权价格口径,,,,
水生根茎类,正常销量,固定篮子,半对数加成,-0.6846492353141697,否,主方案口径,,,,
水生根茎类,净销量,固定篮子,半对数加成,-0.7474756329965362,仅作总量敏感性,全量净需求敏感性，不直接替代正常价格响应,,,,
水生根茎类,正常销量,销量加权,半对数加成,-1.0685570946039398,敏感性,销量加权价格口径,,,,
茄类,正常销量,固定篮子,半对数加成,-0.1220975563521433,否,主方案口径,,,,
茄类,净销量,固定篮子,半对数加成,-0.1248731500056646,仅作总量敏感性,全量净需求敏感性，不直接替代正常价格响应,,,,
茄类,正常销量,销量加权,半对数加成,-0.0283660994231578,敏感性,销量加权价格口径,,,,
辣椒类,正常销量,固定篮子,半对数加成,-0.0471650294695126,否,主方案口径,,,,
辣椒类,净销量,固定篮子,半对数加成,-0.0435793974006682,仅作总量敏感性,全量净需求敏感性，不直接替代正常价格响应,,,,
辣椒类,正常销量,销量加权,半对数加成,-0.0473465512794936,敏感性,销量加权价格口径,,,,
食用菌,正常销量,销量加权,半对数加成,-0.5636118347510827,否,主方案口径,,,,
食用菌,净销量,销量加权,半对数加成,-0.5629730245661402,仅作总量敏感性,全量净需求敏感性，不直接替代正常价格响应,,,,
食用菌,正常销量,销量加权,半对数加成,-0.5636118347510827,敏感性,销量加权价格口径,,,,
花叶类,,,,-0.009344456071372385,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。,单品固定效应,0.0025393859905682614,17943.0,负
花菜类,,,,-0.004648894792021377,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。,单品固定效应,0.0013781666515304029,1870.0,负
水生根茎类,,,,-0.0007604022981716574,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。,单品固定效应,0.0004169084465485752,3186.0,负
茄类,,,,-0.003197276848416315,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。,单品固定效应,0.000851933619327786,3203.0,负
辣椒类,,,,-0.013445912810827519,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。,单品固定效应,0.0030312385363984937,10588.0,负
食用菌,,,,-0.014847920476254932,仅作稳健性检验,控制单品固定效应、星期、月份、趋势、批发成本和折扣状态；缺失单品—日期不填零。,单品固定效应,0.0023088707407960016,9290.0,负
