经营带,品类,下限,上限,七天数学搜索毛利,边界解天数,是否纳入价格优化,说明
百分之二十五至百分之七十五,花叶类,0.25,0.75,1463.2052699689893,7.0,是,可靠价格关系下的经营带敏感性
百分之二十五至百分之七十五,花菜类,0.25,0.75,,,否,价格关系不可靠，不进行有意义的价格优化
百分之二十五至百分之七十五,水生根茎类,0.25,0.75,,,否,价格关系不可靠，不进行有意义的价格优化
百分之二十五至百分之七十五,茄类,0.25,0.75,,,否,价格关系不可靠，不进行有意义的价格优化
百分之二十五至百分之七十五,辣椒类,0.25,0.75,,,否,价格关系不可靠，不进行有意义的价格优化
百分之二十五至百分之七十五,食用菌,0.25,0.75,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十至百分之七十,花叶类,0.3,0.7,1353.513021420586,7.0,是,可靠价格关系下的经营带敏感性
百分之三十至百分之七十,花菜类,0.3,0.7,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十至百分之七十,水生根茎类,0.3,0.7,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十至百分之七十,茄类,0.3,0.7,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十至百分之七十,辣椒类,0.3,0.7,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十至百分之七十,食用菌,0.3,0.7,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十五至百分之六十五,花叶类,0.35,0.65,1239.2223748727145,7.0,是,可靠价格关系下的经营带敏感性
百分之三十五至百分之六十五,花菜类,0.35,0.65,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十五至百分之六十五,水生根茎类,0.35,0.65,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十五至百分之六十五,茄类,0.35,0.65,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十五至百分之六十五,辣椒类,0.35,0.65,,,否,价格关系不可靠，不进行有意义的价格优化
百分之三十五至百分之六十五,食用菌,0.35,0.65,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十至百分之六十,花叶类,0.4,0.6,1120.771926362567,7.0,是,可靠价格关系下的经营带敏感性
百分之四十至百分之六十,花菜类,0.4,0.6,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十至百分之六十,水生根茎类,0.4,0.6,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十至百分之六十,茄类,0.4,0.6,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十至百分之六十,辣椒类,0.4,0.6,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十至百分之六十,食用菌,0.4,0.6,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十五至百分之五十五,花叶类,0.45,0.55,1004.8507855333243,7.0,是,可靠价格关系下的经营带敏感性
百分之四十五至百分之五十五,花菜类,0.45,0.55,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十五至百分之五十五,水生根茎类,0.45,0.55,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十五至百分之五十五,茄类,0.45,0.55,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十五至百分之五十五,辣椒类,0.45,0.55,,,否,价格关系不可靠，不进行有意义的价格优化
百分之四十五至百分之五十五,食用菌,0.45,0.55,,,否,价格关系不可靠，不进行有意义的价格优化
