日期,品类,需求模型,价格响应模型,价格关系是否可靠,价格响应系数,参考点弹性,预测批发价P10,预测批发价P50,预测批发价P90,附件四品类损耗率,条件参考加成率,未截断参考加成率,执行参考加成率,参考是否受经营带约束,价格经营带下限,价格经营带上限,参考正常售价,数学期望利润最大售价,稳健推荐售价,建议成本加成率,正常需求P10,正常需求P50,正常需求P90,建议补货量,补货量敏感区间,预计正常销售量,预计折扣销售量,预计剩余量,缺货概率,剩余概率,预计毛利,毛利P10,毛利P50,毛利P90,是否边界解,边界方向,历史支持等级,定价依据,补货依据,主要风险提示
2023-07-01,水生根茎类,同星期最近4次均值,半对数加成,否,-0.6846492353141697,-1.0076003641583022,10.409942822830326,10.67925268284548,11.011461824933905,0.1365,0.5814302884943551,0.5814302884943551,0.581855227567778,否,0.35,0.65,16.89,不适用,16.89,0.5747226852550098,13.970908787608982,33.70583670172392,74.24888372434651,26.8,16.3-87.4千克,20.978079819556772,0.0,2.164086000443227,0.7351666666666666,0.2648333333333333,66.87106099998262,-50.76220210253786,102.13563154950089,116.91678069300758,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-01,花叶类,同星期最近4次均值,半对数加成,是,-0.46852260393698597,-0.7906349780858472,3.2529406655685533,3.532255503538595,3.8145726678092355,0.1283,0.7183810435899031,0.7183810435899031,0.6480794827390541,是,0.35,0.65,5.83,5.83,5.83,0.6496803490698473,136.3176489342292,206.31824546642423,323.0860872118902,206.1,156.7-370.5千克,169.1262692137965,0.0,10.486148315203517,0.6958333333333333,0.30416666666666664,257.6450456956316,66.92710776382748,298.71847690368617,367.64956413865275,是,上界,强,可靠价格关系下在历史支持价格带内先最大化期望利润，再在不超过最优利润1%的候选中选取利润下界较稳健的价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。数学最优价触及经营带边界，需结合经营试验复核。
2023-07-01,花菜类,同星期最近4次均值,半对数加成,否,-0.12623550549359563,-0.19245521428650447,7.26437068857418,7.7638874301473555,8.287920586004672,0.1551,0.5771265684724942,0.5771265684724942,0.5776318774461897,否,0.35,0.65,12.24,不适用,12.24,0.5761204266884437,8.607743198256784,17.310753972460347,33.789974333862524,15.5,10.3-40.0千克,12.062425375017265,0.0,1.0311205749827352,0.7508333333333334,0.24916666666666668,27.27257386347316,-13.024282503363537,37.430673530156994,47.64765918586883,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-01,茄类,同星期最近4次均值,半对数加成,否,-0.12209755635214331,-0.1919488255650027,3.439942937236275,3.9065702730432146,4.506209696484783,0.0668,0.613196339485291,0.613196339485291,0.6120836814071449,否,0.35,0.65,6.27,不适用,6.27,0.5892919769157308,22.357611747371617,41.83464696845662,74.59339858186169,37.3,23.8-79.9千克,31.708942661642805,0.0,3.097340971690531,0.6751666666666667,0.3248333333333333,51.66086383739577,-12.333215393461925,67.45409149007958,85.43917779240844,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-01,辣椒类,同星期最近4次均值,半对数加成,否,-0.04716502946951269,-0.07476355886208619,2.8953166206791217,3.4885509893553324,4.240318829729377,0.0924,0.691786404157037,0.691786404157037,0.6483099639921828,是,0.35,0.65,5.8,不适用,5.8,0.6507504076471202,82.61677913672224,133.37238175719025,207.58577343292194,124.5,90.9-228.7千克,104.77716801921258,0.0,8.239355360787428,0.6673333333333333,0.33266666666666667,170.27015413893844,6.625523630209214,197.0330395507068,282.8965987947199,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-01,食用菌,同星期最近4次均值,半对数加成,否,-0.5636118347510827,-0.9098833431248249,2.6018159090834465,3.2394222182601853,3.7438903761226046,0.09449999999999999,0.6321878025521888,0.6321878025521888,0.6313194837014269,否,0.35,0.65,5.28,不适用,5.28,0.6355322629596367,44.521363744796865,74.32986867336876,120.57708110907383,69.4,49.2-133.2千克,57.944412427472145,0.0,4.892040932527857,0.675,0.325,81.90200256263576,-19.40415486201901,101.2723301234167,140.73161334812536,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-02,水生根茎类,同星期最近4次均值,半对数加成,否,-0.6846492353141697,-1.0076003641583022,10.40816550179775,10.679353029610171,11.03765466145816,0.1365,0.5417208727032612,0.5417208727032612,0.5415830104064905,否,0.35,0.65,16.46,不适用,16.46,0.5364880717405891,12.991098670906405,31.78441213070232,68.5263225281111,24.3,15.1-80.5千克,19.116732964064028,0.0,1.869744550935969,0.7535,0.2465,54.341798711483065,-47.01234406146665,83.83755197325803,96.79400939483742,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-02,花叶类,同星期最近4次均值,半对数加成,是,-0.46852260393698597,-0.7906349780858472,3.2528740699606002,3.524805039234517,3.8133837143879536,0.1283,0.7118005441315314,0.7118005441315314,0.6480794827390541,是,0.35,0.65,5.83,5.83,5.83,0.6531977829403439,124.81741393020225,186.29397840509978,292.1064835866421,187.5,143.2-335.8千克,153.91265114097348,0.0,9.524683859026508,0.6941666666666667,0.30583333333333335,236.09223089121957,67.73377472483453,272.3139803345299,332.6262692124919,是,上界,强,可靠价格关系下在历史支持价格带内先最大化期望利润，再在不超过最优利润1%的候选中选取利润下界较稳健的价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。数学最优价触及经营带边界，需结合经营试验复核。
2023-07-02,花菜类,同星期最近4次均值,半对数加成,否,-0.12623550549359563,-0.19245521428650447,7.285191774011825,7.786590420087033,8.31286029622553,0.1551,0.6341030195381885,0.6341030195381885,0.6338262438426374,否,0.35,0.65,12.71,不适用,12.71,0.6320065265927306,7.5270170200334015,14.884805552193514,28.56162298185274,14.1,9.0-33.9千克,10.864888197033782,0.0,1.044119570966217,0.7235,0.2765,28.28250636579489,-14.273104028086877,38.759267643272956,48.591914395914074,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
2023-07-02,茄类,同星期最近4次均值,半对数加成,否,-0.12209755635214331,-0.1919488255650027,3.428302296894359,3.890159384047494,4.505943524206751,0.0668,0.6980983360162527,0.6980983360162527,0.6483703557430538,是,0.35,0.65,6.39,不适用,6.39,0.6249175582266302,22.703167104959853,43.026401728926764,75.43194786318952,38.8,24.3-80.9千克,32.79107145498111,0.0,3.4170885450188946,0.6588333333333334,0.3411666666666667,56.95366716886211,-10.206290541987949,74.67316510949307,93.71784543255927,不适用,不适用,强,价格关系不可识别，未采用精细弹性最优价；采用截止日前条件中位加成作为经营价格。,联合需求、成本和损耗情景下的报童初值，并在0.1千克网格邻域离散复核。,无库存、缺货和剩余记录，历史销量可能低估潜在需求；价格关系是条件关联。
