分类,模型,响应尺度,售价效应类型,售价效应,稳健标准误,稳健p值,稳健95%下限,稳健95%上限,经典p值,模型R²,调整R²,模型AIC,模型BIC,模型整体F检验p值,售价方差膨胀因子,样本数,验证起点,验证样本数,验证MAE,验证RMSE,验证MAPE,FDR校正后q值,售价检验结论
花叶类,线性模型,日总销量,售价系数,-22.015377193610973,3.442203264117917,2.386848045897655e-10,-28.76964043826358,-15.26111394895837,5.7215088138769587e-39,0.35035708722447645,0.3393875070838015,12193.759718416171,12288.557088469688,5.77259322760459e-87,11.836068967529398,1085,2022-11-21,217,48.5449148847831,79.82619599498804,30.247018615732312,5.728435310154372e-10,通过5%校正阈值
花叶类,对数模型,对数销量,售价弹性,-0.7950517001280198,0.12145136449219722,9.151280613460195e-11,-1.0333625796026995,-0.5567408206533401,7.980000916806837e-55,0.4229428989949453,0.41319897046015075,817.418250494904,912.2156205484207,9.68923911063227e-114,15.623000374731083,1085,2022-11-21,217,49.43634852248611,81.0631867169091,30.20095296583374,2.7453841840380587e-10,通过5%校正阈值
花菜类,线性模型,日总销量,售价系数,-3.5126953143224044,0.3779946256733853,8.227022881358352e-20,-4.254394878782424,-2.7709957498623843,9.049033144460139e-40,0.3104822529247896,0.2988174790081036,9487.134086137898,9581.896400830916,1.941497165994215e-73,9.380316517950202,1083,2022-11-21,217,11.467745155869007,18.11507887087062,53.88196913443481,9.872427457630024e-19,通过5%校正阈值
花菜类,对数模型,对数销量,售价弹性,-1.0673360170463393,0.11864722875217151,1.051735759738021e-18,-1.300145141602287,-0.8345268924903916,6.492458988991072e-37,0.27382300829215345,0.26153805918431394,2166.273514297817,2261.035828990836,6.651412277584474e-62,14.70762638518863,1083,2022-11-21,217,11.21934575740242,19.21506909993476,51.38967487721074,6.310414558428127e-18,通过5%校正阈值
水生根茎类,线性模型,日总销量,售价系数,-1.2224924266371588,0.7253217716525292,0.09219475677207545,-2.6457129069286927,0.20072805365437496,0.0002013929229248586,0.3370066907624565,0.3258116817884642,10127.162780477996,10221.960150531513,2.1672069246490957e-82,11.84671510930398,1085,2022-11-21,217,14.735178636018428,27.357757108049142,62.26381936662013,0.11735652769090418,未通过5%校正阈值
水生根茎类,对数模型,对数销量,售价弹性,-0.6155981729215585,0.20177428781529635,0.00233779184137142,-1.0115180391634047,-0.21967830667971233,2.1136462421169734e-09,0.4578302969801842,0.44867546146953063,2335.2983999920098,2430.0957700455265,6.682726466593589e-128,17.78508860604819,1085,2022-11-21,217,17.568639152844423,31.169519638535895,65.29498940255648,0.00400764315663672,通过5%校正阈值
茄类,线性模型,日总销量,售价系数,-0.505693082301399,0.4342845298691391,0.24451996058071562,-1.3578755375910794,0.3464893729882814,0.0034036467158814355,0.3264966061718082,0.3147380600137991,7961.470061834288,8055.644425254168,5.710918501868528e-76,8.06475273217121,1050,2022-11-27,210,7.8060388513135575,10.480164401636921,73.48262668405857,0.24451996058071562,未通过5%校正阈值
茄类,对数模型,对数销量,售价弹性,-0.40295482810509353,0.16500334691621385,0.014769207248277532,-0.7267355470463007,-0.07917410916388634,8.65027277580531e-08,0.4165140135825105,0.4063270613463177,1604.1236369346254,1698.2980003545053,3.0039749000477065e-107,12.762488719361588,1050,2022-11-27,210,7.642003484980222,10.324669408868912,72.68293244100371,0.0221538108724163,通过5%校正阈值
辣椒类,线性模型,日总销量,售价系数,-4.133429960109801,1.226894824643978,0.0007813635853617923,-6.5408330049938606,-1.7260269152257415,1.978217998263976e-23,0.25161169974971187,0.2389747490888252,11339.488033200767,11434.285403254284,2.358772786548469e-55,4.635774055046385,1085,2022-11-21,217,37.512703561913455,61.20508631190277,37.812915816028045,0.0015627271707235847,通过5%校正阈值
辣椒类,对数模型,对数销量,售价弹性,-0.6346499616294873,0.0816290078035786,1.7735619056116698e-14,-0.7948217367400592,-0.4744781865189154,9.60005871528e-66,0.4263660627141628,0.4166799361933887,1125.5653094174177,1220.3626794709344,4.3343573792304e-115,10.191503536583332,1085,2022-11-21,217,34.279891977663944,58.790459256829614,37.27520144932146,7.094247622446679e-14,通过5%校正阈值
食用菌,线性模型,日总销量,售价系数,-1.4185132258116928,0.8560306810245938,0.09779710640908683,-3.0982096648367667,0.2611832132133811,0.014316357419090405,0.30847486820344094,0.2967980836140056,11097.768299805773,11192.56566985929,6.076467676801587e-73,9.10340287187697,1085,2022-11-21,217,31.781931851177163,51.20371898680218,58.40093541138715,0.11735652769090418,未通过5%校正阈值
食用菌,对数模型,对数销量,售价弹性,-0.16834598851778185,0.13764060491018637,0.2215683735721112,-0.4384232638511585,0.10173128681559482,0.004824945614547427,0.3670933484404628,0.3564063693334537,1610.7066536588345,1705.5040237123512,7.604191536945948e-93,14.076268948375006,1085,2022-11-21,217,31.564828298726216,51.46712279812328,54.443219656609934,0.2417109529877577,未通过5%校正阈值
