销售日期,分类,选择模型,实际日销量,拟合日销量,销量尺度残差,模型残差
2020-07-01,花叶类,线性模型,191.717,133.87438686073568,57.84261313926433,57.84261313926433
2020-07-02,花叶类,线性模型,179.0,133.8899177912206,45.1100822087794,45.1100822087794
2020-07-03,花叶类,线性模型,184.947,147.09645827581878,37.85054172418123,37.85054172418123
2020-07-04,花叶类,线性模型,234.573,197.58822107892536,36.98477892107465,36.98477892107465
2020-07-05,花叶类,线性模型,219.646,201.43188537603888,18.21411462396111,18.21411462396111
2020-07-06,花叶类,线性模型,183.439,131.63470903703015,51.804290962969844,51.804290962969844
2020-07-07,花叶类,线性模型,159.875,120.19326008884055,39.681739911159454,39.681739911159454
2020-07-08,花叶类,线性模型,143.354,120.13711776931399,23.216882230686025,23.216882230686025
2020-07-09,花叶类,线性模型,187.151,131.77476303220493,55.37623696779508,55.37623696779508
2020-07-10,花叶类,线性模型,154.964,144.81327512567273,10.150724874327267,10.150724874327267
2020-07-11,花叶类,线性模型,238.911,194.97922063389268,43.93177936610732,43.93177936610732
2020-07-12,花叶类,线性模型,271.355,192.10880483826702,79.246195161733,79.246195161733
2020-07-13,花叶类,线性模型,170.921,136.68544302035434,34.23555697964565,34.23555697964565
2020-07-14,花叶类,线性模型,183.131,136.63361405136104,46.497385948638964,46.497385948638964
2020-07-15,花叶类,线性模型,209.644,148.56901981686931,61.07498018313069,61.07498018313069
2020-07-16,花叶类,线性模型,195.549,137.2214711679474,58.32752883205259,58.32752883205259
2020-07-17,花叶类,线性模型,173.432,157.95734419478634,15.474655805213644,15.474655805213644
2020-07-18,花叶类,线性模型,231.29,201.9755325680511,29.314467431948884,29.314467431948884
2020-07-19,花叶类,线性模型,269.199,193.93620207643167,75.26279792356834,75.26279792356834
2020-07-20,花叶类,线性模型,182.337,148.57047059603207,33.76652940396792,33.76652940396792
2020-07-21,花叶类,线性模型,200.51,131.4364804059071,69.07351959409289,69.07351959409289
2020-07-22,花叶类,线性模型,205.455,139.81021694760148,65.64478305239854,65.64478305239854
2020-07-23,花叶类,线性模型,172.376,130.11316708962224,42.26283291037777,42.26283291037777
2020-07-24,花叶类,线性模型,159.929,142.0100051716404,17.918994828359615,17.918994828359615
2020-07-25,花叶类,线性模型,204.513,190.76262259378728,13.75037740621272,13.75037740621272
2020-07-26,花叶类,线性模型,215.73,171.44951679206085,44.28048320793914,44.28048320793914
2020-07-27,花叶类,线性模型,179.605,128.31858240337738,51.28641759662261,51.28641759662261
2020-07-28,花叶类,线性模型,142.605,113.04465508058284,29.560344919417147,29.560344919417147
2020-07-29,花叶类,线性模型,175.106,124.25278418075152,50.853215819248476,50.853215819248476
2020-07-30,花叶类,线性模型,175.812,118.64205520389989,57.169944796100125,57.169944796100125
