销售日期,分类,实际日销量,主模型拟合日销量,主模型销量尺度残差,主模型残差
2020-07-01,花叶类,191.717,143.81693061123406,47.90006938876596,0.34823423586123337
2020-07-02,花叶类,179.0,141.85244369047732,37.147556309522685,0.2933535025300422
2020-07-03,花叶类,184.947,154.35210839099759,30.594891609002417,0.2415879719677152
2020-07-04,花叶类,234.573,206.89047036594954,27.682529634050468,0.18633240060298295
2020-07-05,花叶类,219.646,214.17188558790508,5.474114412094906,0.0859933482393469
2020-07-06,花叶类,183.439,142.15382479395788,41.28517520604211,0.315727527761382
2020-07-07,花叶类,159.875,134.63624138795112,25.238758612048883,0.23257071150101538
2020-07-08,花叶类,143.354,135.01322935871073,8.340770641289282,0.12069941186674882
2020-07-09,花叶类,187.151,140.39754327097313,46.75345672902688,0.3481928693565095
2020-07-10,花叶类,154.964,152.65922471910656,2.3047752808934376,0.07573976908358038
2020-07-11,花叶类,238.911,204.4231367574129,34.48786324258711,0.21665413727018645
2020-07-12,花叶类,271.355,204.43983617969997,66.91516382030005,0.3439092792203091
2020-07-13,花叶类,170.921,145.5588659755855,25.3621340244145,0.22137596458648634
2020-07-14,花叶类,183.131,145.54826049695887,37.582739503041125,0.2904491099413624
2020-07-15,花叶类,209.644,154.80645786401675,54.837542135983256,0.3639902614082988
2020-07-16,花叶类,195.549,144.21448232079342,51.334517679206584,0.36526442049736296
2020-07-17,花叶类,173.432,163.0242786701037,10.407721329896276,0.12264153819636103
2020-07-18,花叶类,231.29,211.19501397122775,20.09498602877224,0.15164547602621958
2020-07-19,花叶类,269.199,206.2682092652297,62.93079073477031,0.3270286594706251
2020-07-20,花叶类,182.337,154.35104918781138,27.985950812188605,0.227382159938192
2020-07-21,花叶类,200.51,141.8878096573375,58.62219034266249,0.40658253340250017
2020-07-22,花叶类,205.455,148.03809186218388,57.41690813781614,0.3885124988409494
2020-07-23,花叶类,172.376,139.27800875069562,33.097991249304386,0.2739612238610478
2020-07-24,花叶类,159.929,150.63710732660903,9.291892673390976,0.12061137022295654
2020-07-25,花叶类,204.513,200.57270871570222,3.9402912842977855,0.08020981023023666
2020-07-26,花叶类,215.73,186.04621481050498,29.683785189495012,0.20878760129037488
2020-07-27,花叶类,179.605,140.0140821906747,39.590917809325276,0.3097720755786897
2020-07-28,花叶类,142.605,130.44300769063304,12.161992309366951,0.1498972468660842
2020-07-29,花叶类,175.106,137.52105279989814,37.58494720010185,0.30236957326156055
2020-07-30,花叶类,175.812,132.0653846125371,43.746615387462924,0.3468731894678614
2020-07-31,花叶类,195.166,148.40895415999915,46.75704584000084,0.334633896643032
2020-08-01,花叶类,202.487,264.9313382033737,-62.44433820337369,-0.20803991925793852
2020-08-02,花叶类,234.102,241.7694631463906,-7.667463146390588,0.028527362411061574
2020-08-03,花叶类,206.505,184.43094073726394,22.074059262736057,0.1738046218005609
2020-08-04,花叶类,178.012,191.3215692572206,-13.309569257220602,-0.011349572211285519
2020-08-05,花叶类,240.806,187.6165422446745,53.18945775532552,0.31034650418806553
2020-08-06,花叶类,218.037,179.7924615265825,38.24453847341749,0.25361666407444083
2020-08-07,花叶类,198.712,189.9793135746745,8.732686425325483,0.10569643505695758
2020-08-08,花叶类,310.161,268.73654786346214,41.424452136537866,0.20411507885374913
2020-08-09,花叶类,245.052,255.61871583167232,-10.566715831672326,0.018538575052083672
2020-08-10,花叶类,204.951,180.6354072576826,24.315592742317392,0.18704533601629247
2020-08-11,花叶类,200.068,187.70636933418774,12.361630665812271,0.12453351723935846
2020-08-12,花叶类,194.523,189.974235987719,4.548764012280998,0.08441703017544899
2020-08-13,花叶类,179.955,189.36143172517887,-9.406431725178862,0.009804378675469572
2020-08-14,花叶类,211.056,206.05586910919885,5.0001308908011595,0.08473124490107775
2020-08-15,花叶类,245.136,273.37313602707707,-28.23713602707707,-0.048269416945077914
2020-08-16,花叶类,241.48,269.5996939326681,-28.119693932668127,-0.04939650476323276
2020-08-17,花叶类,213.346,214.23390796565775,-0.887907965657746,0.05660190002573273
2020-08-18,花叶类,225.113,197.1020173029058,28.010982697094192,0.19363613440955607
2020-08-19,花叶类,214.173,201.46379721590057,12.709202784099432,0.12192948590746067
2020-08-20,花叶类,233.532,192.4305448608756,41.1014551391244,0.2543389150642996
2020-08-21,花叶类,201.695,202.98129997010582,-1.28629997010583,0.054397884018579035
2020-08-22,花叶类,264.51,290.3220671797923,-25.812067179792336,-0.03235674038019809
2020-08-23,花叶类,255.886,268.23123664058284,-12.34523664058284,0.013637686101393598
2020-08-24,花叶类,260.694,211.45846589539866,49.235534104601356,0.2700737903400068
2020-08-25,花叶类,342.321,239.26941296321266,103.05158703678737,0.41891381047565357
2020-08-26,花叶类,236.927,209.62832534925525,27.298674650744744,0.1831710785506484
2020-08-27,花叶类,199.007,178.74598946186478,20.261010538135224,0.16812934032126492
2020-08-28,花叶类,195.032,202.45520931504285,-7.42320931504284,0.023400059232856485
2020-08-29,花叶类,267.031,273.8561930548028,-6.82519305480281,0.03551671586681948
2020-08-30,花叶类,261.124,262.93383150586675,-1.8098315058667254,0.053848066076394474
2020-08-31,花叶类,224.882,192.92887684984183,31.953123150158177,0.21400929801672852
2020-09-01,花叶类,184.319,147.7687005633814,36.55029943661859,0.2817748199931227
2020-09-02,花叶类,179.819,153.07871779154578,26.740282208454204,0.22175359005130435
2020-09-03,花叶类,184.89,157.1001140081293,27.789885991870676,0.22363286775821756
2020-09-04,花叶类,176.316,167.31532187794554,9.000678122054467,0.1131527377126682
2020-09-05,花叶类,239.841,226.1679935896717,13.673006410328298,0.1194532312697314
2020-09-06,花叶类,272.15,209.3488537297618,62.80114627023818,0.3231064528888137
2020-09-07,花叶类,142.541,149.74127778945055,-7.200277789450553,0.01147577255148402
2020-09-08,花叶类,143.853,150.74571235104102,-6.892712351041013,0.013952636831914056
2020-09-09,花叶类,130.623,154.0901799489356,-23.46717994893561,-0.10446761843163088
2020-09-10,花叶类,119.919,154.97120889596644,-35.052208895966444,-0.19566775065902942
2020-09-11,花叶类,151.957,171.74542926581356,-19.788429265813562,-0.06166064686245676
2020-09-12,花叶类,230.844,231.32324920560086,-0.4792492056008655,0.05868116323520045
2020-09-13,花叶类,262.477,232.14506780794528,30.331932192054694,0.1835560756985739
2020-09-14,花叶类,175.124,170.33168560960914,4.792314390390857,0.08850175155133133
2020-09-15,花叶类,154.468,160.34780111072092,-5.879801110720933,0.023396827241444207
2020-09-16,花叶类,176.949,173.05856901379548,3.890430986204535,0.08298655412742217
2020-09-17,花叶类,142.796,150.62123198074002,-7.825231980740028,0.007403835353630761
2020-09-18,花叶类,154.388,167.4216627471519,-13.033662747151908,-0.020291557330192056
2020-09-19,花叶类,235.102,240.4665700211394,-5.3645700211394,0.03819346971655513
2020-09-20,花叶类,317.998,231.13929256884188,86.85870743115811,0.3797796516087022
2020-09-21,花叶类,212.997,173.09384227611855,39.90315772388146,0.26819927785234743
2020-09-22,花叶类,232.243,154.42051373215807,77.82248626784192,0.46885983266076803
2020-09-23,花叶类,179.262,158.48714724059099,20.774852759409015,0.18393000786249125
2020-09-24,花叶类,162.861,144.60321971515853,18.25778028484146,0.17965858551142055
2020-09-25,花叶类,173.781,159.9678304768168,13.813169523183205,0.14357823537932912
2020-09-26,花叶类,227.771,219.1156440308542,8.655355969145774,0.09949617795745436
2020-09-27,花叶类,199.813,215.1492528154336,-15.336252815433625,-0.013194972180103015
2020-09-28,花叶类,114.425,145.84898934848852,-31.42398934848852,-0.18189709527868825
2020-09-29,花叶类,156.737,140.6961515947382,16.040848405261784,0.16872171464946906
2020-09-30,花叶类,169.947,148.50252715522217,21.444472844777835,0.1956397328388899
2020-10-01,花叶类,225.69,124.32061332407801,101.36938667592199,0.6570536412840511
2020-10-02,花叶类,244.124,138.5918480062198,105.53215199378019,0.6268981096756647
2020-10-03,花叶类,298.341,204.0466801167382,94.2943198832618,0.44064342091240416
2020-10-04,花叶类,232.776,196.7790481127049,35.9969518872951,0.22875018673218062
2020-10-05,花叶类,294.623,157.59011503711397,137.03288496288602,0.686454204413562
2020-10-06,花叶类,287.297,132.70548871695345,154.59151128304657,0.8331393066368458
2020-10-07,花叶类,253.996,141.26385557036565,112.73214442963436,0.6474441461951495
2020-10-08,花叶类,252.73,133.68344015025036,119.04655984974963,0.6976021921025275
2020-10-09,花叶类,162.518,139.39140780464905,23.126592195350952,0.2142579905032127
2020-10-10,花叶类,175.163,190.31811314627257,-15.155113146272555,-0.02222489776793246
2020-10-11,花叶类,235.733,188.42822656127652,47.30477343872349,0.2847377202765653
2020-10-12,花叶类,170.212,145.1518054844572,25.060194515542776,0.2200196748807013
2020-10-13,花叶类,175.188,149.65607174133342,25.531928258666568,0.21827496166589722
2020-10-14,花叶类,182.96,142.21511754986355,40.74488245013646,0.3126818111938485
